BAD_PRACTICE,NM_CONFUSING,javax/security/auth/message/callback/PasswordValidationCallback.java,getUsername,46-46,[],,getUserName,2385-2385,[            return username;],,
BAD_PRACTICE,NM_CONFUSING,javax/servlet/http/HttpServletRequestWrapper.java,getRequestURI,202-202,[],,getRequestUri,322-322,[            return requestUri;],,
BAD_PRACTICE,NM_CONFUSING,javax/servlet/http/HttpServletResponseWrapper.java,encodeRedirectURL,83-83,[],,encodeRedirectUrl,1128-1128,[        return (encodeRedirectURL(url));],,
BAD_PRACTICE,NM_CONFUSING,javax/servlet/http/HttpServletResponseWrapper.java,encodeURL,74-74,[],,encodeUrl,1176-1176,[        return (encodeURL(url));],,
BAD_PRACTICE,NM_CONFUSING,javax/servlet/jsp/tagext/TagInfo.java,getDisplayName,384-384,[],,getDisplayname,44-44,[        return (this.displayname);],,
BAD_PRACTICE,NM_CONFUSING,javax/servlet/jsp/tagext/TagLibraryInfo.java,getURI,50-50,[],,getUri,159-159,[            return uri;],,
BAD_PRACTICE,NM_CONFUSING,javax/websocket/SendResult.java,isOK,37-37,[],,isOk,153-153,[        return ok;],,
BAD_PRACTICE,NM_CONFUSING,org/apache/catalina/ant/AbstractCatalinaTask.java,getCharset,65-65,[        return (this.charset);],,getCharSet,217-221,[        ParameterParser parser = new ParameterParser();,         parser.setLowerCaseNames(true);,         // Parameter parser can handle null input,         Map<String,String> params = parser.parse(getContentType(), ';');,         return params.get("charset");],,
BAD_PRACTICE,NM_CONFUSING,org/apache/catalina/ant/AbstractCatalinaTask.java,getUrl,93-93,[        return (this.url);],,getURL,689-690,[        try { return _meta.getURL(); },         catch (SQLException e) { handleException(e); throw new AssertionError(); }],,
BAD_PRACTICE,NM_CONFUSING,org/apache/catalina/ant/AbstractCatalinaTask.java,setUsername,111-112,[        this.username = username;,     }],,setUserName,90-91,[        this.userName = userName;,     }],,
STYLE,REC_CATCH_EXCEPTION,org/apache/catalina/ant/AbstractCatalinaTask.java,execute,287-287,[        } catch (Exception e) {],,
I18N,DM_DEFAULT_ENCODING,org/apache/catalina/ant/BaseRedirectorHelperTask.java,openRedirector,250-250,[            redirectOutPrintStream = new PrintStream(redirectOutStream);],,openRedirector,252-252,[            redirectErrPrintStream = new PrintStream(redirectErrStream);],,
BAD_PRACTICE,NM_CONFUSING,org/apache/catalina/ant/BaseRedirectorHelperTask.java,setFailonerror,106-107,[        failOnError = fail;,     }],,setFailOnError,970-971,[        failOnError = b;,     }],,
STYLE,REC_CATCH_EXCEPTION,org/apache/catalina/ant/ValidatorTask.java,execute,105-105,[        } catch (Exception e) {],,
STYLE,REC_CATCH_EXCEPTION,org/apache/catalina/ant/jmx/JMXAccessorConditionBase.java,accessJMXValue,175-175,[        } catch (Exception e) {],,
STYLE,REC_CATCH_EXCEPTION,org/apache/catalina/ant/jmx/JMXAccessorQueryTask.java,bindAttributes,186-186,[            } catch (Exception e) {],,
STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,org/apache/catalina/ant/jmx/JMXAccessorSetTask.java,getMBeanAttributeType,193-193,[        if (attrs != null) {],,
PERFORMANCE,DM_FP_NUMBER_CTOR,org/apache/catalina/ant/jmx/JMXAccessorTask.java,convertStringToType,531-531,[                convertValue = new Double(value);],,
PERFORMANCE,DM_FP_NUMBER_CTOR,org/apache/catalina/ant/jmx/JMXAccessorTask.java,convertStringToType,523-523,[                convertValue = new Float(value);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/catalina/ant/jmx/JMXAccessorTask.java,convertStringToType,504-504,[                convertValue = new Integer(value);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/catalina/ant/jmx/JMXAccessorTask.java,convertStringToType,512-512,[                convertValue = new Long(value);],,
