F61,F77,F88,F70,
2,43,181,455,
19,1364,1989,1776,
165,12841,5278,13253,
165,12841,5278,13253,
165,12841,5278,13253,
104,10109,4730,10521,
2,43,181,455,
4,1352,1981,1764,
27,6920,4207,7332,
27,6920,4207,7332,
27,6920,4207,7332,
27,6920,4207,7332,
3,306,860,718,
3,306,860,718,
347,13082,5466,13494,
108,13082,5466,13494,
150,13082,5466,13494,
0,80,261,492,
0,80,261,492,
0,80,261,492,
0,80,261,492,
33,7538,4348,7950,
47,9756,4714,10168,
53,11021,4804,11433,
53,11021,4804,11433,
88,6920,4207,7332,
87,6915,4206,7327,
100,7715,4379,8127,
1,233,607,645,
50,10767,4768,11179,
50,10767,4768,11179,
4,1329,1970,1741,
24,9388,4696,9800,
24,9388,4696,9800,
53,8202,4558,8614,
52,8177,4551,8589,
53,8202,4558,8614,
49,7857,4413,8269,
10,1510,2162,1922,
34,4848,3614,5260,
26,1784,2296,2196,
26,1784,2296,2196,
26,1784,2296,2196,
136,8260,4628,8672,
44,2320,2689,2732,
75,4833,3611,5245,
137,8570,4649,8982,
175,13049,5442,13461,
175,13049,5442,13461,
175,13049,5442,13461,
13,4304,3509,4716,
0,80,261,492,
18,5216,3676,5628,
0,80,261,492,
25,2426,2733,2838,
26,2459,2751,2871,
23,2383,2721,2795,
9,5476,3785,5888,
9,5476,3785,5888,
9,5476,3785,5888,
9,5476,3785,5888,
9,5476,3785,5888,
9,5476,3785,5888,
30,12881,5286,13293,
26,10735,4764,11147,
99,8214,4577,8626,
143,11384,4910,11796,
172,12933,5301,13345,
166,12702,5245,13114,
2,43,181,455,
334,12998,5400,13410,
333,12996,5400,13408,
347,13082,5466,13494,
188,9179,4686,9591,
188,9179,4686,9591,
12,1338,1979,1750,
126,7189,4279,7601,
23,2030,2386,2442,
2,43,181,455,
2,43,181,455,
2,43,181,455,
5,322,863,734,
1,2867,2948,3279,
8,1200,1924,1612,
8,1200,1924,1612,
8,1200,1924,1612,
8,1200,1924,1612,
8,4727,3592,5139,
1,1338,1979,1750,
1,818,1660,1230,
2,819,1660,1231,
66,7751,4386,8163,
