F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-StringBuffer,F16-Object,F16-NA,F16-void,F16-int,F16-URL,F16-boolean,F16-URL[],F16-String,F16-Manifest,F16-InputStream,F16-Reader,F16-PrintStream,F16-File,F16-DateFormat,F3-NA,F3-Class,F3-Long,F3-PrintStream,F3-File,F3-Project,F3-byte[],F3-null,F3-boolean,F3-Object,F3-FileInputStream,F3-FileOutputStream,F3-char,F3-nestedTask.getTaskName(),F3-String,F3-long,F3-int,F3-Project.MSG_DEBUG,F3-Path,F3-Locale,F7--,F7-/,F7-&=,F7-++,F7-+=,F7-NA,F7-*,F7-+,F12-long,F12-int,F12-Object,F12-NA,F12-boolean,F12-Vector,F12-String,F12-AssertionFailedError,F12-HandlerType,F12-URL,F12-Reference,F12-File,F12-Mapper,F12-FileUtils,F12-ArrayList,F12-UnparseableExtraFieldData,F12-Union,F12-Path,F12-LinkedHashMap,F12-MailMessage,F17-static,F17-final,F17-static-final,F17-NA,F2-AbstractFileSetTest,F2-Document,F2-Process,F2-NA,F2-StringBuffer,F2-DateFormatFactory,F2-Vector,F2-Properties,F2-Math,F2-Object,F2-String,F2-Iterator,F2-Map,F2-Hashtable,F2-System,F2-List,F2-MockProject,F2-OutputStream,F2-Enumeration,F2-File,F6-java.io.ByteArrayOutputStream,F6-java.io.BufferedWriter,F6-org.apache.tools.zip.ZipLong,F6-NA,F6-java.lang.Long,F6-java.io.InputStreamReader,F6-java.util.Vector,F6-java.io.FileInputStream,F6-java.util.Properties,F6-java.io.PrintStream,F6-java.io.ByteArrayInputStream,F6-org.apache.tools.ant.util.LayoutPreservingProperties,F6-java.lang.Integer,F6-org.apache.tools.ant.types.PatternSet,F6-java.io.FileReader,F6-java.io.File,F6-java.lang.String,F6-java.lang.StringBuffer,F6-org.apache.tools.ant.types.Path,F6-java.io.BufferedReader,F13-private,F13-NA,F13-protected,F13-public,F18-private,F18-NA,F18-public,F14-static-final,F14-static,F14-NA,F1-delete,F1-NA,F1-next,F1-iterator,F1-assertEquals,F1-write,F1-getInstance,F1-get,F1-listFiles,F1-equals,F1-toLowerCase,F1-getProperty,F1-resolveFile,F1-load,F1-createTempFile,F1-log,F1-toString,F1-list,F1-getInputStream,F1-assertTrue,F5-java.util.AbstractMap,F5-DataType,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-Task,F5-java.io.OutputStreamWriter,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F5-java.io.InputStream,F5-java.io.FilterInputStream,F5-java.io.InputStreamReader,F5-java.lang.Number,F5-java.io.Reader,F5-java.util.AbstractList,F5-java.lang.RuntimeException,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F5-EnumeratedAttribute,F5-java.util.HashMap,F9-anonymousSchema,F9-sigalg,F9-ignoreSystemclasses,F9-forceOverwrite,F9-replyto,F9-extDirs,F9-key,F9-keys,F9-todir,F9-genericJarSuffix,F9-dateTime,F9-trim,F9-NA,F9-out,F9-className,F9-path,F9-nowarn,F9-buildfile,F9-dir,F9-length,F10-NA,F10-true,F19-NA,F19-abstract,F19-interface,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-String[],F4-boolean,F4-InputStream,F4-File[],F4-long,F4-StringBuffer,F4-AbstractFileSet,F4-Enumeration,F4-DateFormat,F4-Node,F4-Object,F4-byte[],F4-File,F4-Element,F4-void,F4-String,F4-int,F4-Iterator,F4-SecurityManager,F8-PropertyChecker,F8-ManifestClassPath,F8-GenerateKey,F8-AbstractCvsTask,F8-BFT,F8-Checksum,F8-Touch,F8-Execute,F8-EjbJar,F8-JDBCTask,F8-DirectoryScanner,F8-SchemaValidate,F8-MailMessage,F8-Rmic,F8-Available,F8-NA,F8-ReferenceChecker,F8-AbstractFileSet,F8-AntTypeDefinition,F8-Javac,F11-msg,F11-description,F11-nested,F11-NA,F11-refid,F11-classname,F11-FILE_UTILS,F11-type,F11-error,F11-externalAttributes,F11-unparseableExtra,F11-extraFields,F11-ref,F11-platform,F11-unlessCond,F11-from,F11-name,F11-dir,F11-to,F11-selectorsList,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-kevj@apache.org,F71-dev-null@apache.org,F71-jskeet@apache.org,F71-donaldp@apache.org,F71-antoine@apache.org,F71-jkf@apache.org,F71-stevel@apache.org,F71-jglick@apache.org,F71-bodewig@apache.org,F71-stefano@apache.org,F71-umagesh@apache.org,F71-sbailliez@apache.org,F71-ehatcher@apache.org,F71-costin@apache.org,F71-rubys@apache.org,F71-peterreilly@apache.org,F71-hibou@apache.org,F71-conor@apache.org,F71-mbenson@apache.org,F71-jhm@apache.org,F74,F73,F84,F146,category
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3653,true,13,60,7771,2,0,1095,3,148,0.3767560664112388,741,721,0.9730094466936572,1.0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,7,BAD_PRACTICE,0.007518796992481203,DE_MIGHT_IGNORE,19,3,3,0.09582309582309582,0.005733005733005733,0.002457002457002457,0.3333333333333333,0.3333333333333333,0.008888888888888889,0.3058823529411765,0.4514785612008551,-0.3333333333333333,0.005012531328320802,0.06265664160401002,0.4514785612008551,-0.4017094017094017,0.14285714285714285,86,8610,3582,9489,14,0.0,2,4,10,20,0.003638259403458565,2539,1583,272,4394,0,956,0,0.24592710037667775,0,36228,0,27673,3028,0,66929,8555,0.1379381593396634,38,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,916,13497,14,892,close
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3653,true,6,60,7771,2,8,1095,2,148,0.9980842911877394,741,721,0.9730094466936572,0.8333333333333334,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,7,MALICIOUS_CODE,8.35421888053467E-4,DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,18,2,1,0.09582309582309582,0.005733005733005733,8.19000819000819E-4,-1.0,0.0,0.0,0.22950819672131148,0.1740548406037683,-1.0,0.0,0.011695906432748537,0.1740548406037683,-0.4017094017094017,0.14285714285714285,11,897,893,1776,14,0.0,2,4,10,20,0.003638259403458565,2539,1583,272,4394,0,956,0,0.24592710037667775,0,36228,0,27673,3028,0,66929,8555,0.1379381593396634,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,916,13497,14,892,open
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3653,true,15,60,7771,2,8,1095,3,148,0.49361430395913153,741,721,0.9730094466936572,0.6309523809523809,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,7,BAD_PRACTICE,0.050960735171261484,NM_CONFUSING,19,3,0,0.09582309582309582,0.005733005733005733,4.095004095004095E-4,0.5,0.36065573770491804,0.009223327062617576,0.3058823529411765,0.4514785612008551,-0.2786885245901639,0.005012531328320802,0.06265664160401002,0.4514785612008551,-0.4017094017094017,0.14285714285714285,157,12374,4182,13253,14,0.0,2,4,10,20,0.003638259403458565,2539,1583,272,4394,0,956,0,0.24592710037667775,0,36228,0,27673,3028,0,66929,8555,0.1379381593396634,38,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,916,13497,14,892,close
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3653,true,14,60,7771,2,10,1095,3,148,0.13729246487867178,741,721,0.9730094466936572,0.7169312169312169,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,7,BAD_PRACTICE,0.050960735171261484,NM_CONFUSING,19,3,0,0.09582309582309582,0.005733005733005733,4.095004095004095E-4,0.5,0.36065573770491804,0.009223327062617576,0.3058823529411765,0.4514785612008551,-0.2786885245901639,0.005012531328320802,0.06265664160401002,0.4514785612008551,-0.4017094017094017,0.14285714285714285,157,12374,4182,13253,14,0.0,2,4,10,20,0.003638259403458565,2539,1583,272,4394,0,956,0,0.24592710037667775,0,36228,0,27673,3028,0,66929,8555,0.1379381593396634,38,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,916,13497,14,892,close
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3653,true,22,60,7771,2,12,1095,7,148,0.7662835249042146,741,721,0.9730094466936572,0.22727272727272727,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,7,STYLE,0.01921470342522974,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,0.09582309582309582,0.005733005733005733,8.19000819000819E-4,-1.0,0.0,0.0,0.24736842105263157,0.45174819247117776,-1.0,0.005847953216374269,0.07602339181286549,0.45174819247117776,-0.4017094017094017,0.14285714285714285,157,12374,4182,13253,14,0.0,2,4,10,20,0.003638259403458565,2539,1583,272,4394,0,956,0,0.24592710037667775,0,36228,0,27673,3028,0,66929,8555,0.1379381593396634,38,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,916,13497,14,892,open
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3653,true,13,60,7771,2,8,1095,3,148,0.3722860791826309,741,721,0.9730094466936572,0.23076923076923078,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,7,STYLE,0.030910609857978277,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,3,0.09582309582309582,0.005733005733005733,0.002457002457002457,0.3333333333333333,0.21621621621621623,0.005648892135378622,0.24736842105263157,0.45174819247117776,-0.5675675675675675,0.005847953216374269,0.07602339181286549,0.45174819247117776,-0.4017094017094017,0.14285714285714285,96,9642,3634,10521,14,0.0,2,4,10,20,0.003638259403458565,2539,1583,272,4394,0,956,0,0.24592710037667775,0,36228,0,27673,3028,0,66929,8555,0.1379381593396634,38,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,916,13497,14,892,open
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3653,true,13,60,7771,2,0,1095,3,148,0.3767560664112388,741,721,0.9730094466936572,1.0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,7,STYLE,0.03842940685045948,REC_CATCH_EXCEPTION,20,3,3,0.09582309582309582,0.005733005733005733,0.002457002457002457,0.3333333333333333,0.45652173913043476,0.0082703213610586,0.24736842105263157,0.45174819247117776,-0.08695652173913043,0.005847953216374269,0.07602339181286549,0.45174819247117776,-0.4017094017094017,0.14285714285714285,86,8610,3582,9489,14,0.0,2,4,10,20,0.003638259403458565,2539,1583,272,4394,0,956,0,0.24592710037667775,0,36228,0,27673,3028,0,66929,8555,0.1379381593396634,38,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,916,13497,14,892,close
6363,org/apache/tools/ant,org/apache/tools/ant/AntClassLoaderTest.java,2882,true,26,10,7771,2,0,1095,1,148,0.8691099476439791,142,32,0.22535211267605634,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,3,I18N,0.13784461152882205,DM_DEFAULT_ENCODING,19,1,1,0.09582309582309582,0.002457002457002457,8.19000819000819E-4,-1.0,0.22424242424242424,0.08697887970615244,0.19680851063829788,0.00493577618441296,-0.5515151515151515,0.0,0.030910609857978277,0.00493577618441296,-0.4017094017094017,0.3333333333333333,0,885,885,1764,14,0.0,2,4,10,20,0.003638259403458565,63,138,7,208,0,-75,0,0.12845094745624241,0,36228,0,27673,3028,0,66929,8555,0.1379381593396634,885,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1764,13497,14,892,open
6363,org/apache/tools/ant,org/apache/tools/ant/AntClassLoaderTest.java,2882,true,6,10,7771,2,4,1095,2,148,0.2617801047120419,142,32,0.22535211267605634,0.8333333333333334,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,3,CORRECTNESS,0.07101086048454469,IJU_TEARDOWN_NO_SUPER,7,2,1,0.09582309582309582,0.002457002457002457,8.19000819000819E-4,1.0,0.7647058823529411,0.01799307958477509,0.6875,0.23517434700595924,0.5294117647058824,0.0,0.06432748538011696,0.23517434700595924,-0.4017094017094017,0.3333333333333333,17,7762,3501,8641,14,0.0,2,4,10,20,0.003638259403458565,63,138,7,208,0,-75,0,0.12845094745624241,0,36228,0,27673,3028,0,66929,8555,0.1379381593396634,885,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1764,13497,14,892,close
6363,org/apache/tools/ant,org/apache/tools/ant/AntClassLoaderTest.java,2882,true,30,10,7771,2,8,1095,3,148,0.387434554973822,142,32,0.22535211267605634,0.1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,3,STYLE,0.09022556390977443,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.09582309582309582,0.002457002457002457,8.19000819000819E-4,1.0,0.1111111111111111,0.0032921810699588477,0.24736842105263157,0.45174819247117776,-0.7777777777777778,0.005847953216374269,0.07602339181286549,0.45174819247117776,-0.4017094017094017,0.3333333333333333,2,893,892,1772,14,0.0,2,4,10,20,0.003638259403458565,63,138,7,208,0,-75,0,0.12845094745624241,0,36228,0,27673,3028,0,66929,8555,0.1379381593396634,885,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1764,13497,14,892,close
