F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
13,60,7771,2,0,1095,3,148,0.3767560664112388,741,721,0.9730094466936572,1.0,9,1,
6,60,7771,2,8,1095,2,148,0.9980842911877394,741,721,0.9730094466936572,0.8333333333333334,0,1,
15,60,7771,2,8,1095,3,148,0.49361430395913153,741,721,0.9730094466936572,0.6309523809523809,0,0,
14,60,7771,2,10,1095,3,148,0.13729246487867178,741,721,0.9730094466936572,0.7169312169312169,0,0,
22,60,7771,2,12,1095,7,148,0.7662835249042146,741,721,0.9730094466936572,0.22727272727272727,0,0,
13,60,7771,2,8,1095,3,148,0.3722860791826309,741,721,0.9730094466936572,0.23076923076923078,9,1,
13,60,7771,2,0,1095,3,148,0.3767560664112388,741,721,0.9730094466936572,1.0,9,1,
26,10,7771,2,0,1095,1,148,0.8691099476439791,142,32,0.22535211267605634,1.0,0,1,
6,10,7771,2,4,1095,2,148,0.2617801047120419,142,32,0.22535211267605634,0.8333333333333334,0,1,
30,10,7771,2,8,1095,3,148,0.387434554973822,142,32,0.22535211267605634,0.1,6,1,
3,22,7771,1,8,1095,1,148,0.8002577319587629,202,158,0.7821782178217822,0.6666666666666666,0,0,
3,22,7771,1,6,1095,1,148,0.32989690721649484,202,158,0.7821782178217822,0.8333333333333334,0,0,
26,22,7771,1,0,1095,1,148,0.5927835051546392,202,158,0.7821782178217822,1.0,2,1,
26,22,7771,1,0,1095,1,148,0.5670103092783505,202,158,0.7821782178217822,1.0,2,1,
0,125,7771,3,6,1095,1,148,0.05210016155088853,959,1346,1.4035453597497394,1.0,0,1,
0,29,7771,3,7,1095,1,148,0.0893970893970894,201,237,1.1791044776119404,1.0,0,1,
0,29,7771,1,6,1095,1,148,0.17634854771784234,175,268,1.5314285714285714,1.0,0,1,
44,36,7771,3,12,1095,1,148,0.5512152777777778,256,263,1.02734375,0.2159090909090909,0,0,
5,36,7771,3,8,1095,1,148,0.8125,256,263,1.02734375,0.4,3,1,
21,45,7771,2,8,1095,5,148,0.39035087719298245,658,402,0.6109422492401215,0.9523809523809523,0,1,
21,45,7771,2,8,1095,5,148,0.3649122807017544,658,402,0.6109422492401215,0.9523809523809523,10,1,
0,125,7771,3,6,1095,1,148,0.05210016155088853,959,1346,1.4035453597497394,1.0,0,1,
3,20,7771,1,8,1095,1,148,0.29210526315789476,177,167,0.943502824858757,0.6666666666666666,0,1,
3,20,7771,1,8,1095,1,148,0.2657894736842105,177,167,0.943502824858757,0.6666666666666666,2,3,
