0,,F72,
3,,F25,
5,,F62,
6,,F65,
7,,F64,
9,,F34,
10,,F66,
12,,F68,
13,,F101,
17,,F105,
19,,F108,
26,,F16-boolean,
28,,F16-String,
49,,F3-String,
97,,F2-String,
122,,F6-java.io.File,
205,,F15-public,
267,,F94,
268,,F95,
275,,F111,
278,,F116,
279,,F117,
280,,F118,
288,,F115,
290,,F77,
292,,F70,
293,,F41,
295,,F43,
296,,F42,
300,,F126,
303,,F129,
305,,F130,
309,,F132,
318,,F71-kevj@apache.org,
330,,F71-ehatcher@apache.org,
333,,F71-peterreilly@apache.org,
337,,F71-jhm@apache.org,
342,,category,
original feature size,343
refined feature size,37
