F61,F77,F88,F70,
9,7098,2846,11856,
9,7098,2846,11856,
9,7098,2846,11856,
8,3856,1694,8614,
27,2206,697,6964,
118,6866,2756,11624,
157,9003,3795,13761,
157,9003,3795,13761,
30,6700,2698,11458,
30,6700,2698,11458,
4,3850,1693,8608,
25,7098,2846,11856,
9,3038,1211,7796,
15,9003,3795,13761,
16,7418,3189,12176,
16,7418,3189,12176,
16,7418,3189,12176,
4,3712,1640,8470,
16,7418,3189,12176,
5,2967,1154,7725,
15,7736,3252,12494,
54,9003,3795,13761,
4,2578,920,7336,
34,8872,3646,13630,
5,3119,1244,7877,
22,8568,3497,13326,
16,7063,2823,11821,
24,7098,2846,11856,
24,7098,2846,11856,
37,8789,3596,13547,
16,7418,3189,12176,
16,7418,3189,12176,
4,3712,1640,8470,
4,3712,1640,8470,
5,2578,920,7336,
5,2578,920,7336,
24,8504,3463,13262,
24,8504,3463,13262,
4,3712,1640,8470,
12,7063,2823,11821,
4,3712,1640,8470,
28,9003,3795,13761,
26,9003,3795,13761,
29,5516,2393,10274,
15,9003,3795,13761,
11,8521,3477,13279,
16,9003,3795,13761,
16,9003,3795,13761,
23,7717,3248,12475,
57,9003,3795,13761,
25,7407,3147,12165,
40,9003,3795,13761,
45,9003,3795,13761,
23,9003,3795,13761,
17,9003,3795,13761,
14,7711,3248,12469,
18,7340,3124,12098,
18,7098,2846,11856,
3,9286,5233,14044,
38,8647,3532,13405,
42,7840,3272,12598,
20,7207,3009,11965,
5,3710,1639,8468,
5,3710,1639,8468,
17,6669,2686,11427,
3,3710,1639,8468,
3,3710,1639,8468,
23,6830,2741,11588,
31,8475,3431,13233,
3,3710,1639,8468,
3,3710,1639,8468,
10,7098,2846,11856,
3,3710,1639,8468,
9,3709,1639,8467,
6,3710,1639,8468,
6,3710,1639,8468,
5,3709,1639,8467,
5,3709,1639,8467,
18,3709,1639,8467,
12,9003,3795,13761,
55,9003,3795,13761,
128,8601,3519,13359,
63,3709,1639,8467,
106,7411,3154,12169,
113,8223,3342,12981,
17,715,174,5473,
13,3709,1639,8467,
4,3850,1693,8608,
21,6070,2484,10828,
6,3710,1639,8468,
1,27,18,4785,
6,2976,1165,7734,
30,5516,2393,10274,
54,8811,3618,13569,
39,6488,2629,11246,
9,3710,1639,8468,
1,1411,387,6169,
7,3707,1639,8465,
6,3707,1639,8465,
3,1612,411,6370,
8,3697,1626,8455,
1,121,39,4879,
6,3707,1639,8465,
6,3707,1639,8465,
3,3707,1639,8465,
8,3110,1238,7868,
10,3707,1639,8465,
8,3104,1235,7862,
30,8470,3425,13228,
2,1832,446,6590,
20,5588,2411,10346,
24,7831,3272,12589,
21,7827,3271,12585,
10,3707,1639,8465,
22,8470,3425,13228,
18,8408,3373,13166,
6,3707,1639,8465,
6,3707,1639,8465,
3,1784,434,6542,
5,2458,831,7216,
16,7017,2800,11775,
7,3707,1639,8465,
16,1742,427,6500,
22,3707,1639,8465,
48,8470,3425,13228,
8,3700,1629,8458,
9,3697,1626,8455,
6,3707,1639,8465,
2,1646,416,6404,
4,776,210,5534,
15,3962,1727,8720,
65,9003,3795,13761,
65,9003,3795,13761,
1,3707,1639,8465,
9,8608,3521,13366,
41,5516,2393,10274,
75,9003,3795,13761,
75,9003,3795,13761,
7,3707,1639,8465,
7,3707,1639,8465,
7,3707,1639,8465,
24,6659,2684,11417,
18,9003,3795,13761,
41,8590,3513,13348,
18,8631,3528,13389,
21,8659,3534,13417,
21,8410,3375,13168,
7,3962,1727,8720,
3,1160,341,5918,
4,9286,5233,14044,
4,9286,5233,14044,
3,1697,423,6455,
5,9286,5233,14044,
5,9286,5233,14044,
6,3707,1639,8465,
24,8315,3363,13073,
8,3707,1639,8465,
8,3707,1639,8465,
28,8515,3475,13273,
28,8515,3475,13273,
42,9003,3795,13761,
13,9003,3795,13761,
8,3707,1639,8465,
6,1790,435,6548,
10,1822,444,6580,
2,3707,1639,8465,
5,3479,1510,8237,
23,9003,3795,13761,
3,2414,789,7172,
4,63,25,4821,
4,63,25,4821,
4,63,25,4821,
3,3850,1693,8608,
15,6070,2484,10828,
41,8751,3560,13509,
8,3103,1235,7861,
6,2976,1165,7734,
38,8980,3790,13738,
24,8789,3596,13547,
24,8473,3429,13231,
