F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-boolean,F16-String,F16-Integer,F16-StrBuilder,F16-StringBuffer,F16-Boolean,F16-Object,F16-NA,F16-void,F16-int,F16-Strategy,F3-NA,F3-Type[],F3-new ToStringBuilder(base).append(array).toString(),F3-Class,F3-Integer,F3-Throwable,F3-!new EqualsBuilder().append(obj1 obj2).isEquals(),F3-baseStr +  [  + SystemUtils.LINE_SEPARATOR+    <null> + SystemUtils.LINE_SEPARATOR+  ] ,F3-null,F3-boolean,F3-Object,F3-Character,F3-new EqualsBuilder().append(obj1 obj2).isEquals(),F3-char,F3-SystemUtils.isOSMatch(osName osVersion  Windows 9   4.1 ),F3-String,F3-int,F3-char[],F3-sb.toString(),F3-Date,F7--,F7-++,F7--=,F7-+=,F7-&,F7-NA,F7-*,F7-+,F12-Integer,F12-Random,F12-long,F12-int,F12-Object,F12-NA,F12-String,F17-static,F17-NA,F2-Class,F2-List<Integer>,F2-NA,F2-Integer,F2-ByteArrayOutputStream,F2-Executors,F2-String,F2-ExceptionUtilsTest,F2-Collections,F2-Method,F2-Reader,F2-Map<Locale Strategy>,F2-TypeUtilsTest<B>,F2-Calendar,F2-TestSubObject,F2-Token,F6-java.io.ByteArrayOutputStream,F6-org.apache.commons.lang3.text.translate.NumericEntityUnescaper,F6-java.util.Random,F6-NA,F6-java.io.PrintStream,F6-java.lang.UnsupportedOperationException,F6-java.lang.Character,F6-java.lang.Integer,F6-java.lang.Object,F6-org.apache.commons.lang3.builder.EqualsBuilder,F6-java.lang.String,F6-org.apache.commons.lang3.mutable.MutableLong,F6-java.lang.StringBuffer,F6-java.lang.StringBuilder,F6-org.apache.commons.lang3.builder.ToStringBuilder,F6-java.lang.Thread,F6-java.util.Date,F6-org.apache.commons.lang3.tuple.ImmutableTriple,F6-org.apache.commons.lang3.text.StrBuilder,F6-java.io.IOException,F13-private,F13-NA,F18-NA,F14-static-final,F14-NA,F14-final,F1-delegateBooleanAssertion,F1-NA,F1-assertSame,F1-getDeclaredField,F1-abs,F1-assertEquals,F1-getFraction,F1-pow,F1-substring,F1-get,F1-asReader,F1-getGenericParameterTypes,F1-constantFuture,F1-appendln,F1-compareTo,F1-charAt,F1-assertFalse,F1-read,F1-toString,F1-assertTrue,F5-java.lang.Object,F5-NA,F5-java.lang.Number,F5-ProxyInvocationHandler,F5-java.lang.RuntimeException,F5-java.lang.AbstractStringBuilder,F5-StrBuilder,F5-java.io.OutputStream,F5-java.io.FilterOutputStream,F5-java.lang.Exception,F9-testFixture,F9-NA,F9-length,F10-NA,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-ExecutorService,F4-Integer,F4-boolean,F4-long,F4-Throwable,F4-char,F4-TypeVariable[],F4-void,F4-int,F4-String,F4-Field,F4-Strategy,F4-Type[],F8-MutatingClient,F8-NA,F8-InspectingClient,F11-i,F11-secretField,F11-NA,F11-N,F11-object,F11-serialVersionUID,F11-random,F11-showField,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-jcarman@apache.org,F71-pbenedict@apache.org,F71-niallp@apache.org,F71-chas@apache.org,F71-oheger@apache.org,F71-julius@apache.org,F71-ggregory@apache.org,F71-bayard@apache.org,F71-joehni@apache.org,F71-psteitz@apache.org,F71-scolebourne@apache.org,F71-mbenson@apache.org,F71-tn@apache.org,F71-sebb@apache.org,F74,F73,F84,F146,category
2238,org/apache/commons/lang3,org/apache/commons/lang3/AnnotationUtilsTest.java,840,true,6,11,17815,5,7,1742,1,120,0.4438976377952756,461,20,0.04338394793926247,0.6666666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,343,2,BAD_PRACTICE,0.00964630225080386,NM_CONFUSING,19,3,0,0.47050754458161864,0.0027434842249657062,6.858710562414266E-4,-0.5,0.6666666666666666,0.010582010582010583,0.18421052631578946,0.5625890587417208,0.3333333333333333,0.001607717041800643,0.022508038585209004,0.5625890587417208,-0.5626822157434402,0.0,15,904,840,2238,1801,0.0,39,752,1049,2592,0.06533941004241105,132,295,1,428,0,-163,0,0.260510262304779,0,43260,0,24395,1303,0,68958,18865,0.14329368745395418,175,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1508,4805,1,1334,open
2238,org/apache/commons/lang3,org/apache/commons/lang3/AnnotationUtilsTest.java,840,true,0,11,17815,5,14,1742,1,120,0.889763779527559,461,20,0.04338394793926247,1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,343,2,PERFORMANCE,0.07395498392282958,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.47050754458161864,0.0027434842249657062,0.0,0.0,0.6304347826086957,0.019415563957151858,0.42016806722689076,0.2558385927730618,0.2608695652173913,0.001607717041800643,0.08038585209003216,0.2558385927730618,-0.5626822157434402,0.0,15,904,840,2238,1801,0.0,39,752,1049,2592,0.06533941004241105,132,295,1,428,0,-163,0,0.260510262304779,0,43260,0,24395,1303,0,68958,18865,0.14329368745395418,175,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1508,4805,1,1334,close
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,14,223,17815,1,12,1742,5,120,0.39488148402610784,2070,3507,1.6942028985507247,0.6428571428571429,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,343,46,STYLE,0.012861736334405145,FE_FLOATING_POINT_EQUALITY,20,3,2,0.47050754458161864,0.06310013717421124,0.0027434842249657062,-1.0,0.375,0.010190217391304348,0.20943952802359883,0.6899001772206611,-0.25,0.01607717041800643,0.10610932475884244,0.6899001772206611,-0.5626822157434402,-1.0,44,1228,1117,2562,1801,0.11226851851851852,39,752,1049,2592,0.06533941004241105,4739,4441,1,9181,2,298,3,0.3147435588279762,5,43260,0,24395,1303,1,68958,18865,0.14329368745395418,34,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1367,4805,1,1334,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,14,223,17815,1,12,1742,5,120,0.43043627619374786,2070,3507,1.6942028985507247,0.6428571428571429,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,343,46,STYLE,0.012861736334405145,FE_FLOATING_POINT_EQUALITY,20,3,2,0.47050754458161864,0.06310013717421124,0.0027434842249657062,-1.0,0.375,0.010190217391304348,0.20943952802359883,0.6899001772206611,-0.25,0.01607717041800643,0.10610932475884244,0.6899001772206611,-0.5626822157434402,-1.0,44,1228,1117,2562,1801,0.11226851851851852,39,752,1049,2592,0.06533941004241105,4739,4441,1,9181,2,298,3,0.3147435588279762,5,43260,0,24395,1303,1,68958,18865,0.14329368745395418,34,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1367,4805,1,1334,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,17,223,17815,1,12,1742,6,120,0.41137066300240466,2070,3507,1.6942028985507247,0.7058823529411765,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,343,46,STYLE,0.012861736334405145,FE_FLOATING_POINT_EQUALITY,20,3,2,0.47050754458161864,0.06310013717421124,0.0027434842249657062,-1.0,0.375,0.010190217391304348,0.20943952802359883,0.6899001772206611,-0.25,0.01607717041800643,0.10610932475884244,0.6899001772206611,-0.5626822157434402,-1.0,44,1228,1117,2562,1801,0.11226851851851852,39,752,1049,2592,0.06533941004241105,4739,4441,1,9181,2,298,3,0.3147435588279762,5,43260,0,24395,1303,1,68958,18865,0.14329368745395418,34,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1367,4805,1,1334,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,17,223,17815,1,12,1742,6,120,0.43816557883888696,2070,3507,1.6942028985507247,0.7058823529411765,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,343,46,STYLE,0.012861736334405145,FE_FLOATING_POINT_EQUALITY,20,3,2,0.47050754458161864,0.06310013717421124,0.0027434842249657062,-1.0,0.375,0.010190217391304348,0.20943952802359883,0.6899001772206611,-0.25,0.01607717041800643,0.10610932475884244,0.6899001772206611,-0.5626822157434402,-1.0,44,1228,1117,2562,1801,0.11226851851851852,39,752,1049,2592,0.06533941004241105,4739,4441,1,9181,2,298,3,0.3147435588279762,5,43260,0,24395,1303,1,68958,18865,0.14329368745395418,34,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1367,4805,1,1334,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,6,223,17815,1,12,1742,2,120,0.06887667468223978,2070,3507,1.6942028985507247,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,343,46,STYLE,0.08038585209003216,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.47050754458161864,0.06310013717421124,0.012345679012345678,-1.0,0.1,0.00391304347826087,0.20943952802359883,0.6899001772206611,-0.8,0.01607717041800643,0.10610932475884244,0.6899001772206611,-0.5626822157434402,-1.0,44,1228,1117,2562,1801,0.11226851851851852,39,752,1049,2592,0.06533941004241105,4739,4441,1,9181,2,298,3,0.3147435588279762,5,43260,0,24395,1303,1,68958,18865,0.14329368745395418,34,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1367,4805,1,1334,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,6,223,17815,1,12,1742,2,120,0.06612847818619032,2070,3507,1.6942028985507247,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,343,46,STYLE,0.08038585209003216,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.47050754458161864,0.06310013717421124,0.012345679012345678,-1.0,0.1,0.00391304347826087,0.20943952802359883,0.6899001772206611,-0.8,0.01607717041800643,0.10610932475884244,0.6899001772206611,-0.5626822157434402,-1.0,44,1228,1117,2562,1801,0.11226851851851852,39,752,1049,2592,0.06533941004241105,4739,4441,1,9181,2,298,3,0.3147435588279762,5,43260,0,24395,1303,1,68958,18865,0.14329368745395418,34,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1367,4805,1,1334,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,6,223,17815,1,12,1742,2,120,0.07162487117828925,2070,3507,1.6942028985507247,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,343,46,STYLE,0.08038585209003216,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.47050754458161864,0.06310013717421124,0.012345679012345678,-1.0,0.1,0.00391304347826087,0.20943952802359883,0.6899001772206611,-0.8,0.01607717041800643,0.10610932475884244,0.6899001772206611,-0.5626822157434402,-1.0,44,1228,1117,2562,1801,0.11226851851851852,39,752,1049,2592,0.06533941004241105,4739,4441,1,9181,2,298,3,0.3147435588279762,5,43260,0,24395,1303,1,68958,18865,0.14329368745395418,34,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1367,4805,1,1334,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,6,223,17815,1,12,1742,2,120,0.07437306767433871,2070,3507,1.6942028985507247,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,343,46,STYLE,0.08038585209003216,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.47050754458161864,0.06310013717421124,0.012345679012345678,-1.0,0.1,0.00391304347826087,0.20943952802359883,0.6899001772206611,-0.8,0.01607717041800643,0.10610932475884244,0.6899001772206611,-0.5626822157434402,-1.0,44,1228,1117,2562,1801,0.11226851851851852,39,752,1049,2592,0.06533941004241105,4739,4441,1,9181,2,298,3,0.3147435588279762,5,43260,0,24395,1303,1,68958,18865,0.14329368745395418,34,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1367,4805,1,1334,open
