F61,F77,F88,F70,
9,8624,3576,11856,
9,8624,3576,11856,
9,8624,3576,11856,
8,5382,2424,8614,
43,3732,1427,6964,
134,8392,3486,11624,
173,10529,4525,13761,
173,10529,4525,13761,
4,220,83,3452,
173,10529,4525,13761,
31,8226,3428,11458,
31,8226,3428,11458,
4,5376,2423,8608,
25,8624,3576,11856,
10,4564,1941,7796,
15,10529,4525,13761,
17,8944,3919,12176,
17,8944,3919,12176,
17,8944,3919,12176,
5,5238,2370,8470,
17,8944,3919,12176,
6,4493,1884,7725,
15,9262,3982,12494,
58,10529,4525,13761,
5,4104,1650,7336,
33,10337,4348,13569,
23,10094,4227,13326,
17,8589,3553,11821,
27,8624,3576,11856,
27,8624,3576,11856,
40,10315,4326,13547,
20,8944,3919,12176,
20,8944,3919,12176,
4,5238,2370,8470,
4,5238,2370,8470,
5,4104,1650,7336,
5,4104,1650,7336,
25,10030,4193,13262,
25,10030,4193,13262,
4,5238,2370,8470,
12,8589,3553,11821,
5,5238,2370,8470,
29,10529,4525,13761,
26,10529,4525,13761,
32,7042,3123,10274,
15,10529,4525,13761,
11,10047,4207,13279,
16,10529,4525,13761,
16,10529,4525,13761,
28,9243,3978,12475,
62,10529,4525,13761,
29,8933,3877,12165,
41,10529,4525,13761,
53,10529,4525,13761,
23,10529,4525,13761,
18,10529,4525,13761,
14,9237,3978,12469,
24,8866,3854,12098,
18,8624,3576,11856,
3,10812,5963,14044,
43,10173,4262,13405,
49,9366,4002,12598,
22,8733,3739,11965,
5,5236,2369,8468,
6,5236,2369,8468,
18,8195,3416,11427,
3,5236,2369,8468,
3,5236,2369,8468,
25,8356,3471,11588,
33,10001,4161,13233,
3,5236,2369,8468,
3,5236,2369,8468,
10,8624,3576,11856,
3,5236,2369,8468,
10,5235,2369,8467,
7,5236,2369,8468,
7,5236,2369,8468,
6,5235,2369,8467,
6,5235,2369,8467,
0,1345,636,4577,
19,5235,2369,8467,
12,10529,4525,13761,
133,10127,4249,13359,
111,8937,3884,12169,
68,5235,2369,8467,
111,8937,3884,12169,
118,9749,4072,12981,
22,2241,904,5473,
14,5235,2369,8467,
4,5376,2423,8608,
21,7596,3214,10828,
6,5236,2369,8468,
5,1553,748,4785,
7,4502,1895,7734,
60,10337,4348,13569,
42,8014,3359,11246,
12,5236,2369,8468,
3,2937,1117,6169,
7,5233,2369,8465,
8,5233,2369,8465,
4,3138,1141,6370,
10,5223,2356,8455,
3,1058,519,4290,
8,5233,2369,8465,
8,5233,2369,8465,
4,5233,2369,8465,
10,4636,1968,7868,
1,567,387,3799,
9,4630,1965,7862,
31,9996,4155,13228,
5,3358,1176,6590,
22,7114,3141,10346,
28,9357,4002,12589,
25,9353,4001,12585,
11,5233,2369,8465,
24,9996,4155,13228,
20,9934,4103,13166,
8,5233,2369,8465,
8,5233,2369,8465,
5,3310,1164,6542,
7,3984,1561,7216,
18,8543,3530,11775,
10,5233,2369,8465,
18,3268,1157,6500,
24,5233,2369,8465,
50,9996,4155,13228,
9,5226,2359,8458,
10,5223,2356,8455,
1,1289,592,4521,
1,1289,592,4521,
8,5233,2369,8465,
3,3172,1146,6404,
5,2302,940,5534,
4,282,115,3514,
23,5488,2457,8720,
73,10529,4525,13761,
73,10529,4525,13761,
1,5233,2369,8465,
9,10134,4251,13366,
51,7042,3123,10274,
85,10529,4525,13761,
85,10529,4525,13761,
10,5233,2369,8465,
10,5233,2369,8465,
10,5233,2369,8465,
25,8185,3414,11417,
18,10529,4525,13761,
46,10116,4243,13348,
23,10157,4258,13389,
21,10185,4264,13417,
21,9936,4105,13168,
8,5488,2457,8720,
3,2686,1071,5918,
2,1369,654,4601,
2,1369,654,4601,
6,3223,1153,6455,
1,1369,654,4601,
1,1369,654,4601,
8,5233,2369,8465,
1,1102,529,4334,
3,1308,610,4540,
34,10041,4205,13273,
34,10041,4205,13273,
34,10041,4205,13273,
2,916,497,4148,
5,1320,624,4552,
5,1320,624,4552,
10,5233,2369,8465,
0,74,34,3306,
6,3316,1165,6548,
18,3348,1174,6580,
77,10529,4525,13761,
2,5233,2369,8465,
6,5005,2240,8237,
24,10529,4525,13761,
3,3940,1519,7172,
7,1589,755,4821,
3,5376,2423,8608,
15,7596,3214,10828,
42,10277,4290,13509,
9,4629,1965,7861,
7,4502,1895,7734,
39,10506,4520,13738,
25,10315,4326,13547,
25,9999,4159,13231,
10,5000,2240,8232,
37,10506,4520,13738,
4,5233,2369,8465,
8,4203,1712,7435,
5,5407,2428,8639,
13,5233,2369,8465,
45,9994,4155,13226,
6,1057,519,4289,
50,10529,4525,13761,
16,9994,4155,13226,
20,10529,4525,13761,
11,2228,900,5460,
36,5294,2407,8526,
27,10529,4525,13761,
7,2865,1097,6097,
7,2865,1097,6097,
95,10529,4525,13761,
19,10529,4525,13761,
3,2865,1097,6097,
3,2865,1097,6097,
36,10529,4525,13761,
11,5620,2522,8852,
7,1057,519,4289,
7,5233,2369,8465,
10,6024,2635,9256,
14,5407,2428,8639,
13,5233,2369,8465,
23,10315,4326,13547,
44,9994,4155,13226,
44,9994,4155,13226,
13,5233,2369,8465,
2,1038,516,4270,
2,1038,516,4270,
4,4458,1871,7690,
4,4458,1871,7690,
13,5233,2369,8465,
42,10529,4525,13761,
16,10529,4525,13761,
22,10529,4525,13761,
3,1526,732,4758,
57,10529,4525,13761,
22,10315,4326,13547,
5,5233,2369,8465,
5,5233,2369,8465,
32,9691,4054,12923,
3,731,451,3963,
13,9247,3979,12479,
18,7042,3123,10274,
1,759,454,3991,
25,4646,1974,7878,
11,2548,1036,5780,
22,4607,1964,7839,
62,4643,1974,7875,
69,5233,2369,8465,
27,876,489,4108,
21,863,489,4095,
92,7042,3123,10274,
27,876,489,4108,
2,42,15,3274,
58,5233,2369,8465,
18,794,468,4026,
23,818,478,4050,
77,7042,3123,10274,
77,7042,3123,10274,
23,818,478,4050,
19,806,477,4038,
137,10529,4525,13761,
137,10529,4525,13761,
137,10529,4525,13761,
