F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-ByteBuffer,F16-long[],F16-long,F16-ByteBuffer[][],F16-Token,F16-Boolean,F16-Object,F16-NA,F16-void,F16-int,F16-boolean,F16-Double,F16-String,F16-Integer,F16-Pair,F16-Long,F16-MessageOut,F16-File,F16-CommitLogSegment,F16-byte[][],F3-NA,F3-CFMetaData,F3-Class,F3-EncryptionOptions,F3-Composites.EMPTY,F3-SSTableReader,F3-byte[],F3-DecoratedKey,F3-type.toString().toLowerCase(),F3-boolean,F3-e.getKey().toLowerCase(),F3-arg0.name().toByteBuffer(),F3-char,F3-String,F3-long,F3-InetAddress,F3-int,F3-ByteBuffer,F3-BitSet,F3-input,F7-^,F7-++,F7---,F7-%,F7-&,F7-*,F7-+,F7-^=,F7--,F7--=,F7-+=,F7-NA,F7-*=,F12-long,F12-int,F12-FixedValueComparator,F12-List<ByteBuffer>,F12-NA,F12-TField,F12-Logger,F12-String,F12-OptionSimple,F12-TimeUUIDType,F12-double,F12-Histogram,F12-Pattern,F12-DistributionFactory,F12-List<AbstractType>,F12-TStruct,F12-List<ColumnInfo>,F12-UUID,F12-ColumnToCollectionType,F12-Map<Class<? extends IScheme> SchemeFactory>,F17-static,F17-final,F17-NA,F2-Class,F2-NA,F2-Random,F2-TreeSet<CellName>,F2-ArrayList<ReadCommand>,F2-Integer,F2-SSLFactory,F2-Math,F2-StandardTokenizerImpl,F2-CqlLexer,F2-PrintStream,F2-String,F2-ByteBuffer,F2-System,F2-Cql_Lexer,F2-Boolean,F2-SocketFactory,F2-OrderPreservingPartitioner,F2-ThreadPoolExecutor,F2-File,F6-java.util.Random,F6-org.apache.cassandra.io.util.DataOutputStreamAndChannel,F6-java.io.RandomAccessFile,F6-NA,F6-org.apache.cassandra.db.marshal.LexicalUUIDType,F6-org.apache.cassandra.db.BufferCell,F6-java.io.FileOutputStream,F6-org.apache.cassandra.db.marshal.InetAddressType,F6-java.util.HashMap<java.lang.Class<? extends org.apache.cassandra.thrift.IScheme> org.apache.cassandra.thrift.SchemeFactory>,F6-java.util.zip.Inflater,F6-java.io.DataInputStream,F6-org.apache.thrift.protocol.TStruct,F6-org.apache.cassandra.db.marshal.LongType,F6-java.io.FileReader,F6-java.io.File,F6-java.lang.String,F6-org.apache.cassandra.hadoop.pig.ResourceFieldSchema,F6-org.apache.cassandra.stress.settings.OptionSimple,F6-org.apache.thrift.protocol.TField,F6-org.apache.cassandra.db.marshal.DynamicCompositeType.FixedValueComparator,F13-private,F13-NA,F13-public,F13-protected,F18-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-static,F14-final-final,F14-NA,F14-final,F1-size,F1-registerQuery,F1-NA,F1-add,F1-getDeclaredField,F1-pushFollow,F1-assertEquals,F1-string,F1-get,F1-getSSTables,F1-compareTo,F1-predict,F1-value,F1-getLogger,F1-put,F1-match,F1-count,F1-createTempFile,F1-max,F1-exit,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.io.OutputStreamWriter,F5-AbstractType,F5-OpDistributionFactory,F5-java.io.FilterOutputStream,F5-java.io.FilterInputStream,F5-java.io.InputStreamReader,F5-java.util.EventObject,F5-java.lang.Number,F5-java.util.AbstractList,F5-java.lang.RuntimeException,F5-java.io.Reader,F5-org.apache.cassandra.db.commitlog.CommitLogReplayer$ReplayFilter,F5-java.lang.AbstractStringBuilder,F5-java.io.BufferedReader,F5-java.io.OutputStream,F5-java.text.DateFormat,F9-description,F9-bloom_filter_fp_chance,F9-displayPrefix,F9-max,F9-tries,F9-visits,F9-string,F9-key_cache_size,F9-delta,F9-distribution,F9-keyspaceName,F9-insert,F9-min,F9-dclocal_read_repair_chance,F9-mem,F9-NA,F9-userTypes,F9-out,F9-delegate,F9-batchsize,F10-NA,F19-NA,F19-abstract,F19-interface,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-String[],F4-boolean,F4-ByteBuffer,F4-long,F4-SSLContext,F4-Socket,F4-Prepared,F4-byte[],F4-CachingOptions,F4-File,F4-void,F4-StringBuilder,F4-T,F4-int,F4-String,F4-Field,F4-BigInteger,F4-OutputStream,F4-byte,F8-DistributionBoundApache,F8-ColumnFamilyMetricNameFactory,F8-FunctionName,F8-SettingsErrors,F8-StreamException,F8-StressSettings,F8-DistributionOffsetApache,F8-GeneratorConfig,F8-OptionSimple,F8-DistributionInverted,F8-SettingsTransport,F8-DistributionQuantized,F8-KeyspaceMetricNameFactory,F8-NA,F8-SettingsPopulation,F8-UTMetaData,F8-StreamState,F8-SettingsInsert,F8-CfDef,F8-DataOutputStreamPlus,F11-SUPER_COLUMN_FIELD_DESC,F11-IRE_FIELD_DESC,F11-COMPRESSION_FIELD_DESC,F11-NA,F11-NAME_FIELD_DESC,F11-SUCCESS_FIELD_DESC,F11-KEY_FIELD_DESC,F11-schemes,F11-KEYSPACE_FIELD_DESC,F11-logger,F11-START_TOKEN_FIELD_DESC,F11-WHY_FIELD_DESC,F11-COLUMN_PARENT_FIELD_DESC,F11-STRUCT_DESC,F11-COLUMN_FAMILY_FIELD_DESC,F11-COLUMNS_FIELD_DESC,F11-instance,F11-QUERY_FIELD_DESC,F11-UE_FIELD_DESC,F11-ITEM_ID_FIELD_DESC,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-xedin@apache.org,F71-povel.y@gmail.com,F71-sylvain@datastax.com,F71-yukim@apache.org,F71-brandonwilliams@apache.org,F71-dbrosius@mebigfatguy.com,F71-johan@apache.org,F71-jakers@gmail.com,F71-benedict@apache.org,F71-marcuse@apache.org,F71-marcuse@spotify.com,F71-jbellis@apache.org,F71-gdusbabek@apache.org,F71-vijay2win@gmail.com,F71-dbrosius@apache.org,F71-aleksey@apache.org,F71-jake@apache.org,F71-eevans@apache.org,F71-tyler@datastax.com,F71-slebresne@apache.org,F74,F73,F84,F146,category
10814,org/apache/cassandra,org/apache/cassandra/AbstractSerializationsTester.java,1345,true,0,4,336,2,4,103,1,44,0.5135135135135135,47,19,0.40425531914893614,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,MALICIOUS_CODE,0.004351610095735422,MS_MUTABLE_COLLECTION_PKGPROTECT,18,2,0,8.326394671107411E-4,1.0407993338884263E-4,0.0,0.0,0.5,0.022727272727272728,0.3037974683544304,0.31604098266049,0.0,8.703220191470844E-4,0.009573542210617928,0.31604098266049,-0.625,-1.0,14,7228,1331,10711,6,0.0,0,1,5,7,0.0021186517232864997,25,2,5,32,0,23,0,0.015657252526419512,0,740,0,297,139,0,1176,443,0.06376836079537176,554,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,4033,13775,322,3797,open
10814,org/apache/cassandra,org/apache/cassandra/AbstractSerializationsTester.java,1345,true,5,4,336,2,8,103,1,44,0.9594594594594594,47,19,0.40425531914893614,0.6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,BAD_PRACTICE,0.012184508268059183,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,8.326394671107411E-4,1.0407993338884263E-4,5.203996669442132E-5,-1.0,0.4642857142857143,0.00888301749271137,0.44945848375451264,0.39227512239598844,-0.03571428571428571,0.004351610095735422,0.1061792863359443,0.39227512239598844,-0.625,-1.0,16,7331,1345,10814,6,0.0,0,1,5,7,0.0021186517232864997,25,2,5,32,0,23,0,0.015657252526419512,0,740,0,297,139,0,1176,443,0.06376836079537176,554,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,4033,13775,322,3797,open
10896,org/apache/cassandra,org/apache/cassandra/EmbeddedServer.java,1354,true,0,3,336,4,4,103,1,44,0.37349397590361444,55,18,0.32727272727272727,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,MALICIOUS_CODE,0.0039164490861618795,MS_PKGPROTECT,18,2,0,8.326394671107411E-4,1.0407993338884263E-4,0.0,0.0,0.2222222222222222,0.015712682379349044,0.3037974683544304,0.31604098266049,-0.5555555555555556,8.703220191470844E-4,0.009573542210617928,0.31604098266049,-0.625,1.0,7,8569,1567,12052,6,0.0,0,1,5,7,0.0021186517232864997,2,5,0,7,0,-3,0,0.017014971927635684,0,740,0,297,139,0,1176,443,0.06376836079537176,1258,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4740,13775,322,3797,close
10896,org/apache/cassandra,org/apache/cassandra/EmbeddedServer.java,1354,true,0,3,336,4,0,103,1,44,0.6867469879518072,55,18,0.32727272727272727,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,STYLE,0.07919930374238468,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,20,3,1,8.326394671107411E-4,1.0407993338884263E-4,5.203996669442132E-5,1.0,0.054945054945054944,0.0017905550304186152,0.2035490605427975,0.7759481653230883,-0.8791208791208791,0.009138381201044387,0.07658833768494343,0.7759481653230883,-0.625,1.0,1,4119,817,7602,6,0.0,0,1,5,7,0.0021186517232864997,2,5,0,7,0,-3,0,0.017014971927635684,0,740,0,297,139,0,1176,443,0.06376836079537176,1258,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4740,13775,322,3797,close
6533,org/apache/cassandra,org/apache/cassandra/MethodComparator.java,573,true,22,8,336,3,8,103,3,44,0.6347305389221557,129,21,0.16279069767441862,0.13636363636363635,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,I18N,0.04264577893820714,DM_DEFAULT_ENCODING,19,1,1,8.326394671107411E-4,1.5611990008326394E-4,5.203996669442132E-5,-1.0,0.5816326530612245,0.12166805497709288,0.5,0.003491666831941718,0.24489795918367346,0.0039164490861618795,0.03176675369886858,0.003491666831941718,-0.625,-1.0,5,3050,573,6533,6,0.0,0,1,5,7,0.0021186517232864997,140,3,0,143,0,137,0,0.4198987453224741,0,740,0,297,139,0,1176,443,0.06376836079537176,1520,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,13775,322,3797,open
6533,org/apache/cassandra,org/apache/cassandra/MethodComparator.java,573,true,0,8,336,3,8,103,1,44,0.2155688622754491,129,21,0.16279069767441862,1.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,BAD_PRACTICE,0.018711923411662314,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,19,2,0,8.326394671107411E-4,1.5611990008326394E-4,0.0,0.0,0.3023255813953488,0.007533029436761184,0.44945848375451264,0.39227512239598844,-0.3488372093023256,0.004351610095735422,0.1061792863359443,0.39227512239598844,-0.625,-1.0,5,3050,573,6533,6,0.0,0,1,5,7,0.0021186517232864997,140,3,0,143,0,137,0,0.4198987453224741,0,740,0,297,139,0,1176,443,0.06376836079537176,1520,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,13775,322,3797,open
6533,org/apache/cassandra,org/apache/cassandra/MethodComparator.java,573,true,0,8,336,3,0,103,1,44,0.8922155688622755,129,21,0.16279069767441862,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,BAD_PRACTICE,0.006527415143603133,EQ_COMPARETO_USE_OBJECT_EQUALS,16,2,1,8.326394671107411E-4,1.5611990008326394E-4,5.203996669442132E-5,-1.0,0.4666666666666667,0.008888888888888889,0.44945848375451264,0.39227512239598844,-0.06666666666666667,0.004351610095735422,0.1061792863359443,0.39227512239598844,-0.625,-1.0,5,3050,573,6533,6,0.0,0,1,5,7,0.0021186517232864997,140,3,0,143,0,137,0,0.4198987453224741,0,740,0,297,139,0,1176,443,0.06376836079537176,1520,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,13775,322,3797,open
4011,org/apache/cassandra,org/apache/cassandra/OffsetAwareConfigurationLoader.java,97,true,2,2,336,1,0,103,1,44,0.6349206349206349,31,17,0.5483870967741935,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,PERFORMANCE,8.703220191470844E-4,DM_BOXED_PRIMITIVE_FOR_PARSING,16,1,1,8.326394671107411E-4,5.203996669442132E-5,5.203996669442132E-5,-1.0,0.5,0.017857142857142856,0.5553145336225597,0.18512167159707296,0.0,0.015665796344647518,0.10400348128807659,0.18512167159707296,-0.625,-1.0,0,528,97,4011,6,0.0,0,1,5,7,0.0021186517232864997,39,0,0,39,0,39,0,0.18932038834951456,0,740,0,297,139,0,1176,443,0.06376836079537176,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4011,13775,322,3797,open
4653,org/apache/cassandra,org/apache/cassandra/SchemaLoader.java,209,true,5,23,336,18,8,103,2,44,0.9958847736625515,380,43,0.11315789473684211,0.8,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,STYLE,0.006962576153176675,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,13,2,1,8.326394671107411E-4,5.203996669442132E-5,5.203996669442132E-5,-1.0,0.5,0.008620689655172414,0.2035490605427975,0.7759481653230883,0.125,0.009138381201044387,0.07658833768494343,0.7759481653230883,-0.625,-1.0,45,4620,928,8103,6,0.012448132780082987,0,1,5,7,0.0021186517232864997,277,192,127,596,1,85,2,0.04258938042156995,3,740,0,297,139,1,1176,443,0.06376836079537176,322,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,3797,13775,322,3797,open
5999,org/apache/cassandra,org/apache/cassandra/Util.java,469,true,2,37,336,6,0,103,1,44,0.5514511873350924,296,31,0.10472972972972973,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,STYLE,0.02349869451697128,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,18,2,1,8.326394671107411E-4,5.203996669442132E-5,5.203996669442132E-5,1.0,0.2222222222222222,0.005959982971477224,0.2035490605427975,0.7759481653230883,-0.5555555555555556,0.009138381201044387,0.07658833768494343,0.7759481653230883,-0.625,1.0,3,565,104,4048,6,0.01509433962264151,0,1,5,7,0.0021186517232864997,200,95,7,302,0,105,4,0.024952985685528967,4,740,0,297,139,4,1176,443,0.06376836079537176,322,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3797,13775,322,3797,close
