STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/maven/AbstractCoreMavenComponentTestCase.java,createMavenSession,145-145,[            project = projectBuilder.build( pom, configuration ).getProject();],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/maven/AbstractCoreMavenComponentTestCase.java,getLocalRepository,213-213,[        return repositorySystem.createLocalRepository( repoDir );],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/maven/AbstractCoreMavenComponentTestCase.java,getRemoteRepositories,199-199,[        return Arrays.asList( repositorySystem.buildArtifactRepository( repository ) );],,
CORRECTNESS,IL_INFINITE_RECURSIVE_LOOP,org/apache/maven/AbstractCoreMavenComponentTestCase.java,addDependency,324-324,[            return addDependency( groupId, artifactId, version, scope, exclusion );            ],,
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,org/apache/maven/AbstractCoreMavenComponentTestCase.java,,313-357,[        {,             plugin = new Plugin();,             plugin.setGroupId( groupId );,             plugin.setArtifactId( artifactId );,             plugin.setVersion( version );                         ,         },                 ,         // Dependencies,         //,         public PluginBuilder addDependency( String groupId, String artifactId, String version, String scope, Exclusion exclusion ),         {,             return addDependency( groupId, artifactId, version, scope, exclusion );            ,         }, ,         public PluginBuilder addDependency( String groupId, String artifactId, String version, String scope, String systemPath ),         {,             return addDependency( groupId, artifactId, version, scope, systemPath, null );         ,         },         ,         public PluginBuilder addDependency( String groupId, String artifactId, String version, String scope, String systemPath, Exclusion exclusion ),         {,             Dependency d = new Dependency();,             d.setGroupId( groupId );,             d.setArtifactId( artifactId );,             d.setVersion( version );,             d.setScope( scope );,             ,             if ( systemPath != null && scope.equals(  Artifact.SCOPE_SYSTEM ) ),             {,                 d.setSystemPath( systemPath );,             },             ,             if ( exclusion != null ),             {,                 d.addExclusion( exclusion );,             },             ,             plugin.getDependencies().add( d );,             ,             return this;,         },                 ,         public Plugin get(),         {,             return plugin;],,
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,org/apache/maven/AbstractCoreMavenComponentTestCase.java,,221-304,[        {,             this.project = project;,         }, ,         public ProjectBuilder( String groupId, String artifactId, String version ),         {,             Model model = new Model();,             model.setModelVersion( "4.0.0" );,             model.setGroupId( groupId );,             model.setArtifactId( artifactId );,             model.setVersion( version );  ,             model.setBuild(  new Build() );,             project = new MavenProject( model );            ,         },         ,         public ProjectBuilder setGroupId( String groupId ),         {,             project.setGroupId( groupId );,             return this;,         }, ,         public ProjectBuilder setArtifactId( String artifactId ),         {,             project.setArtifactId( artifactId );,             return this;,         },         ,         public ProjectBuilder setVersion( String version ),         {,             project.setVersion( version );,             return this;,         },         ,         // Dependencies,         //,         public ProjectBuilder addDependency( String groupId, String artifactId, String version, String scope ),         {,             return addDependency( groupId, artifactId, version, scope, (Exclusion)null );,         },         ,         public ProjectBuilder addDependency( String groupId, String artifactId, String version, String scope, Exclusion exclusion ),         {,             return addDependency( groupId, artifactId, version, scope, null, exclusion );            ,         }, ,         public ProjectBuilder addDependency( String groupId, String artifactId, String version, String scope, String systemPath ),         {,             return addDependency( groupId, artifactId, version, scope, systemPath, null );         ,         },         ,         public ProjectBuilder addDependency( String groupId, String artifactId, String version, String scope, String systemPath, Exclusion exclusion ),         {,             Dependency d = new Dependency();,             d.setGroupId( groupId );,             d.setArtifactId( artifactId );,             d.setVersion( version );,             d.setScope( scope );,             ,             if ( systemPath != null && scope.equals(  Artifact.SCOPE_SYSTEM ) ),             {,                 d.setSystemPath( systemPath );,             },             ,             if ( exclusion != null ),             {,                 d.addExclusion( exclusion );,             },             ,             project.getDependencies().add( d );,             ,             return this;,         },         ,         // Plugins,         //,         public ProjectBuilder addPlugin( Plugin plugin ),         {,             project.getBuildPlugins().add( plugin );            ,             return this;,         },         ,         public MavenProject get(),         {,             return project;],,
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org/apache/maven/DefaultMaven.java,getMavenVersion,477-477,[        InputStream is = getClass().getResourceAsStream( "/META-INF/maven/org.apache.maven/maven-core/pom.properties" );],,getMavenVersion,478-478,[        if ( is != null )],,getMavenVersion,482-482,[                props.load( is );],,getMavenVersion,484-484,[            catch ( IOException e )],,getMavenVersion,486-486,[                logger.debug( "Failed to read Maven version", e );],,
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,org/apache/maven/DefaultMaven.java,validateLocalRepository,501-501,[        localRepoDir.mkdirs();],,
BAD_PRACTICE,UI_INHERITANCE_UNSAFE_GETRESOURCE,org/apache/maven/DefaultMaven.java,getMavenVersion,477-477,[        InputStream is = getClass().getResourceAsStream( "/META-INF/maven/org.apache.maven/maven-core/pom.properties" );],,
PERFORMANCE,URF_UNREAD_FIELD,org/apache/maven/MavenTest.java,,36-36,[        exceptionHandler = lookup( ExceptionHandler.class );],,
