F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-String[],F16-Boolean,F16-Object,F16-NA,F16-ExecRow,F16-Conglomerate,F16-void,F16-GroupFetchScanController,F16-int,F16-ScanController,F16-Properties,F16-boolean,F16-PrintWriter,F16-RandomAccessFile,F16-String,F16-SQLException,F16-FileOutputStream,F16-TupleDescriptor,F16-Void,F16-ExecIndexRow,F3-NA,F3-int[],F3-Integer,F3-Long,F3-PrintStream,F3-ResultSet,F3-InputStream,F3-TransactionController,F3-null,F3-byte[],F3-boolean,F3-char,F3-String,F3-long,F3-ExecRow,F3-int,F3-PrintWriter,F3-SQLException,F3-QualifiedIdentifier,F3-Connection,F7-|,F7--,F7-/,F7-++,F7--=,F7---,F7-+=,F7-&,F7-NA,F7-*,F7-+,F12-long,F12-int,F12-NA,F12-LocalizedResource,F12-boolean,F12-LocalizedOutput,F12-SQLException,F12-int[],F12-String[],F12-byte[],F12-String,F12-Connection,F12-ArrayList<ResultSet>,F12-Hashtable,F12-ConnectionEnv,F12-PrintStream,F12-Class[],F12-Statement,F12-ResultSet,F12-TypeDescriptor,F17-static,F17-final,F17-NA,F17-final-final,F2-ResultSet,F2-SystemProcedures,F2-JDBCDisplayUtil,F2-BrokeredConnection,F2-NA,F2-UCode_CharStream,F2-Runtime,F2-Integer,F2-StringBuffer,F2-Properties,F2-Connection,F2-String,F2-ij,F2-PreparedStatement,F2-System,F2-SQLParserTokenManager,F2-DRDAConnThread,F2-Hashtable<Integer String>,F2-Statement,F2-File,F6-java.io.RandomAccessFile,F6-org.apache.derby.impl.sql.compile.IsNullNode,F6-NA,F6-java.lang.Long,F6-java.io.FileWriter,F6-java.io.FileOutputStream,F6-java.io.InputStreamReader,F6-org.apache.derby.impl.sql.compile.FromList,F6-java.util.Properties,F6-java.io.FileInputStream,F6-java.io.PrintWriter,F6-java.lang.Integer,F6-java.io.File,F6-java.lang.Boolean,F6-java.lang.String,F6-org.apache.derby.impl.sql.execute.rts.XPLAINResultSetTimingsDescriptor,F6-java.lang.StringBuffer,F6-java.lang.StringBuilder,F6-java.util.Vector<java.lang.String>,F6-org.apache.derby.impl.tools.ij.Token,F13-private,F13-NA,F13-public,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-static,F14-NA,F14-final,F1-executeQuery,F1-ReInit,F1-size,F1-NA,F1-getBoolean,F1-generateCsSQLException,F1-prepareStatement,F1-jj_consume_token,F1-next,F1-getDefaultConn,F1-readChar,F1-get,F1-append,F1-equals,F1-getProperty,F1-put,F1-qualifiedIdentifier,F1-toString,F1-jjStopAtPos,F1-newException,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-javax.naming.InitialContext,F5-java.io.OutputStreamWriter,F5-java.lang.Thread,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F5-java.io.InputStream,F5-java.lang.Number,F5-java.util.Date,F5-java.io.Reader,F5-java.util.AbstractList,F5-java.lang.RuntimeException,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F5-java.lang.Exception,F5-java.util.Dictionary,F9-isXAConnection_,F9-password,F9-traceDirectory,F9-description,F9-containerId,F9-databaseName,F9-user,F9-serviceType,F9-cachedCharLength,F9-array,F9-unclosableInternalReader,F9-dataSourceName,F9-NA,F9-retrieveMessageText,F9-objectType,F9-uuidFactory,F9-backupRoot,F9-loginTimeout,F9-portNumber,F9-length,F10-NA,F10-true,F19-NA,F19-interface,F19-abstract,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-Pkgnamcsn,F4-boolean,F4-InputStream,F4-long,F4-StringBuffer,F4-ResultSet,F4-Statement,F4-PreparedStatement,F4-KeyStore,F4-char,F4-Token,F4-Connection,F4-Object,F4-void,F4-double,F4-QualifiedIdentifier,F4-int,F4-String,F4-SQLException,F8-EmbeddedBaseDataSource,F8-DRDAServerStarter,F8-DDdependableFinder,F8-PermDescriptor,F8-TemporaryClob,F8-UpdateServiceProperties,F8-AuthenticationServiceBase,F8-ClientConnection,F8-RealHashScanStatistics,F8-ClientBaseDataSourceRoot,F8-DoubleProperties,F8-BaseDataFileFactory,F8-DRDAProtocolExceptionInfo,F8-AliasDescriptor,F8-mtTime,F8-NA,F8-MeteredStream,F8-ByteArray,F8-StatementKey,F8-ijRowResult,F11-ignoreWebLogic,F11-langUtil,F11-scanned,F11-NA,F11-DS_GET_CONN_TYPES,F11-file,F11-propFile,F11-urlCheck,F11-displayColumns,F11-resultSet,F11-actions,F11-CONTAINER_KEY_MEMORY_USAGE,F11-catalogType,F11-num_pages,F11-kind,F11-used,F11-serialVersionUID,F11-portingOnly,F11-currentConnEnv,F11-out,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-mamta@apache.org,F71-djd@apache.org,F71-lilywei@apache.org,F71-davidvc@apache.org,F71-kmarsden@apache.org,F71-rhillegas@apache.org,F71-bakksjo@apache.org,F71-mikem@apache.org,F71-myrnavl@apache.org,F71-kristwaa@apache.org,F71-dag@apache.org,F71-kahatlen@apache.org,F71-bandaram@apache.org,F71-oysteing@apache.org,F71-suresht@apache.org,F71-dyre@apache.org,F71-bernt@apache.org,F71-fuzzylogic@apache.org,F71-bpendleton@apache.org,F71-coar@apache.org,F74,F73,F84,F146,category
3644,java/sql,java/sql/SQLException.java,2104,true,3,13,1278,1,0,965,1,48,4.725,18,16,0.8888888888888888,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,BAD_PRACTICE,0.005647438483259379,NM_CONFUSING,19,3,0,0.007931034482758621,6.89655172413793E-4,1.7241379310344826E-4,-0.5,0.0,0.0,0.05938242280285035,0.15591308057414213,-1.0,0.0052440500201694235,0.0060508269463493344,0.15591308057414213,-1.0,-1.0,5,7700,3519,8135,0,0.0,0,0,0,0,0.0,264,132,0,396,0,132,0,0.014331108775374518,0,18628,0,10888,0,0,29516,7740,0.060576778270975795,399,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,8135,399,834,open
3346,javax/sql/rowset,javax/sql/rowset/BaseRowSet.java,1938,true,3,129,386,1,0,260,1,10,2.798342541436464,158,16,0.10126582278481013,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,BAD_PRACTICE,0.005647438483259379,NM_CONFUSING,19,3,0,0.0010344827586206897,0.0010344827586206897,1.7241379310344826E-4,-0.5,0.0,0.0,0.05938242280285035,0.15591308057414213,-1.0,0.0052440500201694235,0.0060508269463493344,0.15591308057414213,-1.0,-1.0,1,7700,3519,8135,0,0.0,0,0,0,0,0.0,151,0,0,151,0,151,0,0.008430573390653787,0,425,0,0,0,0,425,425,0.002351891049435118,2907,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346,8135,2907,3346,open
3346,javax/sql/rowset,javax/sql/rowset/BaseRowSet.java,1938,true,3,129,386,1,0,260,1,10,2.8287292817679557,158,16,0.10126582278481013,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,BAD_PRACTICE,0.005647438483259379,NM_CONFUSING,19,3,0,0.0010344827586206897,0.0010344827586206897,1.7241379310344826E-4,-0.5,0.0,0.0,0.05938242280285035,0.15591308057414213,-1.0,0.0052440500201694235,0.0060508269463493344,0.15591308057414213,-1.0,-1.0,1,7700,3519,8135,0,0.0,0,0,0,0,0.0,151,0,0,151,0,151,0,0.008430573390653787,0,425,0,0,0,0,425,425,0.002351891049435118,2907,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346,8135,2907,3346,open
8134,org/apache/derby/catalog,org/apache/derby/catalog/GetProcedureColumns.java,3519,true,30,8,973,1,0,153,5,16,0.41194029850746267,243,38,0.15637860082304528,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,STYLE,0.03630496167809601,BC_UNCONFIRMED_CAST,20,3,1,0.01,6.89655172413793E-4,3.448275862068965E-4,-1.0,0.022222222222222223,5.432098765432099E-4,0.03018867924528302,0.1328156651181426,-0.9555555555555556,0.008874546187979023,0.0052440500201694235,0.1328156651181426,-1.0,-1.0,15,7700,3519,8135,2,0.0,0,2,0,4,0.0033273915626856805,21,12,148,181,0,9,0,0.03601525830420321,0,1406,0,495,444,0,2345,911,0.08605224474285882,351,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,786,8135,5,439,open
8134,org/apache/derby/catalog,org/apache/derby/catalog/GetProcedureColumns.java,3519,true,0,8,973,1,0,153,1,16,0.4059701492537313,243,38,0.15637860082304528,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,PERFORMANCE,0.020572811617587738,URF_UNREAD_FIELD,18,2,0,0.01,6.89655172413793E-4,0.0,0.0,0.0392156862745098,0.002511854414968602,0.23110151187904968,0.15350258225518276,-0.9215686274509803,0.004437273093989512,0.03872529245663574,0.15350258225518276,-1.0,-1.0,15,7700,3519,8135,2,0.0,0,2,0,4,0.0033273915626856805,21,12,148,181,0,9,0,0.03601525830420321,0,1406,0,495,444,0,2345,911,0.08605224474285882,351,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,786,8135,5,439,open
1034,org/apache/derby/catalog,org/apache/derby/catalog/SystemProcedures.java,388,true,19,81,973,2,8,153,2,16,0.8520084566596194,1353,764,0.5646711012564671,0.15789473684210525,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,STYLE,0.09197256958450989,DLS_DEAD_LOCAL_STORE,17,2,1,0.01,0.009310344827586206,3.448275862068965E-4,-1.0,0.021929824561403508,5.362226839027393E-4,0.03018867924528302,0.1328156651181426,-0.956140350877193,0.008874546187979023,0.0052440500201694235,0.1328156651181426,-1.0,-1.0,22,2729,1803,3164,2,0.0,0,2,0,4,0.0033273915626856805,846,229,24,1099,0,617,0,0.22927075284387427,0,1406,0,495,444,0,2345,911,0.08605224474285882,145,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,580,8135,5,439,open
1034,org/apache/derby/catalog,org/apache/derby/catalog/SystemProcedures.java,388,true,3,81,973,2,0,153,1,16,0.7733615221987316,1353,764,0.5646711012564671,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,BAD_PRACTICE,4.033884630899556E-4,DMI_RANDOM_USED_ONLY_ONCE,14,1,1,0.01,0.009310344827586206,3.448275862068965E-4,-1.0,0.0,0.0,0.05938242280285035,0.15591308057414213,-1.0,0.0052440500201694235,0.0060508269463493344,0.15591308057414213,-1.0,-1.0,76,7700,3519,8135,2,0.0,0,2,0,4,0.0033273915626856805,846,229,24,1099,0,617,0,0.22927075284387427,0,1406,0,495,444,0,2345,911,0.08605224474285882,145,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,580,8135,5,439,open
1034,org/apache/derby/catalog,org/apache/derby/catalog/SystemProcedures.java,388,true,4,81,973,2,0,153,1,16,0.2824524312896406,1353,764,0.5646711012564671,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,I18N,0.007260992335619202,DM_CONVERT_CASE,20,3,1,0.01,0.009310344827586206,3.448275862068965E-4,-1.0,0.16666666666666666,0.06944444444444445,0.07462686567164178,0.001201809690526359,-0.6666666666666666,0.0016135538523598225,4.033884630899556E-4,0.001201809690526359,-1.0,-1.0,76,7700,3519,8135,2,0.0,0,2,0,4,0.0033273915626856805,846,229,24,1099,0,617,0,0.22927075284387427,0,1406,0,495,444,0,2345,911,0.08605224474285882,145,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,580,8135,5,439,open
1034,org/apache/derby/catalog,org/apache/derby/catalog/SystemProcedures.java,388,true,16,81,973,2,0,153,6,16,0.8101479915433404,1353,764,0.5646711012564671,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,STYLE,0.020572811617587738,NP_LOAD_OF_KNOWN_NULL_VALUE,16,2,1,0.01,0.009310344827586206,3.448275862068965E-4,-1.0,0.0784313725490196,0.0018069973087274124,0.03018867924528302,0.1328156651181426,-0.8431372549019608,0.008874546187979023,0.0052440500201694235,0.1328156651181426,-1.0,-1.0,30,4024,2345,4459,2,0.0,0,2,0,4,0.0033273915626856805,846,229,24,1099,0,617,0,0.22927075284387427,0,1406,0,495,444,0,2345,911,0.08605224474285882,145,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,580,8135,5,439,open
1034,org/apache/derby/catalog,org/apache/derby/catalog/SystemProcedures.java,388,true,25,81,973,2,0,153,7,16,0.7809725158562368,1353,764,0.5646711012564671,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,STYLE,0.020572811617587738,NP_LOAD_OF_KNOWN_NULL_VALUE,16,2,1,0.01,0.009310344827586206,3.448275862068965E-4,-1.0,0.0784313725490196,0.0018069973087274124,0.03018867924528302,0.1328156651181426,-0.8431372549019608,0.008874546187979023,0.0052440500201694235,0.1328156651181426,-1.0,-1.0,30,4024,2345,4459,2,0.0,0,2,0,4,0.0033273915626856805,846,229,24,1099,0,617,0,0.22927075284387427,0,1406,0,495,444,0,2345,911,0.08605224474285882,145,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,580,8135,5,439,open
