0,,F72,
3,,F25,
9,,F34,
11,,F69,
12,,F68,
16,,F104,
17,,F105,
26,,F16-void,
55,,F3-int,
114,,F2-File,
126,,F6-java.lang.Integer,
150,,F1-getBoolean,
217,,F4-boolean,
229,,F4-void,
275,,F94,
281,,F22,
286,,F116,
287,,F117,
290,,F120,
296,,F115,
298,,F77,
302,,F40,
306,,F44,
308,,F126,
313,,F130,
314,,F35,
316,,F38,
317,,F132,
319,,F133,
320,,F134,
321,,F39,
322,,F135,
327,,F71-djd@apache.org,
332,,F71-bakksjo@apache.org,
333,,F71-mikem@apache.org,
343,,F71-fuzzylogic@apache.org,
345,,F71-coar@apache.org,
350,,category,
original feature size,351
refined feature size,37
