0,,F72,
2,,F55,
3,,F25,
5,,F62,
6,,F65,
7,,F64,
10,,F66,
11,,F69,
12,,F68,
14,,F102,
19,,F108,
22,,F16-void,
43,,F3-FileInputStream,
47,,F3-String,
68,,F12-String,
92,,F2-Properties,
112,,F6-java.io.FileInputStream,
113,,F6-java.util.Properties,
148,,F1-load,
163,,F5-java.util.Hashtable,
164,,F5-java.io.InputStream,
220,,F4-void,
266,,F95,
270,,F23,
274,,F112,
276,,F116,
286,,F115,
287,,F61,
302,,F36,
304,,F35,
308,,F37,
332,,F71-hibou@apache.org,
340,,category,
original feature size,341
refined feature size,32
