0,,F72,
1,,F54,
2,,F55,
5,,F62,
6,,F65,
7,,F64,
8,,F67,
9,,F34,
10,,F66,
11,,F69,
14,,F102,
15,,F103,
16,,F104,
17,,F105,
22,,F16-void,
23,,F16-int,
47,,F3-String,
65,,F12-boolean,
69,,F12-AssertionFailedError,
96,,F2-Iterator,
202,,F15-protected,
203,,F15-public,
221,,F4-String,
253,,F11-error,
265,,F94,
266,,F95,
268,,F109,
270,,F23,
272,,F79,
274,,F112,
275,,F113,
276,,F116,
277,,F117,
278,,F118,
281,,F110,
285,,F114,
286,,F115,
287,,F61,
288,,F77,
290,,F70,
291,,F41,
293,,F43,
298,,F126,
299,,F127,
300,,F128,
301,,F129,
303,,F130,
304,,F35,
305,,F131,
307,,F132,
311,,F39,
316,,F71-kevj@apache.org,
318,,F71-jskeet@apache.org,
322,,F71-stevel@apache.org,
323,,F71-jglick@apache.org,
327,,F71-sbailliez@apache.org,
328,,F71-ehatcher@apache.org,
338,,F84,
340,,category,
original feature size,341
refined feature size,58
