0,,F72,
1,,F54,
2,,F55,
8,,F67,
10,,F66,
12,,F68,
13,,F101,
14,,F102,
15,,F103,
17,,F105,
19,,F108,
27,,F16-void,
29,,F16-int,
35,,F16-String,
51,,F3-String,
54,,F3-int,
61,,F7-++,
69,,F7--=,
70,,F7-+=,
75,,F12-int,
146,,F18-public,
218,,F15-public,
221,,F4-boolean,
281,,F95,
283,,F109,
284,,F20,
286,,F22,
289,,F112,
291,,F116,
293,,F118,
295,,F120,
296,,F110,
297,,F121,
298,,F122,
299,,F123,
301,,F115,
303,,F77,
304,,F88,
312,,F46,
313,,F126,
314,,F127,
316,,F129,
317,,F36,
318,,F130,
320,,F131,
329,,F137,
331,,F71-ryan@apache.org,
332,,F71-chrism@apache.org,
334,,F71-shalin@apache.org,
335,,F71-rmuir@apache.org,
336,,F71-sarowe@apache.org,
337,,F71-simonw@apache.org,
340,,F71-markrmiller@apache.org,
341,,F71-noble@apache.org,
342,,F71-jbernste@apache.org,
343,,F71-yonik@apache.org,
344,,F71-mikemccand@apache.org,
350,,F71-uschindler@apache.org,
351,,F74,
352,,F73,
355,,category,
original feature size,356
refined feature size,60
