F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-InvocationHandler,F16-List<String>,F16-StringBuffer,F16-Boolean,F16-Object,F16-NA,F16-void,F16-int,F16-Character,F16-Double,F16-String,F16-Double[],F16-Integer,F16-StrBuilder,F16-Boolean[],F16-Short[],F16-Short,F16-Integer[],F16-Float[],F16-Character[],F3-NA,F3-ArrayUtils.isSameLength(nullArray nullArray),F3-new ToStringBuilder(base).append(array).toString(),F3-Integer,F3-ArrayUtils.toObject(b),F3-Throwable,F3-ArrayUtils.toPrimitive(b),F3-!new EqualsBuilder().append(obj1 obj2).isEquals(),F3-double[],F3-null,F3-byte[],F3-boolean,F3-new EqualsBuilder().append(obj1 obj2).isEquals(),F3-char,F3-String,F3-boolean[],F3-int,F3-char[],F3-ArrayUtils.nullToEmpty(original),F3-long[],F7--,F7--=,F7-+=,F7-&,F7-NA,F7-*,F7-+,F12-long,F12-Integer,F12-Random,F12-int,F12-Object,F12-NA,F12-String,F17-final,F17-static-final,F17-NA,F2-Class,F2-StringBuilder,F2-List<Integer>,F2-TimeUnit,F2-NA,F2-Integer,F2-ByteArrayOutputStream,F2-Executors,F2-String,F2-DurationFormatUtils,F2-ExceptionUtilsTest,F2-List<VetoableChangeListener>,F2-AccessibleObject,F2-Reader,F2-Class<>,F2-ToStringBuilderTest,F2-BooleanUtils,F2-Calendar,F2-TestSubObject,F2-Token,F6-java.io.ByteArrayOutputStream,F6-org.apache.commons.lang3.text.translate.NumericEntityUnescaper,F6-java.util.Random,F6-NA,F6-java.io.PrintStream,F6-java.lang.Character,F6-java.lang.Integer,F6-org.apache.commons.lang3.builder.HashCodeBuilder,F6-java.lang.Object,F6-org.apache.commons.lang3.builder.EqualsBuilder,F6-org.apache.commons.lang3.builder.ToStringBuilderTest.SelfInstanceTwoVarsReflectionTestFixture,F6-java.lang.String,F6-org.apache.commons.lang3.mutable.MutableLong,F6-org.apache.commons.lang3.builder.ToStringBuilder,F6-java.lang.Thread,F6-java.util.Date,F6-org.apache.commons.lang3.tuple.ImmutableTriple,F6-org.apache.commons.lang3.text.StrBuilder,F6-java.lang.CloneNotSupportedException,F6-java.io.IOException,F13-private,F13-NA,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-NA,F1-assertSame,F1-getDeclaredField,F1-assertEquals,F1-getFraction,F1-assertReflectionArray,F1-setAccessible,F1-substring,F1-assertArrayEquals,F1-asReader,F1-constantFuture,F1-reverse,F1-compareTo,F1-charAt,F1-assertFalse,F1-valueOf,F1-read,F1-toString,F1-toCharacterObject,F1-assertTrue,F5-java.lang.Object,F5-NA,F5-java.lang.Number,F5-java.io.OutputStream,F5-java.io.FilterOutputStream,F5-java.lang.Exception,F9-testFixture,F9-NA,F9-length,F10-NA,F19-NA,F15-NA,F15-protected,F15-public,F0-NA,F4-NA,F4-ExecutorService,F4-Integer,F4-boolean,F4-Token[],F4-long,F4-Date,F4-Throwable,F4-char,F4-Boolean,F4-byte[],F4-void,F4-StringBuilder,F4-char[],F4-String,F4-int,F4-Field,F8-MutatingClient,F8-NA,F8-InspectingClient,F11-i,F11-secretField,F11-NA,F11-N,F11-object,F11-serialVersionUID,F11-random,F11-showField,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-jcarman@apache.org,F71-pbenedict@apache.org,F71-britter@apache.org,F71-niallp@apache.org,F71-chas@apache.org,F71-oheger@apache.org,F71-julius@apache.org,F71-brentworden@apache.org,F71-kinow@apache.org,F71-mcucchiara@apache.org,F71-ggregory@apache.org,F71-bayard@apache.org,F71-djones@apache.org,F71-joehni@apache.org,F71-psteitz@apache.org,F71-scolebourne@apache.org,F71-mbenson@apache.org,F71-tn@apache.org,F71-sebb@apache.org,F74,F73,F84,F146,category
2238,org/apache/commons/lang3,org/apache/commons/lang3/AnnotationUtilsTest.java,1386,true,6,11,19005,5,7,1946,1,122,0.44291338582677164,461,20,0.04338394793926247,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,337,2,BAD_PRACTICE,0.002751031636863824,NM_CONFUSING,19,3,0,0.4554054054054054,0.002702702702702703,6.756756756756757E-4,-0.5,0.0,0.0,0.012987012987012988,0.1629842019452409,-1.0,0.0,0.001375515818431912,0.1629842019452409,-0.8753709198813057,-1.0,17,1462,1386,2238,295,0.0,75,192,103,562,0.04898604002275989,138,301,1,440,0,-163,0,0.23173910635010525,0,45624,0,27101,1580,0,74305,18523,0.1418953277206626,553,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1328,4805,3,778,open
2238,org/apache/commons/lang3,org/apache/commons/lang3/AnnotationUtilsTest.java,1386,true,0,11,19005,5,14,1946,1,122,0.889763779527559,461,20,0.04338394793926247,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,337,2,PERFORMANCE,0.10729023383768914,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.4554054054054054,0.002702702702702703,0.0,0.0,0.1794871794871795,0.01227262765724304,0.1393939393939394,0.1441745102569434,-0.6410256410256411,0.0068775790921595595,0.027510316368638238,0.1441745102569434,-0.8753709198813057,-1.0,17,1462,1386,2238,295,0.0,75,192,103,562,0.04898604002275989,138,301,1,440,0,-163,0,0.23173910635010525,0,45624,0,27101,1580,0,74305,18523,0.1418953277206626,553,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1328,4805,3,778,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1663,true,14,233,19005,1,12,1946,5,122,0.4213464696223317,2135,3700,1.7330210772833723,0.6428571428571429,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,337,46,STYLE,0.011004126547455296,FE_FLOATING_POINT_EQUALITY,20,3,2,0.4554054054054054,0.062162162162162166,0.002702702702702703,-1.0,0.0,0.0,0.06349206349206349,0.2658143502507453,-1.0,0.002751031636863824,0.033012379642365884,0.2658143502507453,-0.8753709198813057,-1.0,55,1786,1663,2562,295,0.20689655172413793,75,192,103,562,0.04898604002275989,2046,5296,41,7383,9,-3250,9,0.30625120544817425,18,45624,0,27101,1580,0,74305,18523,0.1418953277206626,26,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,801,4805,3,778,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1663,true,14,233,19005,1,12,1946,5,122,0.4553366174055829,2135,3700,1.7330210772833723,0.6428571428571429,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,337,46,STYLE,0.011004126547455296,FE_FLOATING_POINT_EQUALITY,20,3,2,0.4554054054054054,0.062162162162162166,0.002702702702702703,-1.0,0.0,0.0,0.06349206349206349,0.2658143502507453,-1.0,0.002751031636863824,0.033012379642365884,0.2658143502507453,-0.8753709198813057,-1.0,55,1786,1663,2562,295,0.20689655172413793,75,192,103,562,0.04898604002275989,2046,5296,41,7383,9,-3250,9,0.30625120544817425,18,45624,0,27101,1580,0,74305,18523,0.1418953277206626,26,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,801,4805,3,778,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1663,true,17,233,19005,1,12,1946,6,122,0.43711001642036124,2135,3700,1.7330210772833723,0.7058823529411765,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,337,46,STYLE,0.011004126547455296,FE_FLOATING_POINT_EQUALITY,20,3,2,0.4554054054054054,0.062162162162162166,0.002702702702702703,-1.0,0.0,0.0,0.06349206349206349,0.2658143502507453,-1.0,0.002751031636863824,0.033012379642365884,0.2658143502507453,-0.8753709198813057,-1.0,55,1786,1663,2562,295,0.20689655172413793,75,192,103,562,0.04898604002275989,2046,5296,41,7383,9,-3250,9,0.30625120544817425,18,45624,0,27101,1580,0,74305,18523,0.1418953277206626,26,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,801,4805,3,778,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1663,true,17,233,19005,1,12,1946,6,122,0.4627257799671593,2135,3700,1.7330210772833723,0.7058823529411765,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,337,46,STYLE,0.011004126547455296,FE_FLOATING_POINT_EQUALITY,20,3,2,0.4554054054054054,0.062162162162162166,0.002702702702702703,-1.0,0.0,0.0,0.06349206349206349,0.2658143502507453,-1.0,0.002751031636863824,0.033012379642365884,0.2658143502507453,-0.8753709198813057,-1.0,55,1786,1663,2562,295,0.20689655172413793,75,192,103,562,0.04898604002275989,2046,5296,41,7383,9,-3250,9,0.30625120544817425,18,45624,0,27101,1580,0,74305,18523,0.1418953277206626,26,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,801,4805,3,778,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1663,true,6,233,19005,1,12,1946,2,122,0.06633825944170772,2135,3700,1.7330210772833723,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,337,46,STYLE,0.0687757909215956,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.4554054054054054,0.062162162162162166,0.012162162162162163,-1.0,0.1,0.00391304347826087,0.06349206349206349,0.2658143502507453,-0.8,0.002751031636863824,0.033012379642365884,0.2658143502507453,-0.8753709198813057,-1.0,55,1786,1663,2562,295,0.20689655172413793,75,192,103,562,0.04898604002275989,2046,5296,41,7383,9,-3250,9,0.30625120544817425,18,45624,0,27101,1580,0,74305,18523,0.1418953277206626,26,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,801,4805,3,778,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1663,true,6,233,19005,1,12,1946,2,122,0.06371100164203612,2135,3700,1.7330210772833723,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,337,46,STYLE,0.0687757909215956,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.4554054054054054,0.062162162162162166,0.012162162162162163,-1.0,0.1,0.00391304347826087,0.06349206349206349,0.2658143502507453,-0.8,0.002751031636863824,0.033012379642365884,0.2658143502507453,-0.8753709198813057,-1.0,55,1786,1663,2562,295,0.20689655172413793,75,192,103,562,0.04898604002275989,2046,5296,41,7383,9,-3250,9,0.30625120544817425,18,45624,0,27101,1580,0,74305,18523,0.1418953277206626,26,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,801,4805,3,778,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1663,true,6,233,19005,1,12,1946,2,122,0.06896551724137931,2135,3700,1.7330210772833723,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,337,46,STYLE,0.0687757909215956,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.4554054054054054,0.062162162162162166,0.012162162162162163,-1.0,0.1,0.00391304347826087,0.06349206349206349,0.2658143502507453,-0.8,0.002751031636863824,0.033012379642365884,0.2658143502507453,-0.8753709198813057,-1.0,55,1786,1663,2562,295,0.20689655172413793,75,192,103,562,0.04898604002275989,2046,5296,41,7383,9,-3250,9,0.30625120544817425,18,45624,0,27101,1580,0,74305,18523,0.1418953277206626,26,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,801,4805,3,778,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1663,true,6,233,19005,1,12,1946,2,122,0.07159277504105091,2135,3700,1.7330210772833723,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,337,46,STYLE,0.0687757909215956,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.4554054054054054,0.062162162162162166,0.012162162162162163,-1.0,0.1,0.00391304347826087,0.06349206349206349,0.2658143502507453,-0.8,0.002751031636863824,0.033012379642365884,0.2658143502507453,-0.8753709198813057,-1.0,55,1786,1663,2562,295,0.20689655172413793,75,192,103,562,0.04898604002275989,2046,5296,41,7383,9,-3250,9,0.30625120544817425,18,45624,0,27101,1580,0,74305,18523,0.1418953277206626,26,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,801,4805,3,778,open
