0,,F72,
1,,F54,
2,,F55,
3,,F25,
5,,F62,
6,,F65,
7,,F64,
8,,F67,
9,,F34,
10,,F66,
11,,F69,
12,,F68,
13,,F101,
14,,F102,
15,,F103,
16,,F104,
17,,F105,
18,,F107,
26,,F16-void,
29,,F16-boolean,
52,,F3-String,
113,,F2-Boolean,
158,,F1-getSSTables,
160,,F1-compareTo,
210,,F15-protected,
211,,F15-public,
266,,F95,
268,,F109,
270,,F23,
271,,F22,
272,,F79,
275,,F113,
276,,F116,
277,,F117,
281,,F110,
285,,F114,
286,,F115,
287,,F61,
288,,F77,
289,,F88,
291,,F41,
293,,F43,
294,,F42,
296,,F44,
298,,F126,
299,,F127,
300,,F128,
302,,F36,
307,,F132,
308,,F37,
310,,F134,
314,,F137,
315,,F83,
316,,F71-xedin@apache.org,
317,,F71-jmckenzie@apache.org,
321,,F71-brandonwilliams@apache.org,
322,,F71-dbrosius@mebigfatguy.com,
323,,F71-johan@apache.org,
326,,F71-marcuse@apache.org,
328,,F71-gdusbabek@apache.org,
329,,F71-vijay2win@gmail.com,
330,,F71-dbrosius@apache.org,
331,,F71-aleksey@apache.org,
332,,F71-jake@apache.org,
336,,F74,
337,,F73,
340,,category,
original feature size,341
refined feature size,66
