F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-PluginContainer,F16-RepositoryBase,F16-Profile,F16-RepositoryPolicy,F16-Object,F16-char,F16-ActivationFile,F16-NA,F16-void,F16-int,F16-ActivationOS,F16-boolean,F16-String,F16-Date,F16-ActivationProperty,F16-ConfigurationContainer,F16-FileSet,F16-Activation,F16-Model,F16-Settings,F3-NA,F3-planItemIterator.next(),F3-Model,F3-Class,F3-localRepository(),F3-DefaultBeanConfigurationRequest,F3-ArtifactRepository,F3-File,F3-RepositoryMetadata,F3-InputStream,F3-null,F3-boolean,F3-ProjectSegment,F3-XmlPullParser,F3-String,F3-int,F3-MavenSession,F3-Artifact,F3-SimpleProblemCollector,F3-MavenProject,F7--,F7-+=,F7-NA,F7-+,F12-File,F12-NA,F12-boolean,F12-String,F12-ThreadOutputMuxer,F12-List<TransferEvent>,F12-List<String>,F17-static,F17-NA,F2-MetadataXpp3Reader,F2-NA,F2-Map<String String>,F2-Integer,F2-Byte,F2-ByteArrayOutputStream,F2-Short,F2-HashMap<String Artifact>,F2-MavenXpp3Reader,F2-String,F2-Collections,F2-ParamdocXpp3Reader,F2-Double,F2-Long,F2-Float,F2-DefaultInheritanceAssemblerTest,F2-List,F2-MavenProject,F2-MavenToolchainsXpp3Reader,F2-File,F6-java.io.ByteArrayOutputStream,F6-NA,F6-org.apache.maven.model.io.xpp3.RepositoryBase,F6-java.util.Properties,F6-java.util.HashMap,F6-java.io.PrintStream,F6-org.apache.maven.model.io.xpp3.InputLocation,F6-org.apache.maven.model.io.xpp3.PatternSet,F6-org.apache.maven.model.io.xpp3.ModelBase,F6-java.io.File,F6-org.apache.maven.project.DefaultProjectBuildingRequest,F6-java.util.HashMap<java.lang.String java.lang.String>,F6-org.apache.maven.lifecycle.internal.ConcurrentBuildLogger,F6-org.apache.maven.model.io.xpp3.FileSet,F6-java.lang.StringBuilder,F6-org.apache.maven.model.io.xpp3.XmlPullParserException,F6-org.apache.maven.model.validation.SimpleProblemCollector,F6-org.apache.maven.settings.DefaultProjectBuildingRequest,F6-org.apache.maven.model.io.xpp3.PluginContainer,F6-org.apache.maven.model.io.xpp3.PluginConfiguration,F13-private,F13-NA,F13-public,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-shortValue,F1-getProject,F1-doubleValue,F1-startTag,F1-getAttributeValue,F1-getAttributeCount,F1-delete,F1-NA,F1-getId,F1-getBasedir,F1-getPluginRepositories,F1-getBooleanValue,F1-longValue,F1-equals,F1-floatValue,F1-charAt,F1-getPlugins,F1-getName,F1-mkdirs,F1-byteValue,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-java.lang.Number,F5-java.util.AbstractList,F5-java.lang.AbstractStringBuilder,F5-java.util.HashSet,F5-java.io.OutputStream,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F5-java.text.DateFormat,F9-request,F9-start,F9-buildStartTime,F9-username,F9-modelPool,F9-dependency,F9-startTime,F9-project,F9-executionPlanItem,F9-upstreamProject,F9-remoteRepositories,F9-dependant,F9-cpc,F9-graph,F9-stop,F9-plugin,F9-pomArtifact,F9-NA,F9-relocatedArtifact,F9-dataBuffer,F10-NA,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-DependencyManagement,F4-boolean,F4-InputStream,F4-long,F4-Date,F4-float,F4-char,F4-Object,F4-File,F4-void,F4-double,F4-List,F4-StringBuilder,F4-String,F4-int,F4-Build,F4-short,F4-Model,F4-byte,F8-Dependency,F8-DefaultMavenExecutionRequest,F8-MetadataResolutionResult,F8-DefaultProjectBuilderConfiguration,F8-Authentication,F8-ArtifactTransferEvent,F8-DependencyLogEntry,F8-CacheRecord,F8-SettingsAdapter,F8-ClasspathGraphVisitor,F8-MojoExecution,F8-NA,F8-InternalConfig,F8-ProjectBuilder,F11-artifactExists,F11-NA,F11-artifactUri,F11-DEFAULT_USER_SETTINGS_FILE,F11-messages,F11-events,F11-threadOutputMuxer,F11-userMavenConfigurationHome,F11-EMPTY_PROJECT_GROUP_ID,F11-alias,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-bimargulies@apache.org,F71-ogusakov@apache.org,F71-vsiveton@apache.org,F71-brett@apache.org,F71-hboutemy@apache.org,F71-kenney@apache.org,F71-sisbell@apache.org,F71-mkleint@apache.org,F71-carlos@apache.org,F71-evenisse@apache.org,F71-olamy@apache.org,F71-jvanzyl@apache.org,F71-brianf@apache.org,F71-ifedorenko@apache.org,F71-stephenc@apache.org,F71-bentmann@apache.org,F71-krosenvold@apache.org,F71-joakime@apache.org,F71-trygvis@apache.org,F71-jdcasey@apache.org,F74,F73,F84,F146,category
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,1341,true,70,17,1342,1,13,136,6,29,0.5273364485981308,677,34,0.050221565731166914,0.08571428571428572,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,3,EXPERIMENTAL,0.0011723329425556857,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,20,2,2,0.017361111111111112,0.003472222222222222,0.0023148148148148147,1.0,1.0,0.0,0.25,0.08928571428571429,1.0,0.0,0.0011723329425556857,0.08928571428571429,-0.6,0.3333333333333333,312,9068,3066,9780,31,0.07177033492822966,0,27,4,58,0.02560970842764102,1850,1269,421,3540,18,581,3,0.17964486096765284,21,3467,0,1577,454,-15,5498,1890,0.1572215012963819,3,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,714,10178,3,714,close
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,1341,true,8,17,1342,1,8,136,2,29,0.5502336448598131,677,34,0.050221565731166914,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,3,BAD_PRACTICE,0.04220398593200469,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.017361111111111112,0.003472222222222222,0.0011574074074074073,-1.0,0.19444444444444445,0.009213870733478577,0.06172839506172839,0.14862722363751169,-0.5555555555555556,0.0023446658851113715,0.010550996483001172,0.14862722363751169,-0.6,0.3333333333333333,40,1117,1168,1829,31,0.07177033492822966,0,27,4,58,0.02560970842764102,1850,1269,421,3540,18,581,3,0.17964486096765284,21,3467,0,1577,454,-15,5498,1890,0.1572215012963819,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,714,10178,3,714,open
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,1341,true,14,17,1342,1,8,136,2,29,0.522196261682243,677,34,0.050221565731166914,0.21428571428571427,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,3,BAD_PRACTICE,0.005861664712778429,UI_INHERITANCE_UNSAFE_GETRESOURCE,19,3,2,0.017361111111111112,0.003472222222222222,0.0023148148148148147,1.0,0.2,0.009411764705882356,0.06172839506172839,0.14862722363751169,-0.6,0.0023446658851113715,0.010550996483001172,0.14862722363751169,-0.6,0.3333333333333333,21,691,858,1403,31,0.07177033492822966,0,27,4,58,0.02560970842764102,1850,1269,421,3540,18,581,3,0.17964486096765284,21,3467,0,1577,454,-15,5498,1890,0.1572215012963819,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,714,10178,3,714,close
9780,org/apache/maven,org/apache/maven/MavenTest.java,3066,true,0,4,1342,1,8,136,1,29,0.37735849056603776,44,2,0.045454545454545456,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,2,PERFORMANCE,0.007033997655334115,URF_UNREAD_FIELD,18,2,0,0.017361111111111112,0.0023148148148148147,0.0,0.0,0.0,0.0,0.10326086956521739,0.331596779357607,-1.0,0.0,0.022274325908558032,0.331596779357607,-0.6,-1.0,5,1864,1329,2576,31,0.0,0,27,4,58,0.02560970842764102,7,35,0,42,0,-28,0,0.015684863779699396,0,3467,0,1577,454,0,5498,1890,0.1572215012963819,163,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,874,10178,3,714,open
9780,org/apache/maven,org/apache/maven/MavenTest.java,3066,true,0,4,1342,1,8,136,1,29,0.3584905660377358,44,2,0.045454545454545456,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,2,PERFORMANCE,0.007033997655334115,URF_UNREAD_FIELD,18,2,0,0.017361111111111112,0.0023148148148148147,0.0,0.0,0.0,0.0,0.10326086956521739,0.331596779357607,-1.0,0.0,0.022274325908558032,0.331596779357607,-0.6,-1.0,7,2125,1373,2837,31,0.0,0,27,4,58,0.02560970842764102,7,35,0,42,0,-28,0,0.015684863779699396,0,3467,0,1577,454,0,5498,1890,0.1572215012963819,163,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,874,10178,3,714,open
4237,org/apache/maven,org/apache/maven/ProjectBuildFailureException.java,1909,true,3,3,1342,1,8,136,1,29,0.875,20,28,1.4,0.6666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,1,STYLE,0.004689331770222743,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,20,3,1,0.017361111111111112,0.0011574074074074073,0.0011574074074074073,-1.0,0.25,0.008928571428571428,0.07398568019093078,0.35531440416941207,-0.5,0.010550996483001172,0.026963657678780773,0.35531440416941207,-0.6,-1.0,2,3525,1909,4237,31,0.1118421052631579,0,27,4,58,0.02560970842764102,50,0,0,50,0,50,17,0.10213954002653694,17,3467,0,1577,454,17,5498,1890,0.1572215012963819,83,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,794,10178,3,714,open
1414,org/apache/maven,org/apache/maven/ReactorReader.java,860,true,16,12,1342,1,0,136,10,29,0.47770700636942676,212,60,0.2830188679245283,1.0,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,1,STYLE,0.14654161781946073,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,1,0.017361111111111112,0.0011574074074074073,0.0011574074074074073,1.0,0.04,0.0018285714285714283,0.07398568019093078,0.35531440416941207,-0.808,0.010550996483001172,0.026963657678780773,0.35531440416941207,-0.6,1.0,12,702,860,1414,31,0.03389830508474576,0,27,4,58,0.02560970842764102,270,29,1,300,3,241,3,0.1970652564402504,6,3467,0,1577,454,0,5498,1890,0.1572215012963819,83,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,794,10178,3,714,close
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2080,true,10,24,794,1,8,179,7,12,0.7849162011173184,249,32,0.1285140562248996,0.7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.0011723329425556857,OS_OPEN_STREAM_EXCEPTION_PATH,19,3,3,0.006944444444444444,0.004629629629629629,0.003472222222222222,-0.3333333333333333,1.0,0.0,0.06172839506172839,0.14862722363751169,1.0,0.0023446658851113715,0.010550996483001172,0.14862722363751169,-0.6666666666666666,-0.5,11,2873,1495,3585,2,0.078125,1,3,-1,6,0.007267992424242424,9,401,0,410,3,-392,2,0.021807451653826533,5,1864,0,1563,40,-1,3467,301,0.16953068995004264,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,714,10178,3,714,close
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2080,true,7,24,794,1,8,179,3,12,0.30726256983240224,249,32,0.1285140562248996,0.5714285714285714,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.04220398593200469,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.006944444444444444,0.004629629629629629,0.0011574074074074073,-1.0,0.19444444444444445,0.009213870733478577,0.06172839506172839,0.14862722363751169,-0.5555555555555556,0.0023446658851113715,0.010550996483001172,0.14862722363751169,-0.6666666666666666,-0.5,17,6867,2691,7579,2,0.078125,1,3,-1,6,0.007267992424242424,9,401,0,410,3,-392,2,0.021807451653826533,5,1864,0,1563,40,-1,3467,301,0.16953068995004264,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,714,10178,3,714,open
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2080,true,10,24,794,1,12,179,7,12,0.776536312849162,249,32,0.1285140562248996,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.04220398593200469,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,3,0.006944444444444444,0.004629629629629629,0.003472222222222222,-0.3333333333333333,0.19444444444444445,0.009213870733478577,0.06172839506172839,0.14862722363751169,-0.5555555555555556,0.0023446658851113715,0.010550996483001172,0.14862722363751169,-0.6666666666666666,-0.5,17,6867,2691,7579,2,0.078125,1,3,-1,6,0.007267992424242424,9,401,0,410,3,-392,2,0.021807451653826533,5,1864,0,1563,40,-1,3467,301,0.16953068995004264,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,714,10178,3,714,open
