F61,F77,F88,F70,
11,9201,3910,11856,
11,9201,3910,11856,
11,9201,3910,11856,
8,5959,2758,8614,
52,4309,1761,6964,
143,8969,3820,11624,
182,11106,4859,13761,
182,11106,4859,13761,
13,797,417,3452,
182,11106,4859,13761,
4,5953,2757,8608,
25,9201,3910,11856,
11,5141,2275,7796,
16,11106,4859,13761,
18,9521,4253,12176,
18,9521,4253,12176,
18,9521,4253,12176,
6,5815,2704,8470,
18,9521,4253,12176,
8,5070,2218,7725,
16,9839,4316,12494,
58,11106,4859,13761,
6,4681,1984,7336,
34,10914,4682,13569,
24,10671,4561,13326,
17,9166,3887,11821,
28,9201,3910,11856,
28,9201,3910,11856,
40,10892,4660,13547,
22,9521,4253,12176,
22,9521,4253,12176,
4,5815,2704,8470,
4,5815,2704,8470,
5,4681,1984,7336,
5,4681,1984,7336,
25,10607,4527,13262,
25,10607,4527,13262,
4,5815,2704,8470,
12,9166,3887,11821,
5,5815,2704,8470,
29,11106,4859,13761,
27,11106,4859,13761,
32,7619,3457,10274,
15,11106,4859,13761,
11,10624,4541,13279,
16,11106,4859,13761,
16,11106,4859,13761,
28,9820,4312,12475,
64,11106,4859,13761,
33,9510,4211,12165,
41,11106,4859,13761,
53,11106,4859,13761,
23,11106,4859,13761,
19,11106,4859,13761,
16,9814,4312,12469,
24,9443,4188,12098,
18,9201,3910,11856,
3,11389,6297,14044,
43,10750,4596,13405,
51,9943,4336,12598,
22,9310,4073,11965,
5,5813,2703,8468,
6,5813,2703,8468,
18,8772,3750,11427,
3,5813,2703,8468,
3,5813,2703,8468,
28,8933,3805,11588,
36,10578,4495,13233,
2,489,288,3144,
3,5813,2703,8468,
3,5813,2703,8468,
10,9201,3910,11856,
3,5813,2703,8468,
11,5812,2703,8467,
8,5813,2703,8468,
8,5813,2703,8468,
6,5812,2703,8467,
6,5812,2703,8467,
0,1922,970,4577,
21,5812,2703,8467,
5,535,305,3190,
5,535,305,3190,
12,11106,4859,13761,
136,10704,4583,13359,
114,9514,4218,12169,
71,5812,2703,8467,
114,9514,4218,12169,
121,10326,4406,12981,
25,2818,1238,5473,
15,5812,2703,8467,
4,5953,2757,8608,
21,8173,3548,10828,
8,5813,2703,8468,
8,2130,1082,4785,
9,5079,2229,7734,
61,10914,4682,13569,
43,8591,3693,11246,
12,5813,2703,8468,
1,30,44,2685,
1,30,44,2685,
1,30,44,2685,
2,30,44,2685,
4,3514,1451,6169,
8,5810,2703,8465,
9,5810,2703,8465,
6,3715,1475,6370,
11,5800,2690,8455,
4,1635,853,4290,
9,5810,2703,8465,
9,5810,2703,8465,
6,5810,2703,8465,
11,5213,2302,7868,
2,1144,721,3799,
10,5207,2299,7862,
35,10573,4489,13228,
6,3935,1510,6590,
23,7691,3475,10346,
29,9934,4336,12589,
26,9930,4335,12585,
12,5810,2703,8465,
25,10573,4489,13228,
21,10511,4437,13166,
11,5810,2703,8465,
11,5810,2703,8465,
6,3887,1498,6542,
8,4561,1895,7216,
19,9120,3864,11775,
11,5810,2703,8465,
19,3845,1491,6500,
25,5810,2703,8465,
51,10573,4489,13228,
10,5803,2693,8458,
11,5800,2690,8455,
2,1866,926,4521,
2,1866,926,4521,
9,5810,2703,8465,
4,3749,1480,6404,
7,2879,1274,5534,
8,859,449,3514,
27,6065,2791,8720,
77,11106,4859,13761,
77,11106,4859,13761,
1,5810,2703,8465,
9,10711,4585,13366,
58,7619,3457,10274,
92,11106,4859,13761,
92,11106,4859,13761,
20,11106,4859,13761,
