F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-float,F16-Thread,F16-JMeterProperty,F16-X509Certificate[],F16-AssertionResult,F16-long,F16-PreparedStatement,F16-NA,F16-CollectionProperty,F16-void,F16-int,F16-boolean,F16-PasswordAuthentication,F16-String,F16-Subject,F16-ParamMask,F16-HttpResponse,F16-Class<?>,F16-CookieManager,F16-List<HTTPSamplerBase>,F3-NA,F3-HttpRequestBase,F3-Set<String>,F3-JMeterTreeNode,F3-StringProperty,F3-CollectionProperty,F3-TestElementProperty,F3-PrintStream,F3-GenericController,F3-HashTree,F3-byte[],F3-boolean,F3-Object,F3-MenuIcon,F3-String,F3-long,F3-InterleaveControl.IGNORE_SUB_CONTROLLERS,F3-int,F3-String[],F3-Arguments,F7--,F7-++,F7-+=,F7-NA,F7-+,F12-long,F12-Integer,F12-int,F12-RemoteThreadsListener,F12-Object,F12-LinkedList<LoopIterationListener>,F12-NA,F12-ThreadLocal<Long>,F12-boolean,F12-JTextField,F12-Logger,F12-String,F12-SamplingStatCalculator,F12-JTree,F12-double,F12-JTextArea,F12-Class<?>,F12-RemoteSampleListener,F12-Set<String>,F12-BeanInfo,F17-static,F17-final,F17-NA,F2-StringBuilder,F2-NA,F2-Iterator<JButton>,F2-JTextComponent,F2-InputStream,F2-Entry<Object Object>,F2-AbstractButton,F2-JFileChooser,F2-Executors,F2-ExecutorService,F2-String,F2-HashTree,F2-MailerModel,F2-SystemSampler,F2-Long,F2-SaveService,F2-System,F2-Authorization,F2-File,F2-Throwable,F6-java.util.zip.GZIPInputStream,F6-java.io.ByteArrayOutputStream,F6-NA,F6-java.io.FileWriter,F6-org.apache.jmeter.config.StringProperty,F6-java.io.InputStreamReader,F6-org.apache.jmeter.protocol.http.modifier.TestElementProperty,F6-org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase.CleanerThread,F6-java.io.PrintWriter,F6-java.io.PrintStream,F6-org.apache.jmeter.gui.action.ActionRouter,F6-java.io.File,F6-java.lang.String,F6-java.lang.StringBuilder,F6-org.apache.jmeter.protocol.http.util.CollectionProperty,F6-org.apache.jmeter.protocol.http.sampler.DefaultHttpRequestRetryHandler,F6-java.util.Date,F6-org.apache.jmeter.testelement.property.StringProperty,F6-org.apache.jmeter.config.CollectionProperty,F6-java.io.BufferedReader,F13-private,F13-NA,F13-public,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-cloneTree,F1-setResponseData,F1-NA,F1-setStyle,F1-setProperty,F1-trim,F1-getInstance,F1-getPropDefault,F1-getLoggerForClass,F1-addComponent,F1-debug,F1-execute,F1-getSelectedFile,F1-printStackTrace,F1-valueOf,F1-setSelected,F1-setDelay,F1-getKey,F1-exit,F1-setArguments,F5-java.util.zip.InflaterInputStream,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-java.io.OutputStreamWriter,F5-java.lang.Thread,F5-java.io.FilterOutputStream,F5-javax.swing.JToggleButton,F5-javax.swing.Timer,F5-java.io.InputStreamReader,F5-java.io.Reader,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F9-label,F9-xAxisLabels,F9-startTime,F9-samplerLabel,F9-color,F9-time,F9-backColor,F9-chkBox,F9-yAxisLabel,F9-NA,F9-lineColor,F9-keyStore,F9-md5HexInput,F10-NA,F10-true,F19-NA,F19-abstract,F19-interface,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-HashTree,F4-String[],F4-Container,F4-boolean,F4-Future,F4-File[],F4-long,F4-JMeterProperty,F4-Node,F4-Object,F4-File,F4-void,F4-List,F4-StringBuilder,F4-Long,F4-String,F4-int,F4-JButton,F4-CallableStatement,F8-SSLManager,F8-RespTimeGraphLineBean,F8-BarGraph,F8-RespTimeGraphChart,F8-RespTimeGraphDataBean,F8-NA,F8-MD5HexAssertionGUI,F8-AxisGraph,F8-LineGraph,F11-ALWAYS_ENCODE,F11-APPLIABLE_CONFIG_CLASSES,F11-compareContent,F11-NA,F11-log,F11-firstTime,F11-ZERO,F11-LOCK,F11-maxThroughput,F11-logger,F11-PARENT,F11-USE_GROUP_NAME,F11-pct2Label,F11-serialVersionUID,F11-listener,F11-TEXT_HTML,F11-sumOfSquares,F11-CLEAR,F11-CONNECTOR_PREFIX_DEFAULT,F11-loopCount,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-dev-null@apache.org,F71-mblankestijn@apache.org,F71-fschumacher@apache.org,F71-jsalvata@apache.org,F71-dims@apache.org,F71-jeremy_a@apache.org,F71-seade@apache.org,F71-oros@apache.org,F71-woolfel@apache.org,F71-pmouawad@apache.org,F71-alf@apache.org,F71-fschumacher@unknown,F71-milamber@apache.org,F71-thads@apache.org,F71-rjung@apache.org,F71-sebb@apache.org,F71-mstover1@apache.org,F71-undera@apache.org,F71-pmouawad@unknown,F74,F73,F84,F146,category
11856,org/apache/commons/cli/avalon,org/apache/commons/cli/avalon/CLArgsParser.java,3910,true,3,27,199,1,8,53,1,7,0.15712187958883994,403,167,0.4143920595533499,0.6666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,MALICIOUS_CODE,0.012903225806451613,EI_EXPOSE_REP,18,2,1,0.004297994269340974,0.004297994269340974,0.0014326647564469914,1.0,0.125,0.021875,0.14705882352941177,0.03949325379661668,-0.75,0.0032258064516129032,0.004838709677419355,0.03949325379661668,1.0,1.0,11,9201,3910,11856,0,0.0,0,0,0,0,0.0,30,726,4,760,0,-696,0,0.0435884483143347,0,247,0,1292,17,0,1556,-1045,0.022647406572539257,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2772,14044,118,2772,close
11856,org/apache/commons/cli/avalon,org/apache/commons/cli/avalon/CLArgsParser.java,3910,true,14,27,199,1,8,53,1,7,0.3333333333333333,403,167,0.4143920595533499,0.35714285714285715,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,MALICIOUS_CODE,0.03225806451612903,EI_EXPOSE_REP2,18,2,2,0.004297994269340974,0.004297994269340974,0.0028653295128939827,1.0,0.1,0.018000000000000002,0.14705882352941177,0.03949325379661668,-0.8,0.0032258064516129032,0.004838709677419355,0.03949325379661668,1.0,1.0,11,9201,3910,11856,0,0.0,0,0,0,0,0.0,30,726,4,760,0,-696,0,0.0435884483143347,0,247,0,1292,17,0,1556,-1045,0.022647406572539257,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2772,14044,118,2772,close
11856,org/apache/commons/cli/avalon,org/apache/commons/cli/avalon/CLArgsParser.java,3910,true,14,27,199,1,8,53,1,7,0.328928046989721,403,167,0.4143920595533499,0.14285714285714285,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,MALICIOUS_CODE,0.03225806451612903,EI_EXPOSE_REP2,18,2,2,0.004297994269340974,0.004297994269340974,0.0028653295128939827,1.0,0.1,0.018000000000000002,0.14705882352941177,0.03949325379661668,-0.8,0.0032258064516129032,0.004838709677419355,0.03949325379661668,1.0,1.0,11,9201,3910,11856,0,0.0,0,0,0,0,0.0,30,726,4,760,0,-696,0,0.0435884483143347,0,247,0,1292,17,0,1556,-1045,0.022647406572539257,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2772,14044,118,2772,close
8614,org/apache/commons/jexl/bsf,org/apache/commons/jexl/bsf/JexlEngine.java,2758,true,13,8,67,1,0,8,2,1,0.9666666666666667,103,31,0.30097087378640774,1.0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,STYLE,0.09032258064516129,REC_CATCH_EXCEPTION,20,3,1,0.0014326647564469914,0.0014326647564469914,0.0014326647564469914,1.0,0.21428571428571427,0.008017492711370262,0.3609022556390977,0.42506765552712783,-0.5535714285714286,0.17419354838709677,0.13870967741935483,0.42506765552712783,1.0,1.0,8,5959,2758,8614,0,0.0,0,0,0,0,0.0,106,4,0,110,0,102,0,0.19026702786377708,0,106,0,4,0,0,110,102,0.19026702786377708,2219,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4873,14044,2219,4873,close
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4859,true,118,22,35,5,0,36,21,12,0.3515151515151515,926,135,0.14578833693304535,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,BAD_PRACTICE,0.008064516129032258,DM_EXIT,16,2,1,0.008595988538681949,0.008595988538681949,0.0014326647564469914,1.0,0.8,0.019999999999999997,0.41379310344827586,0.1048601512534388,0.6,0.03225806451612903,0.017741935483870968,0.1048601512534388,0.3333333333333333,0.3333333333333333,52,4309,1761,6964,0,0.0,0,0,0,0,0.0,745,839,35,1619,0,-94,0,0.15437446481303135,0,1240,0,1013,59,0,2312,227,0.15692087064528742,94,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2748,14044,94,2748,close
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4859,true,29,22,35,5,12,36,5,12,0.9056277056277057,926,135,0.14578833693304535,0.41379310344827586,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,MALICIOUS_CODE,0.012903225806451613,EI_EXPOSE_REP,18,2,1,0.008595988538681949,0.008595988538681949,0.0014326647564469914,-1.0,0.125,0.021875,0.14705882352941177,0.03949325379661668,-0.75,0.0032258064516129032,0.004838709677419355,0.03949325379661668,0.3333333333333333,0.3333333333333333,143,8969,3820,11624,0,0.0,0,0,0,0,0.0,745,839,35,1619,0,-94,0,0.15437446481303135,0,1240,0,1013,59,0,2312,227,0.15692087064528742,94,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,2748,14044,94,2748,open
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4859,true,68,22,35,5,0,36,10,12,0.7064935064935065,926,135,0.14578833693304535,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,STYLE,0.09032258064516129,REC_CATCH_EXCEPTION,17,2,1,0.008595988538681949,0.008595988538681949,0.0014326647564469914,-1.0,0.21428571428571427,0.008017492711370262,0.3609022556390977,0.42506765552712783,-0.5535714285714286,0.17419354838709677,0.13870967741935483,0.42506765552712783,0.3333333333333333,0.3333333333333333,182,11106,4859,13761,0,0.0,0,0,0,0,0.0,745,839,35,1619,0,-94,0,0.15437446481303135,0,1240,0,1013,59,0,2312,227,0.15692087064528742,94,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,2748,14044,94,2748,open
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4859,true,0,22,35,5,18,36,1,12,0.26926406926406926,926,135,0.14578833693304535,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,PERFORMANCE,0.05161290322580645,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.008595988538681949,0.008595988538681949,0.0,0.0,0.71875,0.028878348214285716,0.7045454545454546,0.1677679897339876,0.4375,0.041935483870967745,0.03225806451612903,0.1677679897339876,0.3333333333333333,0.3333333333333333,182,11106,4859,13761,0,0.0,0,0,0,0,0.0,745,839,35,1619,0,-94,0,0.15437446481303135,0,1240,0,1013,59,0,2312,227,0.15692087064528742,94,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,2748,14044,94,2748,open
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4859,true,0,22,35,5,0,36,1,12,0.8718614718614719,926,135,0.14578833693304535,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,STYLE,0.0032258064516129032,UC_USELESS_CONDITION,19,3,1,0.008595988538681949,0.008595988538681949,0.0014326647564469914,1.0,0.5,0.011904761904761904,0.3609022556390977,0.42506765552712783,0.0,0.17419354838709677,0.13870967741935483,0.42506765552712783,0.3333333333333333,0.3333333333333333,13,797,417,3452,0,0.0,0,0,0,0,0.0,745,839,35,1619,0,-94,0,0.15437446481303135,0,1240,0,1013,59,0,2312,227,0.15692087064528742,94,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2748,14044,94,2748,close
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4859,true,0,22,35,5,22,36,1,12,0.8571428571428571,926,135,0.14578833693304535,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,PERFORMANCE,0.05161290322580645,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.008595988538681949,0.008595988538681949,0.0,0.0,0.71875,0.028878348214285716,0.7045454545454546,0.1677679897339876,0.4375,0.041935483870967745,0.03225806451612903,0.1677679897339876,0.3333333333333333,0.3333333333333333,182,11106,4859,13761,0,0.0,0,0,0,0,0.0,745,839,35,1619,0,-94,0,0.15437446481303135,0,1240,0,1013,59,0,2312,227,0.15692087064528742,94,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,2748,14044,94,2748,open
