F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-boolean,F16-String,F16-Integer,F16-Boolean,F16-Object,F16-NA,F16-void,F16-int,F3-NA,F3-Type[],F3-rb.contains(-10),F3-range.contains( c ),F3-new ToStringBuilder(base).append(array).toString(),F3-Class,F3-Integer,F3-CharUtils.toCharacterObject( a ),F3-baseStr +  [  + SystemUtils.LINE_SEPARATOR+    <null> + SystemUtils.LINE_SEPARATOR+  ] ,F3-boolean,F3-int[][],F3-CharUtils.toIntValue(new Character( A ) -1),F3-char,F3-String,F3-TypeUtils.isInstance(1 uriComparableType),F3-float[][],F3-int,F3-sb.toString(),F3-Comparable,F3-Locale,F7--,F7-++,F7---,F7--=,F7-+=,F7-NA,F7-*,F7-+,F12-Random,F12-int,F12-Object,F12-NA,F12-String,F17-static,F17-NA,F2-Class,F2-List<Integer>,F2-NA,F2-StringBuffer,F2-String,F2-CountDownLatch,F2-Method,F2-ToStringBuilderTest,F2-NumberFormat,F2-Boolean,F2-Calendar,F2-TypeUtilsTest<B>,F2-Token,F6-java.lang.Character,F6-java.lang.Integer,F6-java.io.ByteArrayOutputStream,F6-java.util.Random,F6-java.lang.Object,F6-NA,F6-java.lang.StringBuffer,F6-org.apache.commons.lang3.builder.ToStringBuilder,F6-java.lang.Thread,F6-org.apache.commons.lang3.tuple.ImmutableTriple,F6-org.apache.commons.lang3.text.StrBuilder,F13-private,F13-NA,F18-NA,F14-NA,F14-final,F1-getCurrencyInstance,F1-delegateBooleanAssertion,F1-NA,F1-getDeclaredField,F1-toBaseString,F1-assertEquals,F1-get,F1-getGenericParameterTypes,F1-constantFuture,F1-appendFixedWidthPadLeft,F1-append,F1-appendln,F1-getTypeArguments,F1-assertFalse,F1-clear,F1-getDeclaredConstructors,F1-toString,F1-formatDurationWords,F1-is,F1-assertTrue,F5-java.lang.Object,F5-NA,F5-java.lang.Number,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F9-testFixture,F9-NA,F9-length,F10-NA,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-boolean,F4-StringBuffer,F4-Calendar,F4-NumberFormat,F4-Boolean,F4-TypeVariable[],F4-Constructor[],F4-void,F4-String,F4-int,F4-Field,F4-Type[],F8-MutatingClient,F8-NA,F8-InspectingClient,F11-secretField,F11-NA,F11-N,F11-object,F11-random,F11-showField,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-jcarman@apache.org,F71-pbenedict@apache.org,F71-ggregory@apache.org,F71-bayard@apache.org,F71-niallp@apache.org,F71-oheger@apache.org,F71-joehni@apache.org,F71-psteitz@apache.org,F71-scolebourne@apache.org,F71-mbenson@apache.org,F71-sebb@apache.org,F74,F73,F84,F146,category
2238,org/apache/commons/lang3,org/apache/commons/lang3/AnnotationUtilsTest.java,474,true,6,11,15824,5,7,1597,1,121,0.4447731755424063,460,20,0.043478260869565216,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,344,2,BAD_PRACTICE,0.011235955056179775,NM_CONFUSING,19,3,0,0.48044692737430167,0.002793296089385475,6.983240223463687E-4,-0.5,0.8333333333333334,0.008680555555555554,0.3442622950819672,0.5552680871869015,0.6666666666666666,0.0056179775280898875,0.035580524344569285,0.5552680871869015,-0.5058139534883721,0.0,14,697,474,2238,370,0.0,41,300,70,711,0.06695619677280992,685,67,3,755,0,618,0,0.28633666072113945,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,321,0,0,1,0,0,0,0,0,0,1,1,1861,4805,1,1541,open
2238,org/apache/commons/lang3,org/apache/commons/lang3/AnnotationUtilsTest.java,474,true,0,11,15824,5,14,1597,1,121,0.8915187376725838,460,20,0.043478260869565216,1.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,344,2,PERFORMANCE,0.06367041198501873,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.48044692737430167,0.002793296089385475,0.0,0.0,0.7941176470588235,0.013624567474048445,0.5,0.2647564154640469,0.5882352941176471,0.00749063670411985,0.09176029962546817,0.2647564154640469,-0.5058139534883721,0.0,14,697,474,2238,370,0.0,41,300,70,711,0.06695619677280992,685,67,3,755,0,618,0,0.28633666072113945,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,321,0,0,1,0,0,0,0,0,0,1,1,1861,4805,1,1541,close
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,751,true,14,223,15824,1,12,1597,5,121,0.3966528640441684,2054,3497,1.7025316455696202,0.6428571428571429,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,344,46,STYLE,0.013108614232209739,FE_FLOATING_POINT_EQUALITY,20,3,2,0.48044692737430167,0.06424581005586592,0.002793296089385475,-1.0,0.0,0.0,0.26229508196721313,0.7125879389300751,-1.0,0.016853932584269662,0.14794007490636704,0.7125879389300751,-0.5058139534883721,-1.0,36,1021,751,2562,370,0.0,41,300,70,711,0.06695619677280992,4720,4426,1,9147,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,180,1,1,1,1,1,1,1,0,1,1,1,1720,4805,1,1541,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,751,true,14,223,15824,1,12,1597,5,121,0.4323671497584541,2054,3497,1.7025316455696202,0.6428571428571429,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,344,46,STYLE,0.013108614232209739,FE_FLOATING_POINT_EQUALITY,20,3,2,0.48044692737430167,0.06424581005586592,0.002793296089385475,-1.0,0.0,0.0,0.26229508196721313,0.7125879389300751,-1.0,0.016853932584269662,0.14794007490636704,0.7125879389300751,-0.5058139534883721,-1.0,36,1021,751,2562,370,0.0,41,300,70,711,0.06695619677280992,4720,4426,1,9147,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,180,1,1,1,1,1,1,1,0,1,1,1,1720,4805,1,1541,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,751,true,17,223,15824,1,12,1597,6,121,0.413216011042098,2054,3497,1.7025316455696202,0.7058823529411765,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,344,46,STYLE,0.013108614232209739,FE_FLOATING_POINT_EQUALITY,20,3,2,0.48044692737430167,0.06424581005586592,0.002793296089385475,-1.0,0.0,0.0,0.26229508196721313,0.7125879389300751,-1.0,0.016853932584269662,0.14794007490636704,0.7125879389300751,-0.5058139534883721,-1.0,36,1021,751,2562,370,0.0,41,300,70,711,0.06695619677280992,4720,4426,1,9147,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,180,1,1,1,1,1,1,1,0,1,1,1,1720,4805,1,1541,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,751,true,17,223,15824,1,12,1597,6,121,0.44013112491373363,2054,3497,1.7025316455696202,0.7058823529411765,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,344,46,STYLE,0.013108614232209739,FE_FLOATING_POINT_EQUALITY,20,3,2,0.48044692737430167,0.06424581005586592,0.002793296089385475,-1.0,0.0,0.0,0.26229508196721313,0.7125879389300751,-1.0,0.016853932584269662,0.14794007490636704,0.7125879389300751,-0.5058139534883721,-1.0,36,1021,751,2562,370,0.0,41,300,70,711,0.06695619677280992,4720,4426,1,9147,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,180,1,1,1,1,1,1,1,0,1,1,1,1720,4805,1,1541,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,751,true,6,223,15824,1,12,1597,2,121,0.06918564527260179,2054,3497,1.7025316455696202,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,344,46,STYLE,0.09363295880149813,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.48044692737430167,0.06424581005586592,0.012569832402234637,-1.0,0.1,0.0037500000000000003,0.26229508196721313,0.7125879389300751,-0.8,0.016853932584269662,0.14794007490636704,0.7125879389300751,-0.5058139534883721,-1.0,36,1021,751,2562,370,0.0,41,300,70,711,0.06695619677280992,4720,4426,1,9147,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,180,1,1,1,1,1,1,1,0,1,1,1,1720,4805,1,1541,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,751,true,6,223,15824,1,12,1597,2,121,0.06642512077294686,2054,3497,1.7025316455696202,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,344,46,STYLE,0.09363295880149813,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.48044692737430167,0.06424581005586592,0.012569832402234637,-1.0,0.1,0.0037500000000000003,0.26229508196721313,0.7125879389300751,-0.8,0.016853932584269662,0.14794007490636704,0.7125879389300751,-0.5058139534883721,-1.0,36,1021,751,2562,370,0.0,41,300,70,711,0.06695619677280992,4720,4426,1,9147,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,180,1,1,1,1,1,1,1,0,1,1,1,1720,4805,1,1541,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,751,true,6,223,15824,1,12,1597,2,121,0.07194616977225674,2054,3497,1.7025316455696202,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,344,46,STYLE,0.09363295880149813,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.48044692737430167,0.06424581005586592,0.012569832402234637,-1.0,0.1,0.0037500000000000003,0.26229508196721313,0.7125879389300751,-0.8,0.016853932584269662,0.14794007490636704,0.7125879389300751,-0.5058139534883721,-1.0,36,1021,751,2562,370,0.0,41,300,70,711,0.06695619677280992,4720,4426,1,9147,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,180,1,1,1,1,1,1,1,0,1,1,1,1720,4805,1,1541,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,751,true,6,223,15824,1,12,1597,2,121,0.07470669427191166,2054,3497,1.7025316455696202,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,344,46,STYLE,0.09363295880149813,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.48044692737430167,0.06424581005586592,0.012569832402234637,-1.0,0.1,0.0037500000000000003,0.26229508196721313,0.7125879389300751,-0.8,0.016853932584269662,0.14794007490636704,0.7125879389300751,-0.5058139534883721,-1.0,36,1021,751,2562,370,0.0,41,300,70,711,0.06695619677280992,4720,4426,1,9147,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,180,1,1,1,1,1,1,1,0,1,1,1,1720,4805,1,1541,open
