F72,F54,F53,F55,F25,F26,
4679,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/BaseTokenStreamTestCase.java,97,true,
4679,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/BaseTokenStreamTestCase.java,97,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
10892,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/CannedBinaryTokenStream.java,914,true,
10892,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/CannedBinaryTokenStream.java,914,true,
10892,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/CannedBinaryTokenStream.java,914,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
4172,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/CollationTestBase.java,35,true,
4172,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/CollationTestBase.java,35,true,
4172,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/CollationTestBase.java,35,true,
4172,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/CollationTestBase.java,35,true,
4172,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/CollationTestBase.java,35,true,
4172,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/CollationTestBase.java,35,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
12834,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/MockAnalyzer.java,1080,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
6560,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/MockPayloadAnalyzer.java,365,true,
6560,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/MockPayloadAnalyzer.java,365,true,
6560,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/MockPayloadAnalyzer.java,365,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
12934,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/MockRandomLookaheadTokenFilter.java,1087,true,
12934,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/MockRandomLookaheadTokenFilter.java,1087,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
4309,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/Token.java,53,true,
4309,org/apache/lucene/analysis,apache,org/apache/lucene/analysis/Token.java,53,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19872,org/apache/lucene/analysis/ar,apache,org/apache/lucene/analysis/ar/ArabicStemmer.java,2077,true,
19872,org/apache/lucene/analysis/ar,apache,org/apache/lucene/analysis/ar/ArabicStemmer.java,2077,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
19865,org/apache/lucene/util,apache,org/apache/lucene/util/AttributeSource.java,2075,true,
17957,org/apache/lucene/analysis/br,apache,org/apache/lucene/analysis/br/BrazilianStemmer.java,1791,true,
17957,org/apache/lucene/analysis/charfilter,apache,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,true,
17957,org/apache/lucene/analysis/charfilter,apache,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,true,
17957,org/apache/lucene/analysis/charfilter,apache,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,true,
17957,org/apache/lucene/analysis/charfilter,apache,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,true,
17957,org/apache/lucene/analysis/charfilter,apache,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,true,
17957,org/apache/lucene/analysis/charfilter,apache,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,true,
17957,org/apache/lucene/analysis/charfilter,apache,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,true,
17957,org/apache/lucene/analysis/charfilter,apache,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,true,
17957,org/apache/lucene/analysis/charfilter,apache,org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,1791,true,
11788,org/apache/lucene/analysis/charfilter,apache,org/apache/lucene/analysis/charfilter/MappingCharFilterFactory.java,980,true,
