F72,F54,F55,F25,F64,F67,F69,F101,F102,F105,F108,F3-Class,F3-Among[],F3-String,F3-int,F7-++,F13-private,F18-public,F1-find_among_b,F5-java.lang.RuntimeException,F15-protected,F15-public,F4-boolean,F4-int,F94,F95,F22,F112,F116,F117,F118,F120,F110,F121,F122,F123,F77,F70,F41,F43,F46,F126,F127,F129,F36,F130,F131,F132,F37,F134,F135,F136,F83,F71-chrism@apache.org,F71-sarowe@apache.org,F71-gsingers@apache.org,F71-jpountz@apache.org,F71-markrmiller@apache.org,F71-noble@apache.org,F71-yonik@apache.org,F71-mikemccand@apache.org,F71-shaie@apache.org,F71-rjernst@apache.org,F71-romseygeek@apache.org,F74,F73,F84,category
4679,org/apache/lucene/analysis,org/apache/lucene/analysis/BaseTokenStreamTestCase.java,97,1209,4,1,0.5047219307450157,721,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,3,4.870920603994155E-4,-1.0,0.25301204819277107,0.004295385265047045,0.5912033041944769,-0.27710843373493976,0.01829924650161464,0.1652314316469322,0.5912033041944769,14363,18254,44,1,0.009630702465407261,975,579,1832,1,396,0.15512904560035862,8457,0,454,11868,5500,617,1,1,0,0,0,0,0,1,1,1,0,4508,25862,234,open
4679,org/apache/lucene/analysis,org/apache/lucene/analysis/BaseTokenStreamTestCase.java,97,1209,4,1,0.11227701993704092,721,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,3,4.870920603994155E-4,-1.0,0.23076923076923078,0.004034427111350188,0.5912033041944769,-0.38461538461538464,0.01829924650161464,0.1652314316469322,0.5912033041944769,14606,18497,44,1,0.009630702465407261,975,579,1832,1,396,0.15512904560035862,8457,0,454,11868,5500,617,1,1,0,0,0,0,0,1,1,1,0,4508,25862,234,open
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
10892,org/apache/lucene/analysis,org/apache/lucene/analysis/CannedBinaryTokenStream.java,914,1209,4,1,0.7737226277372263,89,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,3,9.74184120798831E-4,1.0,0.23076923076923078,0.004034427111350188,0.5912033041944769,-0.38461538461538464,0.01829924650161464,0.1652314316469322,0.5912033041944769,7001,10892,44,1,0.009630702465407261,4,3,7,0,1,3.0073323651305303E-4,8457,0,454,11868,5500,1794,0,0,0,1,0,0,0,1,1,0,0,5685,25862,234,close
10892,org/apache/lucene/analysis,org/apache/lucene/analysis/CannedBinaryTokenStream.java,914,1209,4,1,0.9562043795620438,89,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,3,9.74184120798831E-4,0.0,0.0,0.0,0.5316591226389012,-0.7777777777777778,0.001883745963401507,0.009418729817007535,0.5316591226389012,7001,10892,44,1,0.009630702465407261,4,3,7,0,1,3.0073323651305303E-4,8457,0,454,11868,5500,1794,0,0,0,1,0,0,0,1,1,0,0,5685,25862,234,open
10892,org/apache/lucene/analysis,org/apache/lucene/analysis/CannedBinaryTokenStream.java,914,1209,4,1,0.9562043795620438,89,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,3,9.74184120798831E-4,0.0,0.0,0.0,0.5316591226389012,-0.7777777777777778,0.001883745963401507,0.009418729817007535,0.5316591226389012,7001,10892,44,1,0.009630702465407261,4,3,7,0,1,3.0073323651305303E-4,8457,0,454,11868,5500,1794,0,0,0,1,0,0,0,1,1,0,0,5685,25862,234,open
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
4172,org/apache/lucene/analysis,org/apache/lucene/analysis/CollationTestBase.java,35,1209,2,3,0.696969696969697,167,0.6752136752136753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,3,0.0014612761811982464,-1.0,0.7088607594936709,0.011465399063540388,0.16718586835420737,0.46835443037974683,0.004036598493003229,0.06001076426264801,0.16718586835420737,11115,15006,44,1,0.009630702465407261,538,304,842,4,234,0.06219898626277396,8457,0,454,11868,5500,234,1,1,0,1,0,0,0,1,0,1,0,4125,25862,234,open
4172,org/apache/lucene/analysis,org/apache/lucene/analysis/CollationTestBase.java,35,1209,2,1,0.24242424242424243,167,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,2,0.0014612761811982464,0.0,0.22580645161290322,0.0039731340459748365,0.5912033041944769,-0.3225806451612903,0.01829924650161464,0.1652314316469322,0.5912033041944769,11115,15006,44,1,0.009630702465407261,538,304,842,4,234,0.06219898626277396,8457,0,454,11868,5500,234,1,1,0,1,0,0,0,1,0,1,0,4125,25862,234,open
4172,org/apache/lucene/analysis,org/apache/lucene/analysis/CollationTestBase.java,35,1209,2,1,0.24675324675324675,167,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,2,0.0014612761811982464,0.0,0.22580645161290322,0.0039731340459748365,0.5912033041944769,-0.3225806451612903,0.01829924650161464,0.1652314316469322,0.5912033041944769,11115,15006,44,1,0.009630702465407261,538,304,842,4,234,0.06219898626277396,8457,0,454,11868,5500,234,1,1,0,1,0,0,0,1,0,1,0,4125,25862,234,open
4172,org/apache/lucene/analysis,org/apache/lucene/analysis/CollationTestBase.java,35,1209,2,1,0.2554112554112554,167,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,2,0.0014612761811982464,0.0,0.22580645161290322,0.0039731340459748365,0.5912033041944769,-0.3225806451612903,0.01829924650161464,0.1652314316469322,0.5912033041944769,11115,15006,44,1,0.009630702465407261,538,304,842,4,234,0.06219898626277396,8457,0,454,11868,5500,234,1,1,0,1,0,0,0,1,0,1,0,4125,25862,234,open
4172,org/apache/lucene/analysis,org/apache/lucene/analysis/CollationTestBase.java,35,1209,2,1,0.2597402597402597,167,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,2,0.0014612761811982464,0.0,0.22580645161290322,0.0039731340459748365,0.5912033041944769,-0.3225806451612903,0.01829924650161464,0.1652314316469322,0.5912033041944769,11115,15006,44,1,0.009630702465407261,538,304,842,4,234,0.06219898626277396,8457,0,454,11868,5500,234,1,1,0,1,0,0,0,1,0,1,0,4125,25862,234,open
4172,org/apache/lucene/analysis,org/apache/lucene/analysis/CollationTestBase.java,35,1209,2,1,0.8658008658008658,167,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,33,6,3,0.0014612761811982464,0.0,0.29959514170040485,0.011657660709439957,0.16718586835420737,-0.26720647773279355,0.004036598493003229,0.06001076426264801,0.16718586835420737,11115,15006,44,1,0.009630702465407261,538,304,842,4,234,0.06219898626277396,8457,0,454,11868,5500,234,1,1,0,1,0,0,0,1,0,1,0,4125,25862,234,open
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
12834,org/apache/lucene/analysis,org/apache/lucene/analysis/MockAnalyzer.java,1080,1209,1,12,0.6058823529411764,88,0.35944700460829493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,2,2.4354603019970775E-4,-1.0,0.5664335664335665,0.005581513210248112,0.5912033041944769,0.1888111888111888,0.01829924650161464,0.1652314316469322,0.5912033041944769,12523,16414,44,1,0.009630702465407261,300,178,488,0,122,0.0845275071051176,8457,0,454,11868,5500,788,1,1,0,1,0,0,0,1,1,0,0,4679,25862,234,open
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
19865,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,2075,5388,5,10,0.7136563876651982,253,0.5775100401606426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,2,4.870920603994155E-4,1.0,0.9529411764705882,0.0010191884240327157,0.5912033041944769,0.9058823529411765,0.01829924650161464,0.1652314316469322,0.5912033041944769,17035,20926,285,96,0.028304220266780675,1461,195,1720,0,1266,0.14256572543770796,32613,0,948,47082,19092,967,0,1,0,0,1,0,0,1,1,0,0,4858,25862,1,close
