F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-InvocationHandler,F16-List<String>,F16-StringBuffer,F16-Boolean,F16-Object,F16-NA,F16-void,F16-int,F16-Character,F16-Double,F16-String,F16-Double[],F16-Integer,F16-StrBuilder,F16-Boolean[],F16-Short[],F16-Short,F16-Integer[],F16-Float[],F16-Character[],F3-NA,F3-ArrayUtils.isSameLength(nullArray nullArray),F3-new ToStringBuilder(base).append(array).toString(),F3-Integer,F3-int[],F3-ArrayUtils.toObject(b),F3-Throwable,F3-!new EqualsBuilder().append(obj1 obj2).isEquals(),F3-null,F3-byte[],F3-boolean,F3-new EqualsBuilder().append(obj1 obj2).isEquals(),F3-char,F3-String,F3-boolean[],F3-int,F3-ArrayUtils.isSorted(array),F3-ArrayUtils.nullToEmpty(original),F3-short[],F3-ArrayUtils.EMPTY_CHAR_ARRAY,F7--,F7--=,F7-+=,F7-&,F7-NA,F7-*,F7-+,F12-long,F12-Integer,F12-Random,F12-int,F12-Object,F12-NA,F12-String,F17-final,F17-static-final,F17-NA,F2-Class,F2-StringBuilder,F2-NA,F2-Integer,F2-ByteArrayOutputStream,F2-TimeZone,F2-Executors,F2-String,F2-TreeSet<Entry<String Integer>>,F2-DurationFormatUtils,F2-ExceptionUtilsTest,F2-List<VetoableChangeListener>,F2-AccessibleObject,F2-Reader,F2-Class<>,F2-ToStringBuilderTest,F2-BooleanUtils,F2-TestSubObject,F2-Locale,F2-Token,F6-java.io.ByteArrayOutputStream,F6-org.apache.commons.lang3.text.translate.NumericEntityUnescaper,F6-java.util.Random,F6-NA,F6-org.apache.commons.lang3.mutable.MutableInt,F6-java.io.PrintStream,F6-org.apache.commons.lang3.mutable.MutableShort,F6-java.lang.Character,F6-java.lang.Integer,F6-org.apache.commons.lang3.builder.HashCodeBuilder,F6-org.apache.commons.lang3.builder.EqualsBuilder,F6-org.apache.commons.lang3.builder.ToStringBuilderTest.SelfInstanceTwoVarsReflectionTestFixture,F6-java.lang.String,F6-org.apache.commons.lang3.mutable.MutableFloat,F6-org.apache.commons.lang3.mutable.MutableLong,F6-org.apache.commons.lang3.builder.ToStringBuilder,F6-java.lang.Thread,F6-java.util.TreeSet<java.util.Map.Entry<java.lang.String java.lang.Integer>>,F6-org.apache.commons.lang3.text.StrBuilder,F6-java.lang.CloneNotSupportedException,F13-private,F13-NA,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-NA,F1-assertSame,F1-getDeclaredField,F1-assertEquals,F1-getFraction,F1-assertReflectionArray,F1-substring,F1-assertArrayEquals,F1-asReader,F1-constantFuture,F1-reverse,F1-compareTo,F1-charAt,F1-assertFalse,F1-valueOf,F1-toCharArray,F1-read,F1-toString,F1-toCharacterObject,F1-assertTrue,F5-java.lang.Object,F5-NA,F5-java.lang.Number,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F5-java.io.FilterOutputStream,F5-java.lang.Exception,F5-java.util.AbstractSet,F9-testFixture,F9-NA,F9-length,F10-NA,F19-NA,F15-NA,F15-protected,F15-public,F0-NA,F4-NA,F4-ExecutorService,F4-Integer,F4-boolean,F4-Token[],F4-long,F4-Throwable,F4-char,F4-Boolean,F4-byte[],F4-void,F4-StringBuilder,F4-char[],F4-String,F4-int,F4-Field,F4-TimeZone,F4-Locale,F8-MutatingClient,F8-NA,F8-InspectingClient,F11-i,F11-secretField,F11-NA,F11-excludedField,F11-N,F11-object,F11-serialVersionUID,F11-random,F11-includedField,F11-showField,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-jcarman@apache.org,F71-pbenedict@apache.org,F71-britter@apache.org,F71-niallp@apache.org,F71-datalorax@gmail.com,F71-chas@apache.org,F71-oheger@apache.org,F71-felipeadsc@gmail.com,F71-brentworden@apache.org,F71-kinow@apache.org,F71-792626757@qq.com,F71-mcucchiara@apache.org,F71-beradrian@yahoo.com,F71-ggregory@apache.org,F71-bayard@apache.org,F71-djones@apache.org,F71-joehni@apache.org,F71-scolebourne@apache.org,F71-mbenson@apache.org,F71-sebb@apache.org,F74,F73,F84,F146,category
2238,org/apache/commons/lang3,org/apache/commons/lang3/AnnotationUtilsTest.java,1751,true,6,11,21104,5,7,2139,1,135,0.4408284023668639,461,19,0.04121475054229935,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,364,2,BAD_PRACTICE,0.003816793893129771,NM_CONFUSING,19,3,0,0.4538653366583541,0.0024937655860349127,6.234413965087282E-4,-0.5,0.0,0.0,0.03614457831325301,0.18169158561958676,-1.0,0.003816793893129771,0.0,0.18169158561958676,-0.9120879120879121,-1.0,18,1785,1751,2238,2237,6.591957811470006E-4,7590,242,1995,10069,0.04113591174533939,686,69,3,758,1,617,0,0.2291469694232675,1,52696,0,26851,8990,-1,88537,25845,0.1363998781385003,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,509,4805,2,454,open
2238,org/apache/commons/lang3,org/apache/commons/lang3/AnnotationUtilsTest.java,1751,true,0,11,21104,5,14,2139,1,135,0.8895463510848126,461,19,0.04121475054229935,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,364,2,PERFORMANCE,0.10305343511450382,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.4538653366583541,0.0024937655860349127,0.0,0.0,0.1111111111111111,0.008978675645342311,0.10270270270270271,0.013301322507989202,-0.7777777777777778,0.010178117048346057,0.01653944020356234,0.013301322507989202,-0.9120879120879121,-1.0,18,1785,1751,2238,2237,6.591957811470006E-4,7590,242,1995,10069,0.04113591174533939,686,69,3,758,1,617,0,0.2291469694232675,1,52696,0,26851,8990,-1,88537,25845,0.1363998781385003,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,509,4805,2,454,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,2028,true,14,289,21104,2,12,2139,5,135,0.48739389332319777,2961,4561,1.5403579871664979,0.6428571428571429,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,364,46,STYLE,0.010178117048346057,FE_FLOATING_POINT_EQUALITY,20,3,2,0.4538653366583541,0.057356608478802994,0.0024937655860349127,-1.0,0.0,0.0,0.04218362282878412,0.24025162312297824,-1.0,0.002544529262086514,0.021628498727735368,0.24025162312297824,-0.9120879120879121,-1.0,72,2109,2028,2562,2237,0.4152162724084141,7590,242,1995,10069,0.04113591174533939,5952,4761,7643,18356,117,1191,790,0.32089205428828044,8487,52696,7580,26851,8990,673,88537,25845,0.1363998781385003,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,454,4805,2,454,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,2028,true,14,289,21104,2,12,2139,5,135,0.513619662992525,2961,4561,1.5403579871664979,0.6428571428571429,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,364,46,STYLE,0.010178117048346057,FE_FLOATING_POINT_EQUALITY,20,3,2,0.4538653366583541,0.057356608478802994,0.0024937655860349127,-1.0,0.0,0.0,0.04218362282878412,0.24025162312297824,-1.0,0.002544529262086514,0.021628498727735368,0.24025162312297824,-0.9120879120879121,-1.0,72,2109,2028,2562,2237,0.4152162724084141,7590,242,1995,10069,0.04113591174533939,5952,4761,7643,18356,117,1191,790,0.32089205428828044,8487,52696,7580,26851,8990,673,88537,25845,0.1363998781385003,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,454,4805,2,454,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,2028,true,17,289,21104,2,12,2139,6,135,0.4995565691118713,2961,4561,1.5403579871664979,0.7058823529411765,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,364,46,STYLE,0.010178117048346057,FE_FLOATING_POINT_EQUALITY,20,3,2,0.4538653366583541,0.057356608478802994,0.0024937655860349127,-1.0,0.0,0.0,0.04218362282878412,0.24025162312297824,-1.0,0.002544529262086514,0.021628498727735368,0.24025162312297824,-0.9120879120879121,-1.0,72,2109,2028,2562,2237,0.4152162724084141,7590,242,1995,10069,0.04113591174533939,5952,4761,7643,18356,117,1191,790,0.32089205428828044,8487,52696,7580,26851,8990,673,88537,25845,0.1363998781385003,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,454,4805,2,454,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,2028,true,17,289,21104,2,12,2139,6,135,0.5193209172684657,2961,4561,1.5403579871664979,0.7058823529411765,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,364,46,STYLE,0.010178117048346057,FE_FLOATING_POINT_EQUALITY,20,3,2,0.4538653366583541,0.057356608478802994,0.0024937655860349127,-1.0,0.0,0.0,0.04218362282878412,0.24025162312297824,-1.0,0.002544529262086514,0.021628498727735368,0.24025162312297824,-0.9120879120879121,-1.0,72,2109,2028,2562,2237,0.4152162724084141,7590,242,1995,10069,0.04113591174533939,5952,4761,7643,18356,117,1191,790,0.32089205428828044,8487,52696,7580,26851,8990,673,88537,25845,0.1363998781385003,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,454,4805,2,454,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,2028,true,6,289,21104,2,12,2139,2,135,0.05131128848346636,2961,4561,1.5403579871664979,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,364,46,STYLE,0.06361323155216285,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.4538653366583541,0.057356608478802994,0.011221945137157107,-1.0,0.1,0.00391304347826087,0.04218362282878412,0.24025162312297824,-0.8,0.002544529262086514,0.021628498727735368,0.24025162312297824,-0.9120879120879121,-1.0,72,2109,2028,2562,2237,0.4152162724084141,7590,242,1995,10069,0.04113591174533939,5952,4761,7643,18356,117,1191,790,0.32089205428828044,8487,52696,7580,26851,8990,673,88537,25845,0.1363998781385003,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,454,4805,2,454,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,2028,true,6,289,21104,2,12,2139,2,135,0.04928417585202078,2961,4561,1.5403579871664979,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,364,46,STYLE,0.06361323155216285,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.4538653366583541,0.057356608478802994,0.011221945137157107,-1.0,0.1,0.00391304347826087,0.04218362282878412,0.24025162312297824,-0.8,0.002544529262086514,0.021628498727735368,0.24025162312297824,-0.9120879120879121,-1.0,72,2109,2028,2562,2237,0.4152162724084141,7590,242,1995,10069,0.04113591174533939,5952,4761,7643,18356,117,1191,790,0.32089205428828044,8487,52696,7580,26851,8990,673,88537,25845,0.1363998781385003,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,454,4805,2,454,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,2028,true,6,289,21104,2,12,2139,2,135,0.05333840111491195,2961,4561,1.5403579871664979,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,364,46,STYLE,0.06361323155216285,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.4538653366583541,0.057356608478802994,0.011221945137157107,-1.0,0.1,0.00391304347826087,0.04218362282878412,0.24025162312297824,-0.8,0.002544529262086514,0.021628498727735368,0.24025162312297824,-0.9120879120879121,-1.0,72,2109,2028,2562,2237,0.4152162724084141,7590,242,1995,10069,0.04113591174533939,5952,4761,7643,18356,117,1191,790,0.32089205428828044,8487,52696,7580,26851,8990,673,88537,25845,0.1363998781385003,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,454,4805,2,454,open
2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,2028,true,6,289,21104,2,12,2139,2,135,0.05536551374635753,2961,4561,1.5403579871664979,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,364,46,STYLE,0.06361323155216285,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.4538653366583541,0.057356608478802994,0.011221945137157107,-1.0,0.1,0.00391304347826087,0.04218362282878412,0.24025162312297824,-0.8,0.002544529262086514,0.021628498727735368,0.24025162312297824,-0.9120879120879121,-1.0,72,2109,2028,2562,2237,0.4152162724084141,7590,242,1995,10069,0.04113591174533939,5952,4761,7643,18356,117,1191,790,0.32089205428828044,8487,52696,7580,26851,8990,673,88537,25845,0.1363998781385003,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,454,4805,2,454,open
