0,,F72,
1,,F54,
2,,F55,
3,,F25,
5,,F62,
6,,F65,
7,,F64,
8,,F67,
9,,F34,
10,,F66,
11,,F69,
12,,F68,
13,,F101,
14,,F102,
15,,F103,
16,,F104,
17,,F105,
18,,F107,
19,,F108,
27,,F16-void,
51,,F3-String,
96,,F17-final,
139,,F13-private,
152,,F1-getLatestSchema,
154,,F1-add,
162,,F1-get,
165,,F1-compareTo,
173,,F5-java.lang.Object,
216,,F15-private,
218,,F15-public,
235,,F4-int,
280,,F94,
281,,F95,
283,,F109,
284,,F20,
285,,F23,
286,,F22,
287,,F79,
288,,F111,
289,,F112,
290,,F113,
291,,F116,
292,,F117,
293,,F118,
296,,F110,
300,,F114,
301,,F115,
302,,F61,
303,,F77,
304,,F88,
305,,F70,
306,,F41,
307,,F40,
308,,F43,
309,,F42,
310,,F45,
311,,F44,
312,,F46,
313,,F126,
314,,F127,
315,,F128,
316,,F129,
320,,F131,
321,,F38,
322,,F132,
323,,F37,
324,,F133,
326,,F39,
327,,F135,
328,,F136,
329,,F137,
330,,F83,
331,,F71-ryan@apache.org,
332,,F71-chrism@apache.org,
333,,F71-anshum@apache.org,
334,,F71-shalin@apache.org,
335,,F71-rmuir@apache.org,
336,,F71-sarowe@apache.org,
337,,F71-simonw@apache.org,
338,,F71-hossman@apache.org,
339,,F71-jpountz@apache.org,
340,,F71-markrmiller@apache.org,
341,,F71-noble@apache.org,
342,,F71-jbernste@apache.org,
343,,F71-yonik@apache.org,
344,,F71-mikemccand@apache.org,
346,,F71-shaie@apache.org,
347,,F71-rjernst@apache.org,
348,,F71-romseygeek@apache.org,
349,,F71-erick@apache.org,
350,,F71-uschindler@apache.org,
351,,F74,
352,,F73,
353,,F84,
354,,F146,
355,,category,
original feature size,356
refined feature size,95
