0,,F72,
1,,F54,
2,,F55,
3,,F25,
6,,F65,
8,,F67,
12,,F68,
13,,F101,
14,,F102,
15,,F103,
17,,F105,
18,,F107,
19,,F108,
45,,F3-Among[],
51,,F3-String,
54,,F3-int,
138,,F13-private,
160,,F1-find_among_b,
217,,F15-public,
279,,F94,
282,,F109,
283,,F20,
284,,F23,
285,,F22,
287,,F111,
290,,F116,
302,,F77,
303,,F88,
304,,F70,
305,,F41,
309,,F45,
315,,F129,
318,,F35,
320,,F38,
322,,F37,
323,,F133,
324,,F134,
325,,F39,
329,,F83,
330,,F71-ryan@apache.org,
331,,F71-chrism@apache.org,
333,,F71-shalin@apache.org,
335,,F71-sarowe@apache.org,
337,,F71-gsingers@apache.org,
340,,F71-markrmiller@apache.org,
341,,F71-noble@apache.org,
343,,F71-mikemccand@apache.org,
344,,F71-shaie@apache.org,
347,,F71-romseygeek@apache.org,
349,,F71-uschindler@apache.org,
351,,F73,
354,,category,
original feature size,355
refined feature size,51
