F61,F77,F88,F70,
0,14641,3291,17995,
24,14641,3291,17995,
15,14641,3291,17995,
15,14641,3291,17995,
6,14483,3177,17837,
11,14641,3291,17995,
2,5590,860,8944,
26,14641,3291,17995,
26,14641,3291,17995,
26,14641,3291,17995,
26,14641,3291,17995,
13,14641,3291,17995,
13,14641,3291,17995,
11,14641,3291,17995,
0,1525,204,4879,
14,14641,3291,17995,
12,14641,3291,17995,
20,14641,3291,17995,
20,14641,3291,17995,
20,14641,3291,17995,
20,14641,3291,17995,
66,14641,3291,17995,
30,8442,1460,11796,
14,6015,961,9369,
11,675,105,4029,
0,56,15,3410,
11,675,105,4029,
16,14641,3291,17995,
6,678,105,4032,
16,14641,3291,17995,
16,14641,3291,17995,
16,14641,3291,17995,
1,14641,3291,17995,
0,675,105,4029,
26,8482,1463,11836,
14,6192,992,9546,
210,14641,3291,17995,
1,48,13,3402,
210,14641,3291,17995,
7,14641,3291,17995,
69,7303,1246,10657,
13,1649,228,5003,
212,14641,3291,17995,
212,14641,3291,17995,
212,14641,3291,17995,
212,14641,3291,17995,
76,7409,1256,10763,
212,14641,3291,17995,
45,7409,1256,10763,
108,14641,3291,17995,
38,14641,3291,17995,
38,14641,3291,17995,
38,14641,3291,17995,
38,14641,3291,17995,
51,14641,3291,17995,
51,14641,3291,17995,
51,14641,3291,17995,
10,11348,1950,14702,
10,11348,1950,14702,
10,11348,1950,14702,
10,11348,1950,14702,
9,11346,1950,14700,
25,14641,3291,17995,
35,14641,3291,17995,
0,14641,3291,17995,
28,7264,1239,10618,
77,14270,3085,17624,
64,13301,2673,16655,
56,12179,2125,15533,
71,14155,3045,17509,
28,7264,1239,10618,
77,14270,3085,17624,
47,11008,1888,14362,
28,7264,1239,10618,
61,12543,2285,15897,
61,12543,2285,15897,
62,10090,1731,13444,
62,10090,1731,13444,
49,9790,1667,13144,
29,6890,1152,10244,
58,13712,2864,17066,
58,13712,2864,17066,
58,13712,2864,17066,
58,13712,2864,17066,
29,12268,2170,15622,
41,14641,3291,17995,
41,14641,3291,17995,
33,2381,371,5735,
28,2010,300,5364,
322,14641,3291,17995,
322,14641,3291,17995,
322,14641,3291,17995,
322,14641,3291,17995,
322,14641,3291,17995,
322,14641,3291,17995,
322,14641,3291,17995,
322,14641,3291,17995,
322,14641,3291,17995,
189,9434,1612,12788,
322,14641,3291,17995,
178,9105,1569,12459,
289,13063,2523,16417,
43,10880,1874,14234,
26,9130,1572,12484,
8,6181,992,9535,
3,6181,992,9535,
100,14641,3291,17995,
100,14641,3291,17995,
64,11326,1944,14680,
100,14641,3291,17995,
100,14641,3291,17995,
100,14641,3291,17995,
100,14641,3291,17995,
100,14641,3291,17995,
75,12543,2285,15897,
97,14574,3254,17928,
100,14641,3291,17995,
100,14641,3291,17995,
100,14641,3291,17995,
100,14641,3291,17995,
5,4049,631,7403,
12,4378,666,7732,
12,4378,666,7732,
12,4378,666,7732,
12,4378,666,7732,
12,4378,666,7732,
12,4378,666,7732,
17,10391,1790,13745,
18,10039,1721,13393,
18,10039,1721,13393,
2,7271,1240,10625,
24,11517,1972,14871,
7,11793,2051,15147,
29,14134,3038,17488,
5,11672,1999,15026,
9,12307,2182,15661,
8,12301,2182,15655,
8,12301,2182,15655,
8,12301,2182,15655,
31,14430,3143,17784,
31,14430,3143,17784,
0,555,78,3909,
24,13925,2926,17279,
42,14430,3143,17784,
