F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
0,0,0,1,0,0,1,14,46.583333333333336,26,0,0.0,1.0,0,0,
3,34,723,1,0,197,1,30,0.6957671957671958,148,193,1.304054054054054,1.0,0,0,
6,23,723,1,0,197,1,30,2.238970588235294,100,146,1.46,1.0,0,0,
6,23,723,1,0,197,1,30,2.3106617647058822,100,146,1.46,1.0,0,0,
3,20,524,1,0,159,1,26,0.4682713347921225,158,238,1.5063291139240507,1.0,0,0,
3,14,524,1,0,159,1,26,0.36538461538461536,80,170,2.125,1.0,0,0,
3,4,368,1,0,98,1,45,2.4358974358974357,18,16,0.8888888888888888,1.0,0,0,
3,13,695,1,8,115,1,21,0.4519230769230769,164,94,0.573170731707317,0.6666666666666666,0,0,
3,13,695,1,8,115,1,21,1.2532051282051282,164,94,0.573170731707317,0.6666666666666666,0,0,
3,13,695,1,6,115,1,21,0.32211538461538464,164,94,0.573170731707317,0.8333333333333334,0,0,
105,13,695,1,0,115,21,21,0.9198717948717948,164,94,0.573170731707317,1.0,0,1,
24,19,695,1,12,115,5,21,0.7,145,182,1.2551724137931035,0.375,0,0,
3,19,695,1,6,115,1,21,1.4986111111111111,145,182,1.2551724137931035,0.8333333333333334,0,0,
32,3,695,1,0,115,6,21,0.8823529411764706,54,39,0.7222222222222222,1.0,21,1,
9,20,327,1,0,114,2,11,0.9668508287292817,89,82,0.9213483146067416,1.0,2,1,
28,5,327,1,0,114,8,11,0.9738219895287958,91,76,0.8351648351648352,1.0,11,1,
12,11,327,1,8,114,4,11,0.9601990049751243,82,96,1.170731707317073,0.5,6,1,
56,40,327,1,16,114,15,11,0.759656652360515,409,216,0.5281173594132029,0.5892857142857143,32,1,
56,40,327,1,16,114,15,11,0.748211731044349,409,216,0.5281173594132029,0.44642857142857145,32,1,
56,40,327,1,16,114,15,11,0.721030042918455,409,216,0.5281173594132029,0.10714285714285714,32,1,
56,40,327,1,16,114,15,11,0.7324749642346209,409,216,0.5281173594132029,0.25,32,1,
43,33,1314,3,12,137,13,23,0.7250489236790607,503,374,0.7435387673956262,0.5348837209302325,34,1,
0,20,1314,4,0,137,1,23,0.7527216174183515,377,146,0.38726790450928383,1.0,0,1,
18,12,1314,1,8,137,5,23,0.7211394302848576,417,162,0.38848920863309355,0.7777777777777778,8,1,
10,17,1314,1,8,137,3,23,0.980327868852459,282,255,0.9042553191489362,0.6,0,1,
17,17,1314,1,0,137,6,23,0.519672131147541,282,255,0.9042553191489362,1.0,0,1,
0,17,1314,1,9,137,1,23,0.8290983606557377,282,255,0.9042553191489362,1.0,0,1,
0,12,1314,1,8,137,1,23,0.7372093023255814,79,107,1.3544303797468353,1.0,0,1,
0,12,1314,1,12,137,1,23,0.772093023255814,79,107,1.3544303797468353,1.0,0,1,
0,12,1314,1,8,137,1,23,0.7930232558139535,79,107,1.3544303797468353,1.0,0,1,
0,12,1314,1,9,137,1,23,0.8697674418604651,79,107,1.3544303797468353,1.0,0,1,
0,12,1314,1,8,137,1,23,0.8395348837209302,79,107,1.3544303797468353,1.0,0,1,
3,7,1314,1,8,137,1,23,2.0204918032786887,84,26,0.30952380952380953,0.6666666666666666,0,0,
3,7,1314,1,8,137,1,23,0.6598360655737705,84,26,0.30952380952380953,0.6666666666666666,0,0,
0,9,1314,5,20,137,1,23,0.6167664670658682,250,37,0.148,1.0,0,1,
