F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
0,44,1209,4,0,237,1,58,0.5047219307450157,721,126,0.17475728155339806,1.0,0,1,
0,44,1209,4,0,237,1,58,0.11227701993704092,721,126,0.17475728155339806,1.0,0,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
0,2,1209,4,0,237,1,58,0.7737226277372263,89,28,0.3146067415730337,1.0,0,1,
0,2,1209,4,6,237,1,58,0.9562043795620438,89,28,0.3146067415730337,1.0,0,1,
0,2,1209,4,6,237,1,58,0.9562043795620438,89,28,0.3146067415730337,1.0,0,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
13,5,1209,2,4,237,3,58,0.696969696969697,167,39,0.23353293413173654,0.6752136752136753,0,1,
0,5,1209,2,2,237,1,58,0.24242424242424243,167,39,0.23353293413173654,1.0,0,1,
0,5,1209,2,2,237,1,58,0.24675324675324675,167,39,0.23353293413173654,1.0,0,1,
0,5,1209,2,2,237,1,58,0.2554112554112554,167,39,0.23353293413173654,1.0,0,1,
0,5,1209,2,2,237,1,58,0.2597402597402597,167,39,0.23353293413173654,1.0,0,1,
0,5,1209,2,12,237,1,58,0.8658008658008658,167,39,0.23353293413173654,1.0,0,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
31,11,1209,1,16,237,12,58,0.6058823529411764,88,66,0.75,0.35944700460829493,13,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
0,1,1209,2,0,237,1,58,0.7789473684210526,56,25,0.44642857142857145,1.0,0,1,
0,1,1209,2,4,237,1,58,0.6421052631578947,56,25,0.44642857142857145,1.0,0,1,
0,1,1209,2,4,237,1,58,0.6947368421052632,56,25,0.44642857142857145,1.0,0,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
38,5,1209,1,4,237,14,58,0.8282828282828283,67,19,0.2835820895522388,0.7105263157894737,0,1,
0,5,1209,1,2,237,1,58,0.32323232323232326,67,19,0.2835820895522388,1.0,0,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
5,14,1209,1,4,237,1,58,0.9146919431279621,131,57,0.4351145038167939,0.6,4,1,
5,14,1209,1,4,237,1,58,0.919431279620853,131,57,0.4351145038167939,0.8,4,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
0,5,202,1,6,20,1,9,0.36666666666666664,75,61,0.8133333333333334,1.0,0,1,
0,5,202,1,4,20,1,9,0.4533333333333333,75,61,0.8133333333333334,1.0,0,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
13,19,743,1,0,28,4,6,0.4189453125,764,173,0.22643979057591623,1.0,1,1,
6,27,70,2,4,44,1,10,0.01073812518138725,30657,224,0.00730665100955736,0.6666666666666666,0,1,
6,27,70,2,4,44,1,10,0.9595627358034245,30657,224,0.00730665100955736,0.6666666666666666,0,1,
6,27,70,2,4,44,1,10,0.07126503498758505,30657,224,0.00730665100955736,0.6666666666666666,0,1,
18,27,70,2,4,44,1,10,0.9555319080326335,30657,224,0.00730665100955736,0.8888888888888888,0,1,
74,27,70,2,9,44,1,10,0.9885132302661567,30657,224,0.00730665100955736,0.02702702702702703,0,0,
3,27,70,2,4,44,1,10,0.9745574151107671,30657,224,0.00730665100955736,0.6666666666666666,0,1,
12,27,70,2,3,44,2,10,0.9728805907581181,30657,224,0.00730665100955736,0.5499999999999999,0,1,
3,27,70,2,4,44,1,10,0.973461029957112,30657,224,0.00730665100955736,0.6666666666666666,0,1,
0,27,70,2,3,44,1,10,0.9681725839218341,30657,224,0.00730665100955736,1.0,0,1,
42,6,70,1,10,44,13,10,0.8188405797101449,91,34,0.37362637362637363,0.6607142857142857,5,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
50,11,277,1,8,23,15,7,0.4793388429752066,197,122,0.6192893401015228,0.42,2,1,
50,11,277,1,8,23,15,7,0.4793388429752066,197,122,0.6192893401015228,0.42,2,1,
50,11,277,1,8,23,15,7,0.4793388429752066,197,122,0.6192893401015228,0.42,2,1,
50,11,277,1,8,23,15,7,0.4793388429752066,197,122,0.6192893401015228,0.42,2,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
21,2,141,1,10,19,7,14,0.7252747252747253,51,28,0.5490196078431373,0.6190476190476191,0,1,
0,2,141,1,2,19,1,14,0.43956043956043955,51,28,0.5490196078431373,1.0,0,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
0,3,141,1,0,19,1,14,0.18055555555555555,92,69,0.75,1.0,0,0,
0,3,141,1,2,19,1,14,0.23333333333333334,92,69,0.75,1.0,0,1,
0,3,141,1,2,19,1,14,0.20555555555555555,92,69,0.75,1.0,0,1,
0,3,141,1,6,19,1,14,0.17777777777777778,92,69,0.75,1.0,0,1,
0,3,141,1,6,19,1,14,0.19444444444444445,92,69,0.75,1.0,0,1,
0,3,141,1,6,19,1,14,0.16111111111111112,92,69,0.75,1.0,0,1,
30,23,5388,5,7,1090,10,259,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
10,11,729,1,0,64,1,11,0.38783269961977185,181,49,0.27071823204419887,1.0,0,1,
12,11,729,1,3,64,1,11,0.4144486692015209,181,49,0.27071823204419887,0.25,0,0,
44,11,729,1,4,64,8,11,0.5703422053231939,181,49,0.27071823204419887,0.13636363636363635,22,1,
10,11,729,1,0,64,1,11,0.3650190114068441,181,49,0.27071823204419887,1.0,0,1,
10,11,729,1,0,64,1,11,0.38783269961977185,181,49,0.27071823204419887,1.0,0,1,
220,11,729,1,7,64,36,11,0.6448669201520912,181,49,0.27071823204419887,0.07727272727272727,22,0,
210,3,729,1,9,64,35,11,0.5485436893203883,136,54,0.39705882352941174,0.28611111111111115,62,0,
5,3,729,1,0,64,4,11,0.48,40,29,0.725,1.0,2,1,
5,3,729,1,0,64,4,11,0.48,40,29,0.725,1.0,2,1,
