F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-float,F16-Thread,F16-JMeterProperty,F16-X509Certificate[],F16-AssertionResult,F16-long,F16-PreparedStatement,F16-NA,F16-CollectionProperty,F16-void,F16-int,F16-boolean,F16-PasswordAuthentication,F16-String,F16-Subject,F16-ParamMask,F16-HttpResponse,F16-Class<?>,F16-CookieManager,F16-List<HTTPSamplerBase>,F3-NA,F3-HttpRequestBase,F3-JMeterTreeNode,F3-StringProperty,F3-CollectionProperty,F3-TestElementProperty,F3-GenericController,F3-HashTree,F3-byte[],F3-boolean,F3-Object,F3-MenuIcon,F3-JMeterFileFilter,F3-String,F3-long,F3-InterleaveControl.IGNORE_SUB_CONTROLLERS,F3-int,F3-Node,F3-String[],F3-Arguments,F7--,F7-++,F7-+=,F7-NA,F7-+,F12-long,F12-Integer,F12-int,F12-RemoteThreadsListener,F12-Object,F12-LinkedList<LoopIterationListener>,F12-NA,F12-ThreadLocal<Long>,F12-boolean,F12-JTextField,F12-Logger,F12-String,F12-SamplingStatCalculator,F12-JTree,F12-double,F12-Random,F12-JTextArea,F12-RemoteSampleListener,F12-Set<String>,F12-BeanInfo,F17-static,F17-final,F17-NA,F2-StringBuilder,F2-NA,F2-JTextComponent,F2-Entry<Object Object>,F2-AbstractVisualizer,F2-AbstractButton,F2-ExecutorService,F2-Matcher,F2-AnnotatedTestCase,F2-String,F2-HashTree,F2-MailerModel,F2-Element,F2-Long,F2-SaveService,F2-System,F2-Authorization,F2-Attribute,F2-Statement,F2-File,F6-java.util.Random,F6-java.util.zip.GZIPInputStream,F6-java.io.ByteArrayOutputStream,F6-NA,F6-org.apache.jmeter.protocol.jms.sampler.CollectionProperty,F6-org.apache.jmeter.config.StringProperty,F6-java.io.InputStreamReader,F6-org.apache.jmeter.protocol.http.modifier.TestElementProperty,F6-org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase.CleanerThread,F6-java.io.PrintWriter,F6-java.io.File,F6-java.lang.String,F6-java.io.OutputStreamWriter,F6-java.lang.StringBuilder,F6-org.apache.jmeter.protocol.http.util.CollectionProperty,F6-org.apache.jmeter.protocol.http.sampler.DefaultHttpRequestRetryHandler,F6-java.util.Date,F6-org.apache.jmeter.testelement.property.StringProperty,F6-org.apache.jmeter.config.CollectionProperty,F6-java.io.BufferedReader,F13-private,F13-NA,F13-public,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-cloneTree,F1-setResponseData,F1-NA,F1-setStyle,F1-setProperty,F1-trim,F1-getInstance,F1-getPropDefault,F1-getLoggerForClass,F1-addComponent,F1-debug,F1-execute,F1-valueOf,F1-setSelected,F1-promptToSaveFile,F1-setDelay,F1-getKey,F1-exit,F1-setText,F1-setArguments,F5-java.util.zip.InflaterInputStream,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-java.io.OutputStreamWriter,F5-java.util.AbstractSequentialList,F5-java.lang.Thread,F5-java.io.FilterOutputStream,F5-javax.swing.JToggleButton,F5-javax.swing.Timer,F5-java.io.InputStreamReader,F5-java.io.Reader,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F5-java.util.AbstractSet,F9-label,F9-xAxisLabels,F9-startTime,F9-samplerLabel,F9-color,F9-time,F9-backColor,F9-chkBox,F9-yAxisLabel,F9-NA,F9-lineColor,F9-random,F9-keyStore,F9-md5HexInput,F9-length,F10-NA,F10-true,F19-NA,F19-abstract,F19-interface,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-ExecutorService,F4-String[],F4-Integer,F4-Container,F4-boolean,F4-File[],F4-Future,F4-long,F4-JMeterProperty,F4-JTextField,F4-Object,F4-void,F4-List,F4-StringBuilder,F4-Long,F4-String,F4-int,F4-JButton,F4-CallableStatement,F8-SSLManager,F8-RespTimeGraphLineBean,F8-BarGraph,F8-RespTimeGraphChart,F8-RespTimeGraphDataBean,F8-RandomTimer,F8-NA,F8-MD5HexAssertionGUI,F8-AxisGraph,F8-LineGraph,F11-ALWAYS_ENCODE,F11-APPLIABLE_CONFIG_CLASSES,F11-compareContent,F11-NA,F11-log,F11-firstTime,F11-ZERO,F11-LOCK,F11-maxThroughput,F11-CONDITION,F11-USE_GROUP_NAME,F11-pct2Label,F11-serialVersionUID,F11-listener,F11-TEXT_HTML,F11-sumOfSquares,F11-CLEAR,F11-rand,F11-CONNECTOR_PREFIX_DEFAULT,F11-loopCount,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-dev-null@apache.org,F71-mblankestijn@apache.org,F71-fschumacher@apache.org,F71-jsalvata@apache.org,F71-dims@apache.org,F71-jeremy_a@apache.org,F71-seade@apache.org,F71-oros@apache.org,F71-woolfel@apache.org,F71-pmouawad@apache.org,F71-alf@apache.org,F71-fschumacher@unknown,F71-milamber@apache.org,F71-thads@apache.org,F71-rjung@apache.org,F71-sebb@apache.org,F71-mstover1@apache.org,F71-undera@apache.org,F71-pmouawad@unknown,F74,F73,F84,F146,category
11856,org/apache/commons/cli/avalon,org/apache/commons/cli/avalon/CLArgsParser.java,3757,true,3,27,520,1,8,53,1,7,0.15689149560117302,404,167,0.41336633663366334,0.6666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,MALICIOUS_CODE,0.013071895424836602,EI_EXPOSE_REP,18,2,1,0.00436046511627907,0.00436046511627907,0.0014534883720930232,1.0,0.125,0.021875,0.20588235294117646,0.11288569900999616,-0.75,0.0032679738562091504,0.008169934640522876,0.11288569900999616,1.0,1.0,9,9010,3757,11856,0,0.0,0,0,0,0,0.0,19,714,4,737,0,-695,0,0.010487956159019835,0,236,0,1280,17,0,1533,-1044,0.01791876483606571,4218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7064,14044,379,3224,close
11856,org/apache/commons/cli/avalon,org/apache/commons/cli/avalon/CLArgsParser.java,3757,true,14,27,520,1,8,53,1,7,0.33284457478005863,404,167,0.41336633663366334,0.35714285714285715,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,MALICIOUS_CODE,0.032679738562091505,EI_EXPOSE_REP2,18,2,2,0.00436046511627907,0.00436046511627907,0.0029069767441860465,1.0,0.1,0.018000000000000002,0.20588235294117646,0.11288569900999616,-0.8,0.0032679738562091504,0.008169934640522876,0.11288569900999616,1.0,1.0,9,9010,3757,11856,0,0.0,0,0,0,0,0.0,19,714,4,737,0,-695,0,0.010487956159019835,0,236,0,1280,17,0,1533,-1044,0.01791876483606571,4218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7064,14044,379,3224,close
11856,org/apache/commons/cli/avalon,org/apache/commons/cli/avalon/CLArgsParser.java,3757,true,14,27,520,1,8,53,1,7,0.3284457478005865,404,167,0.41336633663366334,0.14285714285714285,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,MALICIOUS_CODE,0.032679738562091505,EI_EXPOSE_REP2,18,2,2,0.00436046511627907,0.00436046511627907,0.0029069767441860465,1.0,0.1,0.018000000000000002,0.20588235294117646,0.11288569900999616,-0.8,0.0032679738562091504,0.008169934640522876,0.11288569900999616,1.0,1.0,9,9010,3757,11856,0,0.0,0,0,0,0,0.0,19,714,4,737,0,-695,0,0.010487956159019835,0,236,0,1280,17,0,1533,-1044,0.01791876483606571,4218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7064,14044,379,3224,close
8614,org/apache/commons/jexl/bsf,org/apache/commons/jexl/bsf/JexlEngine.java,2605,true,13,8,67,1,0,8,2,1,0.9666666666666667,103,31,0.30097087378640774,1.0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,STYLE,0.0915032679738562,REC_CATCH_EXCEPTION,20,3,1,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,1.0,0.21428571428571427,0.008017492711370262,0.38636363636363635,0.43386544779919095,-0.5535714285714286,0.1830065359477124,0.16339869281045752,0.43386544779919095,1.0,1.0,8,5768,2605,8614,0,0.0,0,0,0,0,0.0,106,4,0,110,0,102,0,0.19026702786377708,0,106,0,4,0,0,110,102,0.19026702786377708,2028,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4873,14044,2028,4873,close
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4706,true,119,22,844,5,0,36,21,12,0.35172413793103446,930,135,0.14516129032258066,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,BAD_PRACTICE,0.008169934640522876,DM_EXIT,16,2,1,0.00872093023255814,0.00872093023255814,0.0014534883720930232,1.0,0.8,0.019999999999999997,0.4482758620689655,0.09572470036023611,0.6,0.032679738562091505,0.021241830065359478,0.09572470036023611,0.3333333333333333,0.3333333333333333,47,4118,1608,6964,2,0.07142857142857142,0,6,-4,8,0.10535714285714284,1437,355,116,1908,0,1082,1,0.12404386379837154,1,1851,0,679,137,1,2667,1172,0.1534068314846405,146,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2991,14044,60,2905,close
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4706,true,29,22,844,5,12,36,5,12,0.9060344827586206,930,135,0.14516129032258066,0.41379310344827586,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,MALICIOUS_CODE,0.013071895424836602,EI_EXPOSE_REP,18,2,1,0.00872093023255814,0.00872093023255814,0.0014534883720930232,-1.0,0.125,0.021875,0.20588235294117646,0.11288569900999616,-0.75,0.0032679738562091504,0.008169934640522876,0.11288569900999616,0.3333333333333333,0.3333333333333333,138,8778,3667,11624,2,0.07142857142857142,0,6,-4,8,0.10535714285714284,1437,355,116,1908,0,1082,1,0.12404386379837154,1,1851,0,679,137,1,2667,1172,0.1534068314846405,146,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,2991,14044,60,2905,open
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4706,true,69,22,844,5,0,36,10,12,0.7077586206896552,930,135,0.14516129032258066,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,STYLE,0.0915032679738562,REC_CATCH_EXCEPTION,17,2,1,0.00872093023255814,0.00872093023255814,0.0014534883720930232,-1.0,0.21428571428571427,0.008017492711370262,0.38636363636363635,0.43386544779919095,-0.5535714285714286,0.1830065359477124,0.16339869281045752,0.43386544779919095,0.3333333333333333,0.3333333333333333,177,10915,4706,13761,2,0.07142857142857142,0,6,-4,8,0.10535714285714284,1437,355,116,1908,0,1082,1,0.12404386379837154,1,1851,0,679,137,1,2667,1172,0.1534068314846405,146,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,2991,14044,60,2905,open
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4706,true,0,22,844,5,18,36,1,12,0.2689655172413793,930,135,0.14516129032258066,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,PERFORMANCE,0.05228758169934641,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.00872093023255814,0.00872093023255814,0.0,0.0,0.71875,0.028878348214285716,0.7045454545454546,0.1677679897339876,0.4375,0.042483660130718956,0.032679738562091505,0.1677679897339876,0.3333333333333333,0.3333333333333333,177,10915,4706,13761,2,0.07142857142857142,0,6,-4,8,0.10535714285714284,1437,355,116,1908,0,1082,1,0.12404386379837154,1,1851,0,679,137,1,2667,1172,0.1534068314846405,146,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,2991,14044,60,2905,open
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4706,true,0,22,844,5,0,36,1,12,0.8724137931034482,930,135,0.14516129032258066,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,STYLE,0.0032679738562091504,UC_USELESS_CONDITION,19,3,1,0.00872093023255814,0.00872093023255814,0.0014534883720930232,1.0,0.5,0.011904761904761904,0.38636363636363635,0.43386544779919095,0.0,0.1830065359477124,0.16339869281045752,0.43386544779919095,0.3333333333333333,0.3333333333333333,8,606,264,3452,2,0.07142857142857142,0,6,-4,8,0.10535714285714284,1437,355,116,1908,0,1082,1,0.12404386379837154,1,1851,0,679,137,1,2667,1172,0.1534068314846405,146,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2991,14044,60,2905,close
13761,org/apache/jmeter,org/apache/jmeter/JMeter.java,4706,true,0,22,844,5,22,36,1,12,0.8577586206896551,930,135,0.14516129032258066,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,PERFORMANCE,0.05228758169934641,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.00872093023255814,0.00872093023255814,0.0,0.0,0.71875,0.028878348214285716,0.7045454545454546,0.1677679897339876,0.4375,0.042483660130718956,0.032679738562091505,0.1677679897339876,0.3333333333333333,0.3333333333333333,177,10915,4706,13761,2,0.07142857142857142,0,6,-4,8,0.10535714285714284,1437,355,116,1908,0,1082,1,0.12404386379837154,1,1851,0,679,137,1,2667,1172,0.1534068314846405,146,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,2991,14044,60,2905,open
