0,,F72,
1,,F54,
2,,F55,
3,,F25,
7,,F64,
9,,F34,
10,,F66,
12,,F68,
13,,F101,
15,,F103,
17,,F105,
28,,F16-CollectionProperty,
44,,F3-CollectionProperty,
65,,F12-long,
76,,F12-String,
128,,F13-private,
133,,F18-public,
141,,F1-setProperty,
248,,F94,
251,,F109,
257,,F112,
259,,F116,
260,,F117,
261,,F118,
269,,F115,
271,,F77,
272,,F88,
276,,F43,
287,,F35,
288,,F131,
289,,F38,
293,,F134,
294,,F39,
297,,F137,
307,,F71-woolfel@apache.org,
308,,F71-pmouawad@apache.org,
322,,category,
original feature size,323
refined feature size,36
