F61,F77,F88,F70,
88,8916,4313,9489,
13,1203,1624,1776,
159,12680,4913,13253,
159,12680,4913,13253,
159,12680,4913,13253,
98,9948,4365,10521,
88,8916,4313,9489,
1,1191,1616,1764,
18,8068,4232,8641,
3,1199,1623,1772,
25,6759,3842,7332,
25,6759,3842,7332,
25,6759,3842,7332,
25,6759,3842,7332,
0,145,495,718,
0,145,495,718,
343,12921,5101,13494,
108,12921,5101,13494,
149,12921,5101,13494,
30,7377,3983,7950,
44,9595,4349,10168,
87,6759,3842,7332,
86,6754,3841,7327,
99,7554,4014,8127,
1,72,242,645,
49,10606,4403,11179,
49,10606,4403,11179,
3,1168,1605,1741,
23,9227,4331,9800,
23,9227,4331,9800,
52,8041,4193,8614,
51,8016,4186,8589,
52,8041,4193,8614,
48,7696,4048,8269,
9,1349,1797,1922,
33,4687,3249,5260,
19,1623,1931,2196,
19,1623,1931,2196,
19,1623,1931,2196,
129,8099,4263,8672,
37,2159,2324,2732,
68,4672,3246,5245,
130,8409,4284,8982,
168,12888,5077,13461,
168,12888,5077,13461,
168,12888,5077,13461,
10,4143,3144,4716,
44,11261,4555,11834,
7,3091,2659,3664,
7,3091,2659,3664,
21,2265,2368,2838,
22,2298,2386,2871,
19,2222,2356,2795,
8,5315,3420,5888,
8,5315,3420,5888,
8,5315,3420,5888,
8,5315,3420,5888,
8,5315,3420,5888,
8,5315,3420,5888,
29,12720,4921,13293,
8,7537,4012,8110,
25,10574,4399,11147,
94,8053,4212,8626,
138,11223,4545,11796,
167,12772,4936,13345,
161,12541,4880,13114,
66,4552,3225,5125,
330,12837,5035,13410,
329,12835,5035,13408,
343,12921,5101,13494,
184,9018,4321,9591,
184,9018,4321,9591,
8,1177,1614,1750,
122,7028,3914,7601,
19,1869,2021,2442,
343,12921,5101,13494,
343,12921,5101,13494,
343,12921,5101,13494,
1,161,498,734,
0,2706,2583,3279,
6,1039,1559,1612,
6,1039,1559,1612,
6,1039,1559,1612,
6,1039,1559,1612,
14,5762,3604,6335,
7,4566,3227,5139,
0,1177,1614,1750,
34,12292,4793,12865,
14,5762,3604,6335,
34,12292,4793,12865,
0,657,1295,1230,
1,658,1295,1231,
65,7590,4021,8163,
30,2310,2392,2883,
69,7978,4176,8551,
59,6703,3833,7276,
11,1068,1579,1641,
10,1052,1566,1625,
31,6035,3709,6608,
31,6035,3709,6608,
2,72,242,645,
64,8053,4212,8626,
3,3164,2668,3737,
25,8409,4284,8982,
9,7125,3931,7698,
48,6383,3791,6956,
2,3019,2650,3592,
2,3019,2650,3592,
2,3019,2650,3592,
23,8251,4277,8824,
6,5468,3491,6041,
6,5468,3491,6041,
6,5468,3491,6041,
6,5468,3491,6041,
15,9123,4324,9696,
7,6225,3756,6798,
15,6188,3752,6761,
15,6188,3752,6761,
17,6231,3757,6804,
15,6188,3752,6761,
17,6231,3757,6804,
3,3402,2766,3975,
13,7027,3914,7600,
8,7176,3945,7749,
2,394,998,967,
18,4540,3224,5113,
20,4544,3225,5117,
12,7030,3914,7603,
