F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-ArtifactResolutionException,F16-RepositoryBase,F16-RepositoryPolicy,F16-Plugin,F16-Object,F16-char,F16-ActivationFile,F16-NA,F16-Dependency,F16-Prerequisites,F16-void,F16-boolean,F16-ReportSet,F16-Repository,F16-String,F16-Date,F16-ConfigurationContainer,F16-PluginConfiguration,F16-Model,F16-Settings,F3-NA,F3-Class,F3-Integer,F3-DefaultBeanConfigurationRequest,F3-ArtifactRepository,F3-ArrayList<Artifact>,F3-File,F3-RepositoryMetadata,F3-InputStream,F3-null,F3-CompletionService<ProjectSegment>,F3-ProjectSegment,F3-XmlPullParser,F3-String,F3-int,F3-MavenSession,F3-String[],F3-Artifact,F3-TaskSegment,F3-CLIManager.LOG_FILE,F7--,F7-+=,F7-NA,F7-+,F12-File,F12-NA,F12-boolean,F12-String,F12-ThreadOutputMuxer,F12-List<String>,F17-static,F17-NA,F2-LifecycleMappingsXpp3Reader,F2-NA,F2-Integer,F2-Byte,F2-ByteArrayOutputStream,F2-Arrays,F2-StringTokenizer,F2-Short,F2-List<Exception>,F2-HashMap<String Artifact>,F2-MavenXpp3Reader,F2-String,F2-Iterator,F2-Collections,F2-Double,F2-ArtifactTransferEvent,F2-Long,F2-Float,F2-List,F2-File,F6-org.apache.maven.plugin.DefaultRepositoryRequest,F6-NA,F6-org.apache.maven.model.io.xpp3.RepositoryBase,F6-org.apache.maven.lifecycle.internal.Plugin,F6-org.apache.maven.lifecycle.internal.ThreadOutputMuxer,F6-java.io.PrintStream,F6-org.apache.maven.model.io.xpp3.InputLocation,F6-org.apache.maven.model.io.xpp3.PatternSet,F6-org.apache.maven.model.io.xpp3.ModelBase,F6-java.lang.Integer,F6-org.apache.maven.model.io.xpp3.ConfigurationContainer,F6-java.io.File,F6-java.util.HashMap<java.lang.String java.lang.String>,F6-org.apache.maven.model.io.xpp3.FileSet,F6-org.apache.maven.model.io.xpp3.XmlPullParserException,F6-org.apache.maven.settings.DefaultProjectBuildingRequest,F6-java.util.Date,F6-org.apache.maven.model.io.xpp3.PluginContainer,F6-org.apache.maven.model.io.xpp3.PluginConfiguration,F6-org.apache.maven.plugin.lifecycle.io.xpp3.XmlPullParserException,F13-private,F13-NA,F13-public,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-shortValue,F1-doubleValue,F1-startTag,F1-getAttributeValue,F1-getAttributeCount,F1-delete,F1-NA,F1-getId,F1-intValue,F1-getBasedir,F1-getPluginRepositories,F1-longValue,F1-get,F1-equals,F1-floatValue,F1-charAt,F1-getTouchfile,F1-getDependencies,F1-getName,F1-byteValue,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.lang.Number,F5-java.util.AbstractList,F5-java.lang.AbstractStringBuilder,F5-java.util.HashSet,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F5-java.text.DateFormat,F9-request,F9-artifacts,F9-start,F9-buildStartTime,F9-username,F9-dependency,F9-project,F9-executionPlanItem,F9-upstreamProject,F9-remoteRepositories,F9-dependant,F9-cpc,F9-graph,F9-stop,F9-plugin,F9-pomArtifact,F9-originatingArtifact,F9-NA,F9-relocatedArtifact,F9-dataBuffer,F10-NA,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-Integer,F4-boolean,F4-Exception,F4-long,F4-Date,F4-float,F4-char,F4-Object,F4-File,F4-void,F4-double,F4-List,F4-StringBuilder,F4-int,F4-String,F4-Build,F4-short,F4-Iterator,F4-byte,F8-CacheRecord,F8-Dependency,F8-SettingsAdapter,F8-ClasspathGraphVisitor,F8-MojoExecution,F8-MetadataResolutionResult,F8-Authentication,F8-DefaultProjectBuilderConfiguration,F8-NA,F8-ArtifactTransferEvent,F8-DependencyLogEntry,F8-ProjectBuilder,F11-artifactExists,F11-NA,F11-artifactUri,F11-DEFAULT_USER_SETTINGS_FILE,F11-messages,F11-threadOutputMuxer,F11-userMavenConfigurationHome,F11-EMPTY_PROJECT_GROUP_ID,F11-alias,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-handyande@apache.org,F71-ogusakov@apache.org,F71-vsiveton@apache.org,F71-brett@apache.org,F71-hboutemy@apache.org,F71-kenney@apache.org,F71-sisbell@apache.org,F71-mkleint@apache.org,F71-carlos@apache.org,F71-evenisse@apache.org,F71-olamy@apache.org,F71-jvanzyl@apache.org,F71-brianf@apache.org,F71-ifedorenko@apache.org,F71-bentmann@apache.org,F71-pgier@apache.org,F71-krosenvold@apache.org,F71-joakime@apache.org,F71-trygvis@apache.org,F71-jdcasey@apache.org,F74,F73,F84,F146,category
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,610,true,70,15,1321,1,13,132,6,29,0.5560233918128654,678,30,0.04424778761061947,0.08571428571428572,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,3,EXPERIMENTAL,0.0012360939431396785,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,20,2,2,0.016592920353982302,0.00331858407079646,0.0022123893805309734,1.0,1.0,0.0,0.5,0.03968253968253969,1.0,0.0,0.002472187886279357,0.03968253968253969,-0.6,0.3333333333333333,298,8531,2335,9780,50,0.1682855755220981,3,3,47,56,0.03169328572662459,1823,1241,421,3485,2,582,20,0.1822170823812979,25,2728,3,1546,478,18,4752,1182,0.15376584163638896,12,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1260,10178,12,1260,close
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,610,true,8,15,1321,1,8,132,2,29,0.5801169590643275,678,30,0.04424778761061947,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,3,BAD_PRACTICE,0.04326328800988875,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.016592920353982302,0.00331858407079646,0.0011061946902654867,-1.0,0.2,0.01142857142857143,0.1402439024390244,0.17284173989156812,-0.5428571428571428,0.009888751545117428,0.027194066749072928,0.17284173989156812,-0.6,0.3333333333333333,26,580,437,1829,50,0.1682855755220981,3,3,47,56,0.03169328572662459,1823,1241,421,3485,2,582,20,0.1822170823812979,25,2728,3,1546,478,18,4752,1182,0.15376584163638896,12,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1260,10178,12,1260,open
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,610,true,14,15,1321,1,8,132,2,29,0.5508771929824562,678,30,0.04424778761061947,0.21428571428571427,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,3,BAD_PRACTICE,0.006180469715698393,UI_INHERITANCE_UNSAFE_GETRESOURCE,19,3,2,0.016592920353982302,0.00331858407079646,0.0022123893805309734,1.0,0.2,0.01142857142857143,0.1402439024390244,0.17284173989156812,-0.4,0.009888751545117428,0.027194066749072928,0.17284173989156812,-0.6,0.3333333333333333,7,154,127,1403,50,0.1682855755220981,3,3,47,56,0.03169328572662459,1823,1241,421,3485,2,582,20,0.1822170823812979,25,2728,3,1546,478,18,4752,1182,0.15376584163638896,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1260,10178,12,1260,close
9780,org/apache/maven,org/apache/maven/MavenTest.java,2335,true,0,4,1321,1,4,132,1,29,0.3448275862068966,48,2,0.041666666666666664,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,2,PERFORMANCE,0.004944375772558714,URF_UNREAD_FIELD,18,2,0,0.016592920353982302,0.0022123893805309734,0.0,0.0,0.0,0.0,0.15384615384615385,0.38838696062771794,-1.0,0.007416563658838072,0.03584672435105068,0.38838696062771794,-0.6,-1.0,10,8531,2335,9780,50,0.0,3,3,47,56,0.03169328572662459,73,5,4,82,0,68,0,0.02490680065996591,0,2728,0,1546,478,0,4752,1182,0.15376584163638896,968,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2216,10178,12,1260,open
4237,org/apache/maven,org/apache/maven/ProjectBuildFailureException.java,1178,true,3,3,1321,1,8,132,1,29,0.8108108108108109,20,10,0.5,0.6666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,1,STYLE,0.003708281829419036,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,20,3,1,0.016592920353982302,0.0011061946902654867,0.0011061946902654867,-1.0,0.3333333333333333,0.010582010582010583,0.05778894472361809,0.4931046897048161,-0.3333333333333333,0.007416563658838072,0.022249690976514216,0.4931046897048161,-0.6,-1.0,1,2988,1178,4237,50,0.0,3,3,47,56,0.03169328572662459,2,11,0,13,0,-9,0,0.07428571428571429,0,2728,0,1546,478,0,4752,1182,0.15376584163638896,1697,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2946,10178,12,1260,open
1414,org/apache/maven,org/apache/maven/ReactorReader.java,129,true,16,11,1321,1,0,132,10,29,0.5521235521235521,174,47,0.27011494252873564,1.0,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,1,STYLE,0.15945611866501855,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,1,0.016592920353982302,0.0011061946902654867,0.0011061946902654867,1.0,0.031007751937984496,0.0014307748217969958,0.05778894472361809,0.4931046897048161,-0.813953488372093,0.007416563658838072,0.022249690976514216,0.4931046897048161,-0.6,1.0,1,165,129,1414,50,0.0,3,3,47,56,0.03169328572662459,9,3,0,12,0,6,0,0.27906976744186046,0,2728,0,1546,478,0,4752,1182,0.15376584163638896,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1337,10178,12,1260,close
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,1349,true,10,24,794,1,8,179,7,12,0.7743732590529248,249,33,0.13253012048192772,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.04326328800988875,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,2,0.00663716814159292,0.004424778761061947,0.0022123893805309734,-1.0,0.2,0.01142857142857143,0.1402439024390244,0.17284173989156812,-0.5428571428571428,0.009888751545117428,0.027194066749072928,0.17284173989156812,-0.6666666666666666,-1.0,12,6330,1960,7579,94,0.0,0,0,94,94,0.05889724310776942,452,214,0,666,0,238,0,0.12458980530571072,0,3009,0,826,53,0,3888,2183,0.19124710318668273,166,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1414,10178,18,1266,open
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,1349,true,4,24,794,1,4,179,2,12,0.8440111420612814,249,33,0.13253012048192772,0.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,4,STYLE,0.06798516687268233,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,2,0.00663716814159292,0.004424778761061947,0.0022123893805309734,-1.0,0.03636363636363636,0.001668634395907123,0.05778894472361809,0.4931046897048161,-0.6,0.007416563658838072,0.022249690976514216,0.4931046897048161,-0.6666666666666666,-1.0,12,6330,1960,7579,94,0.0,0,0,94,94,0.05889724310776942,452,214,0,666,0,238,0,0.12458980530571072,0,3009,0,826,53,0,3888,2183,0.19124710318668273,166,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1414,10178,18,1266,open
7756,org/apache/maven/artifact,org/apache/maven/artifact/ArtifactStatus.java,1982,true,8,6,794,1,10,179,3,12,0.6,60,42,0.7,0.375,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,MT_CORRECTNESS,0.002472187886279357,LI_LAZY_INIT_STATIC,17,3,1,0.00663716814159292,0.0011061946902654867,0.0011061946902654867,1.0,0.5,0.03571428571428571,0.625,0.19419642857142858,0.0,0.0012360939431396785,0.006180469715698393,0.19419642857142858,-0.6666666666666666,1.0,6,6507,1982,7756,94,0.706766917293233,0,0,94,94,0.05889724310776942,284,11,0,295,0,273,94,0.3134263806412929,94,3009,0,826,53,94,3888,2183,0.19124710318668273,18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1266,10178,18,1266,close
5759,org/apache/maven/artifact,org/apache/maven/artifact/DefaultArtifactTest.java,1798,true,4,12,794,1,8,179,3,12,0.42857142857142855,92,20,0.21739130434782608,0.5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,STYLE,0.06798516687268233,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.00663716814159292,0.0011061946902654867,0.0011061946902654867,-1.0,0.03636363636363636,0.001668634395907123,0.05778894472361809,0.4931046897048161,-0.6,0.007416563658838072,0.022249690976514216,0.4931046897048161,-0.6666666666666666,-1.0,4,3129,1235,4378,94,0.0,0,0,94,94,0.05889724310776942,118,6,0,124,0,112,0,0.08473959275653681,0,3009,0,826,53,0,3888,2183,0.19124710318668273,678,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1926,10178,18,1266,open
