F61,F77,F88,F70,
3,7139,3154,8135,
1,7139,3154,8135,
1,7139,3154,8135,
12,7139,3154,8135,
12,7139,3154,8135,
19,2168,1438,3164,
73,7139,3154,8135,
73,7139,3154,8135,
27,3463,1980,4459,
27,3463,1980,4459,
20,2579,1717,3575,
20,2579,1717,3575,
20,2579,1717,3575,
29,3743,2091,4739,
20,2579,1717,3575,
66,6823,2910,7819,
61,6486,2711,7482,
73,7139,3154,8135,
1,381,276,1377,
1,381,276,1377,
29,3743,2091,4739,
1,381,276,1377,
66,6823,2910,7819,
66,6823,2910,7819,
19,2168,1438,3164,
19,2168,1438,3164,
73,7139,3154,8135,
1,381,276,1377,
1,381,276,1377,
29,3743,2091,4739,
1,381,276,1377,
19,2168,1438,3164,
2,294,226,1290,
23,7138,3154,8134,
15,7139,3154,8135,
10,7139,3154,8135,
10,7139,3154,8135,
10,7139,3154,8135,
10,7139,3154,8135,
10,7139,3154,8135,
10,7139,3154,8135,
1,3136,1878,4132,
6,7139,3154,8135,
6,7139,3154,8135,
6,7139,3154,8135,
6,7139,3154,8135,
6,7139,3154,8135,
21,7139,3154,8135,
21,7139,3154,8135,
21,7139,3154,8135,
21,7139,3154,8135,
21,7139,3154,8135,
21,7139,3154,8135,
21,7138,3154,8134,
3,3744,2091,4740,
3,3744,2091,4740,
3,3744,2091,4740,
2,3617,2039,4613,
3,3744,2091,4740,
3,3744,2091,4740,
23,7138,3154,8134,
33,7139,3154,8135,
5,3175,1886,4171,
5,3175,1886,4171,
33,7138,3154,8134,
33,7138,3154,8134,
33,7138,3154,8134,
33,7138,3154,8134,
1,1931,1228,2927,
1,1820,1154,2816,
23,7138,3154,8134,
25,6146,2593,7142,
23,5917,2544,6913,
11,3013,1858,4009,
1,6790,2893,7786,
2,6795,2894,7791,
2,6795,2894,7791,
1,6790,2893,7786,
32,6795,2894,7791,
32,6795,2894,7791,
32,6795,2894,7791,
5,4213,2165,5209,
2,5519,2436,6515,
24,6790,2893,7786,
24,6790,2893,7786,
25,6795,2894,7791,
25,6795,2894,7791,
1,94,47,1090,
28,6795,2894,7791,
28,6795,2894,7791,
28,6795,2894,7791,
2,4195,2158,5191,
3,4195,2158,5191,
20,6795,2894,7791,
20,6795,2894,7791,
20,6795,2894,7791,
19,6795,2894,7791,
7,1151,761,2147,
19,6795,2894,7791,
19,6795,2894,7791,
83,6795,2894,7791,
83,6795,2894,7791,
83,6795,2894,7791,
82,6790,2893,7786,
77,6563,2773,7559,
58,5747,2502,6743,
34,3022,1859,4018,
83,6795,2894,7791,
83,6795,2894,7791,
83,6795,2894,7791,
83,6795,2894,7791,
83,6795,2894,7791,
83,6795,2894,7791,
83,6795,2894,7791,
82,6790,2893,7786,
25,6795,2894,7791,
25,6795,2894,7791,
25,6795,2894,7791,
25,6795,2894,7791,
33,6795,2894,7791,
39,6795,2894,7791,
39,6795,2894,7791,
12,6795,2894,7791,
12,6795,2894,7791,
3,5769,2509,6765,
12,3872,2117,4868,
5,4693,2245,5689,
5,6795,2894,7791,
73,6790,2893,7786,
3,113,56,1109,
74,6795,2894,7791,
74,6795,2894,7791,
1,104,52,1100,
75,6790,2893,7786,
75,6790,2893,7786,
75,6790,2893,7786,
75,6790,2893,7786,
76,6795,2894,7791,
76,6795,2894,7791,
76,6795,2894,7791,
76,6795,2894,7791,
76,6795,2894,7791,
76,6795,2894,7791,
76,6795,2894,7791,
76,6795,2894,7791,
76,6795,2894,7791,
76,6795,2894,7791,
76,6795,2894,7791,
9,6006,2564,7002,
5,6795,2894,7791,
3,6795,2894,7791,
3,6795,2894,7791,
14,6795,2894,7791,
14,6795,2894,7791,
17,5755,2504,6751,
23,6006,2564,7002,
0,849,570,1845,
8,6795,2894,7791,
13,6795,2894,7791,
13,6795,2894,7791,
13,6795,2894,7791,
13,6795,2894,7791,
13,6795,2894,7791,
13,6795,2894,7791,
13,6795,2894,7791,
3,6795,2894,7791,
0,130,65,1126,
2,6790,2893,7786,
58,6795,2894,7791,
58,6795,2894,7791,
58,6795,2894,7791,
58,6795,2894,7791,
