0,,F72,
1,,F54,
2,,F55,
3,,F25,
5,,F62,
7,,F64,
8,,F67,
10,,F66,
12,,F68,
13,,F101,
23,,F16-Object,
27,,F16-int,
34,,F16-String,
49,,F3-String,
91,,F17-final,
109,,F2-System,
128,,F6-java.lang.Integer,
156,,F1-readChar,
160,,F1-getProperty,
211,,F15-private,
212,,F15-protected,
230,,F4-void,
275,,F94,
276,,F95,
278,,F109,
279,,F20,
280,,F23,
281,,F22,
286,,F116,
287,,F117,
288,,F118,
291,,F110,
295,,F114,
296,,F115,
297,,F61,
298,,F77,
299,,F88,
300,,F70,
301,,F41,
303,,F43,
307,,F46,
310,,F128,
314,,F35,
316,,F38,
317,,F132,
319,,F133,
320,,F134,
321,,F39,
322,,F135,
323,,F136,
324,,F137,
327,,F71-djd@apache.org,
329,,F71-davidvc@apache.org,
330,,F71-kmarsden@apache.org,
331,,F71-rhillegas@apache.org,
332,,F71-bakksjo@apache.org,
338,,F71-bandaram@apache.org,
339,,F71-oysteing@apache.org,
342,,F71-bernt@apache.org,
343,,F71-fuzzylogic@apache.org,
345,,F71-coar@apache.org,
350,,category,
original feature size,351
refined feature size,61
